DDC	RELA
RELA	NFKB1
RELA	SP1
RELA	JUN
RELA	EP300
EP300	MYB
RELA	ESR1
ESR1	SP2
EP300	RARA
RELA	TP53
RELA	NCOR2
NCOR2	RARB
NCOR2	PPARD
RELA	RXRA
RELA	NR3C1
NR3C1	RXRB
RELA	PPARA
PPARA	RXRG
RELA	CREBBP
RELA	HIF1A
EP300	ARNT
EP300	CREB1
EP300	SMAD7
EP300	TFAP2A
RELA	POU2F1
RELA	STAT3
RELA	SMAD3
SMAD3	LEF1
RELA	UBC
UBC	DAZAP2
DAZAP2	TCF7
RELA	AR
AR	TCF7L2
EP300	CTNNB1
CTNNB1	TCF7L1
STAT3	STAT1
EP300	ETS1
RELA	BRCA1
BRCA1	E2F4
EP300	MYC
BRCA1	ATF1
SMAD3	YAP1
STAT3	NCOA1
NCOA1	TEAD1
EP300	GOLGA2
GOLGA2	TEAD4
EP300	E2F1
E2F1	TEAD3
RELA	USF2
EP300	Cebpb
Cebpb	NFIC
BRCA1	FLI1
EP300	ETS2
EP300	JUND
SMAD3	CEBPA
POU2F1	SP4
NCOR2	RARG
RELA	PPARG
CREBBP	ELK1
BRCA1	JUP
EP300	STAT5A
NR3C1	STAT5B
EP300	STAT2
JUN	STAT4
STAT3	STAT6
EP300	ATF2
RELA	FOS
RELA	ATF4
RELA	SP3
STAT3	EGFR
EGFR	SOS1
ESR1	SOS2
RELA	MAPK14
MAPK14	HOXA5
RELA	HDAC3
HDAC3	CREB3
BRCA1	NFYA
NFYA	ATF6B
RELA	EZH2
EZH2	ELAVL1
ELAVL1	CREB3L2
EP300	DDIT3
DDIT3	CREB3L1
BRCA1	CREB5
RELA	CEBPB
CREBBP	CREM
RELA	NFKB2
BRCA1	TRIM24
TRIM24	NR3C2
RELA	MDM2
MDM2	MYD88
JUP	MYC
JUP	CCND1
CREB3	CRH
CREB3	NPY
CREB1	CRH
CREB1	NPY
ATF2	CRH
ATF2	NPY
ATF6B	CRH
ATF6B	NPY
ATF4	CRH
ATF4	NPY
CREB3L2	CRH
CREB3L2	NPY
CREB3L1	CRH
CREB3L1	NPY
CREB5	CRH
CREB5	NPY
NR3C2	ATP1B1
NR3C2	ATP1B3
TP53	GADD45G
TP53	GADD45A
TP53	SFN
FOS	CCND1
JUN	CCND1
MYC	CCND1
LEF1	MYC
LEF1	CCND1
TCF7	MYC
TCF7	CCND1
TCF7L2	MYC
TCF7L2	CCND1
TCF7L1	MYC
TCF7L1	CCND1
JUN	CXCL1
NFKB1	CXCL1
RELA	CXCL1
ELK1	CCND1
SMAD3	MYC
STAT1	MYD88
CREBBP	ENO1
CREBBP	ENO3
CREBBP	HK1
CREBBP	HMOX1
CREBBP	LDHA
EP300	ENO1
EP300	ENO3
EP300	HK1
EP300	HMOX1
EP300	LDHA
HIF1A	ENO1
HIF1A	ENO3
HIF1A	HK1
HIF1A	HMOX1
HIF1A	LDHA
ARNT	ENO1
ARNT	ENO3
ARNT	HK1
ARNT	HMOX1
ARNT	LDHA
YAP1	MYC
YAP1	CCND1
TEAD1	MYC
TEAD1	CCND1
TEAD4	MYC
TEAD4	CCND1
TEAD3	MYC
TEAD3	CCND1
SOS1	MYC
SOS1	CCND1
SOS2	MYC
SOS2	CCND1
STAT1	MYC
STAT1	CCND1
STAT2	MYC
STAT2	CCND1
STAT3	MYC
STAT3	CCND1
STAT4	MYC
STAT4	CCND1
STAT5A	MYC
STAT5A	CCND1
STAT5B	MYC
STAT5B	CCND1
STAT6	MYC
STAT6	CCND1
