HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	UBC
UBC	ATF6
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	CDK3
CDK3	PPARA
ARRB2	PRMT5
PRMT5	RELA
ARRDC3	ITCH
ITCH	TP53
ARRB2	AKT1
AKT1	CREB1
ARRB2	MAPK1
MAPK1	ATF2
MAPK1	SP1
NFKBIA	ATF4
ITCH	JUN
JUN	CREB3
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
ARRDC3	ADRB2
ADRB2	PGRMC1
PGRMC1	CREB3L1
ARRDC3	NEDD4
NEDD4	KIFC3
KIFC3	CREB5
TRIM28	MYB
ITCH	PTCH1
PTCH1	ATF6B
TP53	ETS2
ARRB2	HNRNPD
HNRNPD	MYC
TP53	ETS1
ARRB2	POLR2E
POLR2E	FOS
ARRB2	XRCC5
XRCC5	BRCA1
ARRB2	DYNC1H1
DYNC1H1	MAX
ARRB2	MAPK3
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	ARNTL
HSP90AA1	NPAS2
RPA1	PPP1CC
PPP1CC	CLOCK
ARRB2	STAT1
NEDD4	PPARG
MAPK1	RXRA
PPARG	RXRB
PPARG	RXRG
ARRB2	CAPN1
CAPN1	HIF1A
ARNTL	CRY1
ARNTL	RORA
NPAS2	CRY1
NPAS2	RORA
CLOCK	CRY1
CLOCK	RORA
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
HIF1A	VEGFC
MAPK1	CDK4
MAPK3	CDK4
NFKB1	NFKBIA
RELA	NFKBIA
TP53	DDB2
TP53	PPM1D
TP53	CCNG2
NFKB1	VEGFC
RELA	VEGFC
STAT1	VEGFC
ETS1	CDK4
ETS1	VEGFC
FOS	CDK4
FOS	VEGFC
JUN	CDK4
JUN	VEGFC
MYC	CDK4
MYC	VEGFC
PPARA	ACSL4
PPARG	ACSL4
PPARG	OLR1
PPARG	ADIPOQ
RXRA	ACSL4
RXRA	OLR1
RXRA	ADIPOQ
RXRB	ACSL4
RXRB	OLR1
RXRB	ADIPOQ
RXRG	ACSL4
RXRG	OLR1
RXRG	ADIPOQ
MAX	CDK4
STAT1	CXCL10
STAT1	CXCL11
CREB1	HLA-DPB1
MYB	CDK1
SP1	CDK1
SP1	CDKN1C
SP1	ALDH3A1
E2F4	CDK1
ETS2	CDK1
ATF2	HLA-E
SP1	MAT2B
TP53	NFIC
PPARA	NFKBIA
MYC	NRAS
CREB1	NRAS
JUN	NRAS
MYB	NRAS
E2F4	PCNA
BRCA1	PCNA
TP53	PCNA
JUN	TFF1
ATF6	XBP1
