PCCB	LYPLA1
LYPLA1	APRT
APRT	APP
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
LYPLA1	DPYSL2
DPYSL2	NTMT1
NTMT1	MAPK1
LYPLA1	ASNS
ASNS	MAPK3
ASNS	YWHAE
YWHAE	MAPK14
ASNS	TRIM69
TRIM69	PML
PML	MAPK11
APP	MAPK8IP2
MAPK8IP2	MAPK13
APP	MAPK8
MAPK8	MAPK9
MAPK8IP2	MAPK10
APP	TIRAP
TIRAP	MYD88
MAPK3	JUN
DPYSL2	TUBA1A
TUBA1A	SQSTM1
SQSTM1	IRF8
APP	SET
SET	IRF1
APP	MAPK7
MAPK7	FOS
DPYSL2	LEF1
LEF1	EP300
EP300	IRF5
LEF1	SMAD3
SMAD3	IRF7
ASNS	EPRS
EPRS	POU2F1
ASNS	NMD3
NMD3	STAT1
APP	RFX5
RFX5	PPARG
MAPK3	RXRA
APP	AKAP13
AKAP13	RXRB
DPYSL2	CRMP1
CRMP1	CUL1
CUL1	RXRG
LEF1	SMAD2
ASNS	PPP1CA
PPP1CA	CREB1
MAPK7	ETS1
MAPK8	SPI1
MAPK3	SP1
YWHAE	FOXO3
APRT	HECW2
HECW2	TFAP2A
DPYSL2	ARFIP1
ARFIP1	STAT3
EP300	EGR1
LYPLA1	PRDX6
PRDX6	GLO1
GLO1	MEOX2
MEOX2	PAX1
LEF1	SMAD4
ASNS	ASS1
ASS1	TKT
TKT	STAT4
APP	MCM7
MCM7	HIF1A
MAPK8	IRF3
MAPK3	VDR
APP	HMGA1
HMGA1	POU2F2
AKAP13	PPARA
HLCS	SNX27
SNX27	INSR
INSR	SOCS3
SOCS3	NFKB1
SNX27	NTRK1
NTRK1	RELA
NTRK1	MAPK1
INSR	ARRB2
ARRB2	MAPK3
INSR	SQSTM1
SQSTM1	MAPK14
NTRK1	PML
NTRK1	VCP
VCP	MAPK13
NTRK1	STAT3
STAT3	MAPK8
ARRB2	MAPK9
NTRK1	MAPK8IP3
MAPK8IP3	MAPK10
SQSTM1	MYD88
PML	JUN
NTRK1	SMARCA4
SMARCA4	IRF1
PML	FOS
NTRK1	TRAF6
TRAF6	IRF5
INSR	IRF7
NTRK1	LMNB1
LMNB1	POU2F1
NTRK1	STAT1
INSR	STAT5A
STAT5A	PPARG
PML	RXRA
PPARG	RXRB
NTRK1	CUL1
INSR	CAV1
CAV1	SMAD2
NTRK1	ABL1
ABL1	CREB1
NTRK1	MAPK7
PML	SPI1
INSR	PRKCD
PRKCD	SP1
NTRK1	CTNNB1
CTNNB1	FOXO3
NTRK1	RB1
RB1	TFAP2A
NTRK1	PSMA3
PSMA3	EGR1
NTRK1	KTN1
KTN1	MEOX2
NTRK1	RPA1
RPA1	SMAD3
RELA	SMAD4
NTRK1	TRIM28
TRIM28	STAT4
INSR	SHC1
SHC1	HIF1A
INSR	SOCS1
SOCS1	IRF3
RB1	VDR
NTRK1	XRCC6
XRCC6	POU2F2
RELA	PPARA
MCCC2	HMGCL
HMGCL	HES1
HES1	STAT3
STAT3	NFKB1
HMGCL	RNF126
RNF126	UBE2D2
UBE2D2	RELA
