ACHE	COL1A1
COL1A1	UBL4A
UBL4A	HSPA8
HSPA8	ERG
COL1A1	ITGB1
ITGB1	PTK2
PTK2	SAE1
SAE1	ETV4
UBL4A	SMN1
SMN1	RXRA
COL1A1	IGFBP3
IGFBP3	FN1
FN1	RARA
RARA	RXRB
RARA	RXRG
UBL4A	HSP90AA1
HSP90AA1	PPARA
ITGB1	PRKCA
PRKCA	PPARG
IGFBP3	IGF1R
IGF1R	CSK
CSK	JUN
UBL4A	NCL
NCL	SP1
HSP90AA1	NFIC
IGF1R	TP53
TP53	ETS1
IGF1R	CBL
CBL	SMAD7
UBL4A	TXN
TXN	NFKB1
ITGB1	TUBA1A
TUBA1A	MYC
UBL4A	RAB1A
RAB1A	CREB1
COL1A1	SPARC
SPARC	XRCC6
XRCC6	POU2F1
XRCC6	CREBBP
IGFBP3	CD44
CD44	EP300
ITGB1	GNB2L1
GNB2L1	HIF1A
HSP90AA1	ARNT
UBL4A	NPM1
NPM1	TFAP2A
FN1	UBE2L3
UBE2L3	FOS
TP53	EGR1
COL1A1	P4HB
P4HB	VCP
VCP	MAPK1
VCP	MAPK3
CD44	STAT3
ITGB1	NME1
NME1	GATA1
GATA1	FLI1
EP300	USF2
HSP90AA1	PPARD
UBL4A	C1QBP
C1QBP	CEBPA
HSP90AA1	MAX
COL1A1	RNH1
RNH1	SDCBP
SDCBP	FOXP2
FOXP2	SP4
HSP90AA1	ARNTL
HSP90AA1	NPAS2
RARA	CLOCK
IGF1R	ESR1
IGF1R	KCNIP3
KCNIP3	CREM
ESR1	SP3
CREB1	PER3
ARNTL	CRY1
ARNTL	PER3
NPAS2	CRY1
NPAS2	PER3
CLOCK	CRY1
CLOCK	PER3
JUN	GRIA2
JUN	NFKB1
FOS	CCND1
JUN	CCND1
MYC	CCND1
CREBBP	ALDOA
CREBBP	GAPDH
CREBBP	HK1
CREBBP	HMOX1
CREBBP	LDHA
EP300	ALDOA
EP300	GAPDH
EP300	HK1
EP300	HMOX1
EP300	LDHA
HIF1A	ALDOA
HIF1A	GAPDH
HIF1A	HK1
HIF1A	HMOX1
HIF1A	LDHA
ARNT	ALDOA
ARNT	GAPDH
ARNT	HK1
ARNT	HMOX1
ARNT	LDHA
STAT3	CCND1
MAPK1	CDK4
MAPK1	CCND1
MAPK3	CDK4
MAPK3	CCND1
TP53	IGFBP3
TP53	TNFRSF10B
TP53	CCNG1
ETS1	CDK4
ETS1	CCND1
FOS	CDK4
JUN	CDK4
MYC	CDK4
NFKB1	CCND1
PPARA	ACSL3
PPARA	SCD
PPARA	ACOX3
PPARD	UBC
PPARD	ACOX3
PPARG	ACSL3
PPARG	SCD
RXRA	ACSL3
RXRA	SCD
RXRA	UBC
RXRA	ACOX3
RXRB	ACSL3
RXRB	SCD
RXRB	UBC
RXRB	ACOX3
RXRG	ACSL3
RXRG	SCD
RXRG	UBC
RXRG	ACOX3
MAX	CDK4
MAX	CCND1
CREB1	HLA-DMA
CREB1	HLA-DPB1
SP1	COL4A1
JUN	ALDOA
SP1	ALDOA
ESR1	APOE
PPARG	APOE
USF2	APOE
NFIC	C4BPB
CREB1	CCND1
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
SP1	CCND1
SP3	CCND1
SP4	CCND1
TP53	CCND1
MYC	CSTB
CEBPA	F9
CEBPA	GPX4
CREM	GPX4
TFAP2A	GPX4
CREB1	HMOX1
ERG	HMOX1
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
TFAP2A	HMOX1
USF2	HMOX1
NFIC	HRAS
SP1	HRAS
ESR1	HSPB1
SP1	HSPB1
FLI1	IGFBP3
SP1	IGFBP3
SP3	IGFBP3
TFAP2A	IGFBP3
CREB1	LDHA
SP1	LDHA
PPARA	LIPA
PPARD	LIPA
PPARG	LIPA
CEBPA	NFKB1
ETS1	NFKB1
ETS1	PRL
POU2F1	PRL
SP1	RPL15
TP53	S100B
EGR1	TFPI2
JUN	TFPI2
NFIC	TFPI2
NFKB1	TFPI2
POU2F1	TFPI2
SP1	TFPI2
ERG	VIM
ETV4	VIM
