HPGDS	ARRDC3
ARRDC3	ITCH
ITCH	TP53
ARRDC3	ARRB2
ARRB2	MAPK1
MAPK1	SP1
ARRDC3	ADRB2
ADRB2	STAT3
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	PRMT5
PRMT5	RELA
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	YWHAQ
YWHAQ	YAP1
ARRB2	UBC
UBC	ATF6
ITCH	JUN
ARRB2	AKT1
AKT1	CREB1
MAPK1	STAT5A
ARRDC3	HGS
HGS	INSR
INSR	STAT5B
ARRB2	STAT1
STAT1	STAT2
ADRB2	STAT4
ARRB2	EEF1A1
EEF1A1	STAT6
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	ALYREF
ALYREF	LEF1
HGS	DAZAP2
DAZAP2	TCF7
DAZAP2	TCF7L2
DAZAP2	TCF7L1
ARRDC3	NEDD4
NEDD4	ERBB3
ERBB3	EGR1
JUN	CREB3
MAPK1	ATF2
ITCH	PTCH1
PTCH1	ATF6B
NFKBIA	ATF4
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
ADRB2	PGRMC1
PGRMC1	CREB3L1
NEDD4	KIFC3
KIFC3	CREB5
ARRB2	IGF1R
IGF1R	ESR1
INSR	TEAD1
ARRDC3	OTUB2
OTUB2	TRIM27
TRIM27	TEAD4
ADRB2	PHB2
PHB2	TEAD3
HGS	EGFR
EGFR	SOS1
EGFR	SOS2
ARRB2	XRCC6
XRCC6	POU2F1
ARRB2	CSNK2A1
CSNK2A1	ATF1
NEDD4	PPARG
TP53	GADD45G
TP53	GADD45B
LEF1	MYC
TCF7	MYC
TCF7L2	MYC
TCF7L1	MYC
JUN	CCND3
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
NFKB1	HIF1A
RELA	HIF1A
STAT3	HIF1A
YAP1	ID2
YAP1	ID4
YAP1	MYC
YAP1	CCND3
LEF1	CCND3
TCF7	CCND3
TCF7L2	CCND3
TEAD1	MYC
TEAD1	CCND3
TEAD4	MYC
TEAD4	CCND3
TEAD3	MYC
TEAD3	CCND3
TCF7L1	CCND3
SOS1	MYC
SOS1	CCND3
SOS2	MYC
SOS2	CCND3
STAT1	MYC
STAT1	CCND3
STAT2	MYC
STAT2	CCND3
STAT3	MYC
STAT3	CCND3
STAT4	MYC
STAT4	CCND3
STAT5A	MYC
STAT5A	CCND3
STAT5B	MYC
STAT5B	CCND3
STAT6	MYC
STAT6	CCND3
NFKB1	GADD45B
RELA	GADD45B
EGR1	CD44
SP1	CD44
ESR1	GADD45B
PPARG	GADD45B
MYC	ID2
ATF1	ID2
E2F4	MYC
MYC	MYC
ESR1	MYC
JUN	MYC
NFKB1	MYC
POU2F1	MYC
RELA	MYC
SP1	MYC
TP53	MYC
E2F4	PCNA
TP53	PCNA
TP53	PLK1
ATF1	TG
CREB1	TG
ATF6	XBP1
