HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	MAPK1
MAPK1	SP1
ARRDC3	ITCH
ITCH	TP53
ARRB2	NPM1
NPM1	TFAP2A
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	SFPQ
SFPQ	SP3
ARRDC3	NEDD4
NEDD4	TOM1
TOM1	FPR1
FPR1	PIK3R5
ARRB2	GSN
GSN	PIK3CA
ARRB2	AKT1
AKT1	PIK3CB
ARRDC3	ARRB1
ARRB1	PIK3R2
PIK3R2	PIK3CD
NEDD4	BECN1
BECN1	PIK3CG
ARRB2	SRC
SRC	PIK3R1
ARRB2	IGF1R
IGF1R	PIK3R3
ARRB2	HSPA5
HSPA5	EP300
EP300	USF2
ARRB2	CDK3
CDK3	PPARA
MAPK1	RXRA
NEDD4	PPARG
PPARG	RXRB
PPARG	RXRG
ARRB1	MAPK14
MAPK14	HOXA5
ARRB2	CSK
CSK	CREBBP
ARRB2	CAPN1
CAPN1	HIF1A
ARRB1	HSP90AA1
HSP90AA1	ARNT
IGF1R	ESR1
TP53	ETS1
AKT1	CREB1
ITCH	JUN
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	C1QBP
C1QBP	PRKCD
PRKCD	FLI1
ITCH	GLI1
AKT1	SKI
SKI	GLI2
ARRB2	RALGDS
RALGDS	KRAS
KRAS	GLI3
C1QBP	CEBPA
NEDD4	SMAD3
NEDD4	SMAD2
ARRDC3	ADRB2
ADRB2	STAT3
GLI1	WNT10B
GLI2	WNT10B
GLI3	WNT10B
SMAD2	CDKN1A
SMAD3	CDKN1A
TP53	CDKN1A
NFKB1	MMP9
TP53	CDKN1B
CREBBP	CDKN1A
CREBBP	CDKN1B
CREBBP	PFKFB1
EP300	CDKN1A
EP300	CDKN1B
EP300	PFKFB1
HIF1A	CDKN1A
HIF1A	CDKN1B
HIF1A	PFKFB1
ARNT	CDKN1A
ARNT	CDKN1B
ARNT	PFKFB1
PIK3R5	AKT1
PIK3CA	AKT1
PIK3CB	AKT1
PIK3CD	AKT1
PIK3CG	AKT1
PIK3R1	AKT1
PIK3R2	AKT1
PIK3R3	AKT1
TP53	RRM2
TP53	ZMAT3
TP53	CCNG1
ETS1	MMP9
JUN	MMP9
MYC	CKS2
MYC	MMP9
PPARA	CYP4A11
PPARA	HMGCS2
PPARA	ACADM
PPARA	UCP1
PPARG	PCK1
PPARG	UCP1
RXRA	CYP4A11
RXRA	HMGCS2
RXRA	ACADM
RXRA	PCK1
RXRA	UCP1
RXRB	CYP4A11
RXRB	HMGCS2
RXRB	ACADM
RXRB	PCK1
RXRB	UCP1
RXRG	CYP4A11
RXRG	HMGCS2
RXRG	ACADM
RXRG	PCK1
RXRG	UCP1
CREB1	HLA-DRB1
NFKB1	IL18
MYC	CCNB1
TFAP2A	CCNB1
USF2	CCNB1
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
PPARG	CDKN1A
SP1	CDKN1A
SP3	CDKN1A
STAT3	CDKN1A
TFAP2A	CDKN1A
CREB1	CYP11A1
JUN	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
TFAP2A	CYP11A1
NFKB1	FBP1
USF2	FBP1
ESR1	HSPB1
SP1	HSPB1
SP1	KRT18
SP1	MAT2B
SP3	MAT2B
FLI1	MMP9
PPARA	MMP9
PPARG	MMP9
SMAD3	MMP9
SP1	MMP9
ETS1	SLC26A3
SP1	SOD1
CREB1	TH
HOXA5	TH
TFAP2A	TH
