ACHE	COL1A1
COL1A1	IGFBP3
IGFBP3	FN1
FN1	ELAVL1
ELAVL1	ELK4
FN1	CIRBP
CIRBP	SRF
IGFBP3	GTF3C1
GTF3C1	TOP1
TOP1	ELK3
COL1A1	ITGB1
ITGB1	NME1
NME1	GATA1
GATA1	FLI1
FN1	CSNK2A1
CSNK2A1	ATF1
COL1A1	UBL4A
UBL4A	RAB1A
RAB1A	CREB1
FN1	SMAD4
UBL4A	RPN1
RPN1	TAL1
COL1A1	P4HB
P4HB	UCHL3
UCHL3	YAP1
ITGB1	TUBA1A
TUBA1A	MYC
IGFBP3	IGF1R
IGF1R	ESR1
IGF1R	TP53
ITGB1	PTK2
PTK2	SAE1
SAE1	ETV4
ITGB1	PRKCA
PRKCA	PPARG
SMAD4	ATF2
UBL4A	HSP90AA1
HSP90AA1	PPARA
PTK2	STAT1
UBL4A	APP
APP	ELK1
IGFBP3	CD44
CD44	STAT3
UCHL3	SMAD1
SMAD4	SMAD5
SMAD4	SMAD9
HSP90AA1	PPARD
CHRNA1	CHRNG
CHRNG	KRT31
KRT31	LMO4
LMO4	BRCA1
BRCA1	ELK4
KRT31	HDAC4
HDAC4	SRF
KRT31	TSG101
TSG101	EP300
EP300	TCF3
TCF3	ELK3
BRCA1	FLI1
BRCA1	ATF1
EP300	CREB1
EP300	SMAD4
EP300	TAL1
KRT31	PIN1
PIN1	YAP1
CHRNG	ACTL6B
ACTL6B	APP
APP	MYC
LMO4	ESR1
TSG101	TP53
HDAC4	ATXN1
ATXN1	ETV4
LMO4	PPARG
HDAC4	ATF2
TSG101	UBE2I
UBE2I	PPARA
HDAC4	STAT1
EP300	STAT3
EP300	SMAD1
EP300	SMAD5
PIN1	SMAD3
SMAD3	SMAD9
LMO4	HDAC2
HDAC2	PPARD
CHRND	CHRNA1
CHRNE	CHRNA1
CHRNA3	Ubqln1
Ubqln1	Bcr
Bcr	Rac1
Rac1	Traf6
Traf6	UBE2D3
UBE2D3	BRCA1
Traf6	Nr0b2
Nr0b2	RXRG
RXRG	SRF
Rac1	Mapk1
Mapk1	TP53
TP53	TOP1
Traf6	Stub1
Stub1	HSP82
HSP82	ATF1
TP53	CREB1
Rac1	Pak
Pak	OS9
OS9	SERPINA1
SERPINA1	SMAD4
OS9	RPN1
Traf6	1-Dec
1-Dec	PPP1CA
PPP1CA	YAP1
Traf6	Ubc
Ubc	MYC
Nr0b2	ESR1
Traf6	Akt1
Akt1	HTT
HTT	ETV4
Rac1	dsh
dsh	MED14
MED14	PPARG
Traf6	UBE2N
UBE2N	NBN
NBN	ATF2
Traf6	ECSIT
ECSIT	RELA
RELA	PPARA
Rac1	Jra
Jra	Egfr
Egfr	STAT1
Rac1	Tuba1a
Tuba1a	SNCA
SNCA	ELK1
Mapk1	HIF1A
HIF1A	STAT3
TP53	SMAD1
UBE2D3	SMURF1
SMURF1	SMAD5
TP53	SMAD3
Rac1	robo
robo	Nedd4
Nedd4	PPARD
CHRNA4	YWHAH
YWHAH	CBL
CBL	MAPK8
MAPK8	ELK4
YWHAH	YWHAZ
YWHAZ	HDAC4
YWHAZ	CTNNB1
CTNNB1	TCF3
YWHAZ	PRKCD
PRKCD	FLI1
YWHAH	SNCAIP
SNCAIP	CSNK2A1
YWHAH	ABL1
ABL1	CREB1
YWHAH	CYFIP2
CYFIP2	SMAD4
YWHAZ	UBC
UBC	TAL1
ABL1	YAP1
YWHAH	PAK2
PAK2	MYC
YWHAH	IRS1
IRS1	ESR1
YWHAZ	TP53
YWHAZ	RFWD2
RFWD2	ETV4
CTNNB1	PPARG
YWHAH	SNRPE
SNRPE	HSP90AA1
YWHAH	PIK3CA
PIK3CA	STAT1
YWHAZ	APP
PRKCD	STAT3
CBL	SMAD3
SMAD3	SMAD5
CTNNB1	PPARD
CHRNA7	FYN
FYN	CTNNB1
CTNNB1	BRCA1
FYN	BCL3
BCL3	KAT5
KAT5	SRF
BCL3	CTBP2
CTBP2	FLI1
FYN	NR3C1
NR3C1	CREB1
