PCCB	LYPLA1
LYPLA1	APRT
APRT	APP
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
LYPLA1	DPYSL2
DPYSL2	NUMB
NUMB	TP53
DPYSL2	ARFIP1
ARFIP1	STAT3
LYPLA1	PRDX6
PRDX6	CASP8
CASP8	CEBPB
APP	MAPK8
MAPK8	REL
HLCS	SNX27
SNX27	INSR
INSR	SOCS3
SOCS3	NFKB1
SNX27	NTRK1
NTRK1	RELA
INSR	SOCS1
SOCS1	TP53
NTRK1	STAT3
NTRK1	RB1
RB1	CEBPB
INSR	GRB2
GRB2	REL
MCCC2	HMGCL
HMGCL	HES1
HES1	STAT3
STAT3	NFKB1
HMGCL	RNF126
RNF126	UBE2D2
UBE2D2	RELA
RNF126	CDKN1A
CDKN1A	TP53
RNF126	EGFR
EGFR	CEBPB
HES1	HSPA4
HSPA4	REL
PC	KPNA4
KPNA4	CUL4B
CUL4B	NFKB1
KPNA4	TP53
TP53	RELA
PC	PFAS
PFAS	CAPN1
CAPN1	STAT3
KPNA4	DAXX
DAXX	CEBPB
PC	COPB1
COPB1	GRB2
PCCA	PCCB
ACACA	BRCA1
BRCA1	EP300
EP300	NFKB1
BRCA1	RELA
BRCA1	TP53
EP300	STAT3
BRCA1	CEBPB
EP300	REL
TP53	BAX
NFKB1	CEBPB
RELA	CEBPB
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
