AKR1D1	SIRT1
SIRT1	STAT3
STAT3	SP1
SIRT1	JUN
SIRT1	RB1
RB1	TFAP2A
RB1	MYC
SIRT1	RELA
RELA	USF2
SIRT1	ARRB2
ARRB2	PARK2
PARK2	MEOX2
MEOX2	PAX1
STAT3	HIF1A
SIRT1	HDAC2
HDAC2	GLI1
STAT3	HDAC1
HDAC1	GLI2
HDAC1	GLI3
STAT3	NFKB1
SIRT1	FOS
FOS	CEBPA
RB1	SPI1
SIRT1	ESR1
ESR1	CREBBP
STAT3	EP300
RB1	ARNT
SIRT1	HSP90AA1
HSP90AA1	NFIC
SIRT1	UBE2I
UBE2I	ETS1
SIRT1	TP53
STAT3	STAT1
RB1	CEBPB
IFNG	ICAM1
GLI1	BMP2
GLI1	BMP4
GLI2	BMP2
GLI2	BMP4
GLI3	BMP2
GLI3	BMP4
STAT1	MYD88
CREBBP	EDN1
CREBBP	PFKFB3
EP300	EDN1
EP300	PFKFB3
HIF1A	EDN1
HIF1A	PFKFB3
ARNT	EDN1
ARNT	PFKFB3
ETS1	MMP2
JUN	MMP2
MYC	MMP2
STAT1	CXCL9
HIF1A	ADM
TFAP2A	ADM
NFIC	ALAS1
MYC	CCNB1
TFAP2A	CCNB1
USF2	CCNB1
SPI1	CD68
NFKB1	CD83
SP1	CD83
JUN	GJA1
SP1	GJA1
CEBPA	ICAM1
CEBPB	ICAM1
JUN	ICAM1
NFKB1	ICAM1
RELA	ICAM1
SPI1	ICAM1
CEBPA	IL5
CEBPB	IL5
ETS1	IL5
JUN	IL5
SPI1	IL5
CEBPA	MMP2
SP1	MMP2
SPI1	MMP2
TFAP2A	MMP2
TP53	MMP2
HIF1A	VHL
PAX1	VHL
TFAP2A	VHL
