AKR1D1	SIRT1
SIRT1	RARA
SIRT1	STAT3
STAT3	NCOA1
NCOA1	RARB
NCOA1	RARG
SIRT1	SUV39H1
SUV39H1	RUNX1
SIRT1	HDAC2
HDAC2	RUNX1T1
SIRT1	RB1
RB1	CEBPB
SIRT1	UBE2I
UBE2I	RXRA
SIRT1	PPARA
PPARA	RXRB
PPARA	RXRG
RB1	PPARG
STAT3	HIF1A
SIRT1	ESR1
ESR1	CREBBP
STAT3	EP300
RB1	ARNT
SIRT1	TP53
SIRT1	RELA
RELA	REL
RARA	JUP
RUNX1	JUP
RUNX1T1	JUP
TP53	CDKN1A
CREBBP	CDKN1A
CREBBP	PDK1
CREBBP	HKDC1
EP300	CDKN1A
EP300	PDK1
EP300	HKDC1
HIF1A	CDKN1A
HIF1A	PDK1
HIF1A	HKDC1
ARNT	CDKN1A
ARNT	PDK1
ARNT	HKDC1
TP53	CCNG2
PPARA	FABP1
PPARA	ACSL3
PPARA	ACSL4
PPARG	ACSL3
PPARG	ACSL4
PPARG	ADIPOQ
RXRA	FABP1
RXRA	ACSL3
RXRA	ACSL4
RXRA	ADIPOQ
RXRB	FABP1
RXRB	ACSL3
RXRB	ACSL4
RXRB	ADIPOQ
RXRG	FABP1
RXRG	ACSL3
RXRG	ACSL4
RXRG	ADIPOQ
PPARG	CDKN1A
STAT3	CDKN1A
RARA	CRABP2
RARB	CRABP2
RARG	CRABP2
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
CEBPB	F8
HIF1A	MDK
