NISCH	IRS1
IRS1	UBC
UBC	ATF6
IRS1	IGF1R
IGF1R	TP53
IRS1	SIRT1
SIRT1	JUN
IRS1	ESR1
ESR1	CREBBP
IRS1	GRB2
GRB2	EP300
ESR1	HIF1A
EP300	ARNT
ESR1	STAT3
IRS1	APP
APP	MYC
GRB2	RUVBL1
RUVBL1	LEF1
UBC	DAZAP2
DAZAP2	TCF7
APP	FBLN1
FBLN1	TCF7L2
IRS1	AKT1
AKT1	CTNNB1
CTNNB1	TCF7L1
APP	TAF6
TAF6	YAP1
IRS1	INSR
INSR	TEAD1
GRB2	TRIM27
TRIM27	TEAD4
GRB2	AP4S1
AP4S1	TEAD3
ESR1	SP1
APP	MAPK7
MAPK7	ETS1
IRS1	PTK2
PTK2	STAT1
APP	ELK1
INSR	STAT5A
INSR	STAT5B
AKT1	PIAS2
PIAS2	STAT4
IRS1	HDAC2
HDAC2	SMAD7
MYC	TFAP2A
AKT1	CREB1
GRB2	SOS1
GRB2	SOS2
EP300	STAT2
IRS1	JAK3
JAK3	STAT6
SIRT1	FOS
IRS1	SOCS3
SOCS3	NFKB1
GRB2	HSP90AA1
HSP90AA1	NFIC
EP300	ATF4
APP	HSPA8
HSPA8	POU2F1
APP	MAPK8
MAPK8	ATF2
GRB2	ENO1
ENO1	E2F4
APP	KAT5
KAT5	MAX
ESR1	HDAC3
HDAC3	CREB3
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	CREB3L2
HDAC2	RUNX1T1
RUNX1T1	CREB3L1
ESR1	RELA
IRS1	PIK3CA
PIK3CA	SMAD3
ESR1	MAPK1
APP	SNCA
SNCA	MAPK3
LEF1	BIRC5
LEF1	MYC
TCF7	BIRC5
TCF7	MYC
TCF7L2	BIRC5
TCF7L2	MYC
TCF7L1	BIRC5
TCF7L1	MYC
ELK1	CCND3
JUN	CCND3
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
SMAD3	MYC
ATF4	PCNA
CREB3L2	PCNA
TP53	CDKN1B
CREB3L1	PCNA
CREBBP	CDKN1B
CREBBP	HMOX1
EP300	CDKN1B
EP300	HMOX1
HIF1A	CDKN1B
HIF1A	HMOX1
ARNT	CDKN1B
ARNT	HMOX1
YAP1	BIRC5
YAP1	MYC
YAP1	CCND3
LEF1	CCND3
TCF7	CCND3
TCF7L2	CCND3
TEAD1	BIRC5
TEAD1	MYC
TEAD1	CCND3
TEAD4	BIRC5
TEAD4	MYC
TEAD4	CCND3
TEAD3	BIRC5
TEAD3	MYC
TEAD3	CCND3
TCF7L1	CCND3
SOS1	MYC
SOS1	CCND3
SOS2	MYC
SOS2	CCND3
STAT1	MYC
STAT1	CCND3
STAT2	MYC
STAT2	CCND3
STAT3	MYC
STAT3	CCND3
STAT4	MYC
STAT4	CCND3
STAT5A	MYC
STAT5A	CCND3
STAT5B	MYC
STAT5B	CCND3
STAT6	MYC
STAT6	CCND3
MAPK1	CDK4
MAPK3	CDK4
TP53	CCNG1
ETS1	CDK4
FOS	CDK4
JUN	CDK4
MYC	CDK4
MAX	CDK4
SP1	ALDH3A1
SP1	APEX1
ATF4	ASNS
TP53	CHEK1
STAT3	CSRP1
CREB1	HMOX1
ETS1	HMOX1
NFIC	HMOX1
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
TFAP2A	HMOX1
NFIC	HSPA1A
TFAP2A	HSPA1A
SP1	HSPA8
E2F4	MYC
MYC	MYC
ESR1	MYC
JUN	MYC
NFKB1	MYC
POU2F1	MYC
RELA	MYC
SP1	MYC
TFAP2A	MYC
TP53	MYC
MYC	NRAS
CREB1	NRAS
JUN	NRAS
TFAP2A	NRAS
E2F4	PCNA
TP53	PCNA
JUN	TFPI2
NFIC	TFPI2
NFKB1	TFPI2
POU2F1	TFPI2
SP1	TFPI2
ATF6	XBP1
