AKR1D1	SIRT1
SIRT1	STAT3
STAT3	HIF1A
SIRT1	TP53
SIRT1	ESR1
ESR1	CREBBP
STAT3	EP300
SIRT1	RB1
RB1	ARNT
SIRT1	FOXO3
RB1	PPARG
STAT3	NFKB1
SIRT1	PPARA
SIRT1	UBE2I
UBE2I	RXRA
PPARA	RXRB
PPARA	RXRG
SIRT1	FOS
FOS	CEBPA
SIRT1	CREB1
TP53	GADD45A
TP53	CDKN1B
CREBBP	CDKN1B
CREBBP	PFKFB3
EP300	CDKN1B
EP300	PFKFB3
HIF1A	CDKN1B
HIF1A	PFKFB3
ARNT	CDKN1B
ARNT	PFKFB3
FOXO3	CDKN1B
PPARA	ACSL4
PPARG	ACSL4
RXRA	ACSL4
RXRB	ACSL4
RXRG	ACSL4
CEBPA	GADD45A
NFKB1	GADD45A
PPARA	GADD45A
PPARG	GADD45A
CEBPA	ICAM1
CREB1	ICAM1
NFKB1	ICAM1
