SLC22A6	APP
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
APP	CDC20
CDC20	CREBBP
APP	MAPK8
MAPK8	EP300
APP	MCM7
MCM7	HIF1A
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
MAPK8	JUNB
APP	MAPK7
MAPK7	ETS1
MAPK8	STAT3
MAPK8	JUN
MAPK8	SP1
APP	MYC
MYC	TFAP2A
MAPK8	CEBPA
APP	RFX5
RFX5	PPARG
PANX1	GNAS
GNAS	C1QBP
C1QBP	NFKBIE
NFKBIE	NFKB1
GNAS	GIPC1
GIPC1	OGT
OGT	RELA
GNAS	RUVBL1
RUVBL1	CREBBP
C1QBP	PRKCD
PRKCD	EP300
GIPC1	MCM7
RUVBL1	ELAVL1
CREBBP	JUNB
CREBBP	ETS1
GNAS	HLA-A
HLA-A	STAT3
C1QBP	PRKD1
PRKD1	JUN
C1QBP	PRKCZ
PRKCZ	SP1
GIPC1	SH3BP4
SH3BP4	TFAP2A
C1QBP	CEBPA
C1QBP	PRKCA
PRKCA	PPARG
CREBBP	CDKN1A
CREBBP	TIMP1
CREBBP	HKDC1
EP300	CDKN1A
EP300	TIMP1
EP300	HKDC1
HIF1A	CDKN1A
HIF1A	TIMP1
HIF1A	HKDC1
ARNT	CDKN1A
ARNT	TIMP1
ARNT	HKDC1
NFKB1	CEBPB
RELA	CEBPB
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
PPARG	CDKN1A
SP1	CDKN1A
STAT3	CDKN1A
TFAP2A	CDKN1A
JUNB	DCN
ETS1	TIMP1
JUN	TIMP1
JUNB	TIMP1
SP1	TIMP1
STAT3	TIMP1
TFAP2A	TIMP1
