HPGDS	ARRDC3
ARRDC3	ADRB2
ADRB2	STAT3
ARRDC3	ITCH
ITCH	JUN
ARRDC3	ARRB2
ARRB2	MAPK1
MAPK1	CEBPB
ADRB2	REL
ARRB2	STAT1
MAPK1	STAT5A
ARRDC3	HGS
HGS	INSR
INSR	STAT5B
ARRB2	YWHAQ
YWHAQ	YAP1
ITCH	TP53
TP53	ETS1
ARRB2	ALYREF
ALYREF	LEF1
STAT1	STAT2
ADRB2	STAT4
ARRB2	EEF1A1
EEF1A1	STAT6
MAPK1	ELK1
ARRB2	POLR2E
POLR2E	FOS
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ARRB2	CAPN1
CAPN1	HIF1A
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	ARNT
HGS	DAZAP2
DAZAP2	TCF7
DAZAP2	TCF7L2
DAZAP2	TCF7L1
INSR	TEAD1
ARRDC3	OTUB2
OTUB2	TRIM27
TRIM27	TEAD4
ADRB2	PHB2
PHB2	TEAD3
HGS	EGFR
EGFR	SOS1
EGFR	SOS2
ARRB2	AKT1
AKT1	CREB1
ELK1	CCND3
JUN	CCND3
CREBBP	FIGF
CREBBP	TFRC
EP300	FIGF
EP300	TFRC
HIF1A	FIGF
HIF1A	TFRC
ARNT	FIGF
ARNT	TFRC
YAP1	CCND3
LEF1	CCND3
TCF7	CCND3
TCF7L2	CCND3
TEAD1	CCND3
TEAD4	CCND3
TEAD3	CCND3
TCF7L1	CCND3
SOS1	CCND3
SOS2	CCND3
STAT1	CCND3
STAT2	CCND3
STAT3	CCND3
STAT4	CCND3
STAT5A	CCND3
STAT5B	CCND3
STAT6	CCND3
STAT1	FIGF
STAT3	FIGF
ETS1	FIGF
FOS	FIGF
JUN	FIGF
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
FOS	PENK
JUN	PENK
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
