NISCH	IRS1
IRS1	APP
APP	MYC
MYC	TFAP2A
IRS1	SIRT1
SIRT1	JUN
IRS1	ESR1
ESR1	SP1
APP	MAPK8
MAPK8	SPI1
IRS1	INSR
INSR	IRF7
IRS1	CBLB
CBLB	MYD88
APP	RFX5
RFX5	PPARG
APP	GSK3B
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
ESR1	NCOR2
NCOR2	RXRG
APP	MAPK7
MAPK7	ETS1
IRS1	GRB2
GRB2	ALOX5
ALOX5	MEOX1
MEOX1	PAX1
IRS1	AKT1
AKT1	CREB1
SIRT1	PPARA
SIRT1	FOS
IRS1	SOCS3
SOCS3	NFKB1
ESR1	HIF1A
IRS1	IGF1R
IGF1R	TP53
GRB2	HTT
HTT	ETV4
IRS1	HDAC2
HDAC2	GLI1
ESR1	HDAC1
HDAC1	GLI2
ESR1	CREBBP
CREBBP	GLI3
GRB2	HSP90AA1
HSP90AA1	NFIC
APP	HSPA8
HSPA8	ERG
HDAC2	PPARD
MAPK8	CEBPA
GRB2	EP300
EP300	ARNT
GRB2	MAPK9
APP	MAPK8IP2
MAPK8IP2	MAPK10
APP	C9orf41
C9orf41	NR3C2
ESR1	BRCA1
BRCA1	ATF1
SIRT1	HNF1A
ESR1	RELA
ESR1	E2F1
HSPA8	POU2F1
NR3C2	ATP1B4
NR3C2	SGK1
NFKB1	XIAP
RELA	XIAP
GLI1	WNT16
GLI1	WNT2
GLI1	WNT2B
GLI2	WNT16
GLI2	WNT2
GLI2	WNT2B
GLI3	WNT16
GLI3	WNT2
GLI3	WNT2B
MAPK8	SMAD4
MAPK9	SMAD4
MAPK10	SMAD4
CREBBP	FLT1
CREBBP	TFRC
EP300	FLT1
EP300	TFRC
HIF1A	FLT1
HIF1A	TFRC
ARNT	FLT1
ARNT	TFRC
HNF1A	HNF4G
ETS1	MMP2
FOS	MMP2
JUN	MMP2
MYC	MMP2
NFKB1	MYB
RELA	MYB
PPARA	NR1H3
PPARA	UCP1
PPARD	FABP3
PPARD	UCP1
PPARG	NR1H3
PPARG	GK2
PPARG	OLR1
PPARG	UCP1
RXRA	NR1H3
RXRA	FABP3
RXRA	GK2
RXRA	OLR1
RXRA	UCP1
RXRB	NR1H3
RXRB	FABP3
RXRB	GK2
RXRB	OLR1
RXRB	UCP1
RXRG	NR1H3
RXRG	FABP3
RXRG	GK2
RXRG	OLR1
RXRG	UCP1
IRF7	IFNA1
IRF7	IFNA2
IRF7	IFNA5
IRF7	IFNA8
IRF7	IFNA16
SPI1	FCGR1A
MYD88	IFNA1
MYD88	IFNA2
MYD88	IFNA5
MYD88	IFNA8
MYD88	IFNA16
CREB1	TINAGL1
NFIC	TINAGL1
TFAP2A	CALB2
CREB1	CYP11A1
JUN	CYP11A1
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
TFAP2A	CYP11A1
E2F1	HIST1H2AM
POU2F1	HIST2H2BE
ETS1	LYZ
CEBPA	MMP2
ERG	MMP2
ETV4	MMP2
SP1	MMP2
SPI1	MMP2
TFAP2A	MMP2
TP53	MMP2
E2F1	MYB
ETS1	MYB
ETV4	MYB
TFAP2A	MYB
ATF1	TFRC
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
HIF1A	VHL
PAX1	VHL
TFAP2A	VHL
