NISCH	IRS1
IRS1	ESR1
ESR1	E2F1
E2F1	SP4
IRS1	GRB2
GRB2	RUVBL1
RUVBL1	LEF1
IRS1	UBC
UBC	DAZAP2
DAZAP2	TCF7
IRS1	APP
APP	FBLN1
FBLN1	TCF7L2
IRS1	AKT1
AKT1	CTNNB1
CTNNB1	TCF7L1
APP	TAF6
TAF6	YAP1
IRS1	INSR
INSR	TEAD1
GRB2	TRIM27
TRIM27	TEAD4
GRB2	AP4S1
AP4S1	TEAD3
APP	MYC
ESR1	SP1
IRS1	SIRT1
SIRT1	JUN
APP	MAPK7
MAPK7	ETS1
APP	HSPA8
HSPA8	POU2F1
IRS1	SOCS3
SOCS3	NFKB1
ESR1	RELA
IRS1	IGF1R
IGF1R	TP53
ESR1	STAT3
ESR1	SP3
GRB2	TSG101
TSG101	NFKB2
IRS1	PTK2
PTK2	STAT1
SIRT1	FOS
AKT1	CREB1
ESR1	MAPK1
APP	SNCA
SNCA	MAPK3
APP	MAPK8
MAPK8	ATF2
ESR1	HIF1A
FOS	CCND1
JUN	CCND1
MYC	CCND1
LEF1	BIRC5
LEF1	CCND1
TCF7	BIRC5
TCF7	CCND1
TCF7L2	BIRC5
TCF7L2	CCND1
TCF7L1	BIRC5
TCF7L1	CCND1
HIF1A	GAPDH
YAP1	BIRC5
YAP1	CCND1
TEAD1	BIRC5
TEAD1	CCND1
TEAD4	BIRC5
TEAD4	CCND1
TEAD3	BIRC5
TEAD3	CCND1
STAT1	CCND1
STAT3	CCND1
MAPK1	CCND1
MAPK3	CCND1
ETS1	CCND1
NFKB1	CCND1
NFKB2	CCND1
RELA	CCND1
ATF2	CCND1
CREB1	CCND1
ESR1	CCND1
POU2F1	CCND1
SP1	CCND1
SP3	CCND1
SP4	CCND1
TP53	CCND1
MYC	EIF4E
SP1	HSPA8
ESR1	TFF1
JUN	TFF1
