DDC	RELA
RELA	BRCA1
BRCA1	E2F4
RELA	JUN
RELA	EP300
EP300	MYC
RELA	MAPK14
MAPK14	ATF6
RELA	FOS
EP300	ETS1
RELA	TP53
EP300	E2F1
EP300	MAX
RELA	STAT3
STAT3	RB1
RB1	E2F2
RELA	HDAC1
HDAC1	E2F3
STAT3	MAPK1
BRCA1	MAPK3
STAT3	EGFR
EGFR	SOS1
RELA	ESR1
ESR1	SOS2
EP300	MYB
STAT3	STAT1
RELA	CREBBP
RELA	HIF1A
EP300	ARNT
EP300	CREB1
RELA	SMAD3
SMAD3	LEF1
RELA	UBC
UBC	DAZAP2
DAZAP2	TCF7
RELA	AR
AR	TCF7L2
EP300	CTNNB1
CTNNB1	TCF7L1
SMAD3	YAP1
STAT3	NCOA1
NCOA1	TEAD1
EP300	GOLGA2
GOLGA2	TEAD4
E2F1	TEAD3
CREBBP	ELK1
SMAD3	CEBPA
JUN	STAT4
EP300	TFAP2A
EP300	FOXO3
RELA	PPARG
RELA	SP1
EP300	ATF2
RELA	PPARA
EP300	STAT5A
RELA	NR3C1
NR3C1	STAT5B
RELA	HDAC3
HDAC3	CREB3
BRCA1	NFYA
NFYA	ATF6B
RELA	ATF4
RELA	EZH2
EZH2	ELAVL1
ELAVL1	CREB3L2
EP300	DDIT3
DDIT3	CREB3L1
BRCA1	CREB5
RELA	NCOR2
NCOR2	PPARD
EP300	STAT2
STAT3	STAT6
RELA	RXRA
NR3C1	RXRB
PPARA	RXRG
RELA	NFKB1
RELA	POU2F1
RELA	NFKB2
NFKB1	BIRC3
RELA	BIRC3
SMAD3	CDKN1A
TP53	CDKN1A
TP53	SFN
LEF1	MYC
TCF7	MYC
TCF7L2	MYC
TCF7L1	MYC
ESR1	ATP2B1
JUN	CXCL1
NFKB1	CXCL1
RELA	CXCL1
ELK1	BIRC3
ELK1	CCND3
JUN	CCND3
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
SMAD3	MYC
ATF4	PCNA
CREB3L2	PCNA
TP53	CDKN1B
CREB3L1	PCNA
CREB5	PCNA
CREBBP	CDKN1A
CREBBP	CDKN1B
EP300	CDKN1A
EP300	CDKN1B
HIF1A	CDKN1A
HIF1A	CDKN1B
ARNT	CDKN1A
ARNT	CDKN1B
YAP1	MYC
YAP1	CCND3
LEF1	CCND3
TCF7	CCND3
TCF7L2	CCND3
TEAD1	MYC
TEAD1	CCND3
TEAD4	MYC
TEAD4	CCND3
TEAD3	MYC
TEAD3	CCND3
TCF7L1	CCND3
SOS1	SPRY2
SOS1	MYC
SOS1	CCND3
SOS2	SPRY2
SOS2	MYC
SOS2	CCND3
STAT1	MYC
STAT1	CCND3
STAT2	MYC
STAT2	CCND3
STAT3	MYC
STAT3	CCND3
STAT4	MYC
STAT4	CCND3
STAT5A	MYC
STAT5A	CCND3
STAT5B	MYC
STAT5B	CCND3
STAT6	MYC
STAT6	CCND3
MAPK1	CDK4
MAPK3	CDK4
TP53	SIAH1
TP53	CCNG1
ETS1	CDK4
FOS	CDK4
JUN	CDK4
MYC	CDK4
NFKB1	TRAF5
NFKB2	BIRC3
NFKB2	TRAF5
RELA	TRAF5
FOXO3	CDKN1B
FOXO3	PCK2
PPARA	ACADM
PPARD	ILK
PPARG	PCK2
RXRA	ACADM
RXRA	ILK
RXRA	PCK2
RXRB	ACADM
RXRB	ILK
RXRB	PCK2
RXRG	ACADM
RXRG	ILK
RXRG	PCK2
MAX	CDK4
STAT1	CXCL9
CEBPA	TSC22D3
MYB	TSC22D3
POU2F1	AKR1C2
E2F4	CDC45
E2F2	CDC45
E2F3	CDC45
E2F1	CDC45
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
PPARG	CDKN1A
SP1	CDKN1A
STAT3	CDKN1A
TFAP2A	CDKN1A
STAT3	CSRP1
SP1	HSPA8
PPARA	LIPA
PPARD	LIPA
PPARG	LIPA
E2F4	MYC
MYC	MYC
ESR1	MYC
JUN	MYC
MYB	MYC
NFKB1	MYC
POU2F1	MYC
RELA	MYC
SP1	MYC
TFAP2A	MYC
TP53	MYC
MYC	NRAS
CREB1	NRAS
JUN	NRAS
MYB	NRAS
TFAP2A	NRAS
CEBPA	PCK2
E2F4	PCNA
TP53	PCNA
FOS	PDHA1
JUN	PDHA1
SP1	PDHA1
TFAP2A	PDHA1
ETS1	TNNC1
JUN	TNNC1
NFKB1	TNNC1
SMAD3	TNNC1
POU2F1	TXNRD1
ATF6	XBP1
