ACHE	COL1A1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	TP53
COL1A1	UBL4A
UBL4A	RAB1A
RAB1A	CREB1
COL1A1	P4HB
P4HB	UCHL3
UCHL3	YAP1
UBL4A	NCL
NCL	SP1
IGFBP3	FN1
FN1	SMAD4
SMAD4	ATF2
UBL4A	SMN1
SMN1	RXRA
FN1	RARA
RARA	RXRB
RARA	RXRG
UBL4A	HSP90AA1
HSP90AA1	PPARA
UBL4A	TXN
TXN	NFKB1
IGF1R	CSK
CSK	JUN
IGF1R	RUVBL1
RUVBL1	LEF1
UBL4A	RPS27A
RPS27A	DAZAP2
DAZAP2	TCF7
COL1A1	NID1
NID1	FBLN1
FBLN1	TCF7L2
COL1A1	ITGB1
ITGB1	ILK
ILK	CTNNB1
CTNNB1	TCF7L1
YAP1	TEAD1
ILK	TRIM27
TRIM27	TEAD4
UBL4A	PHB2
PHB2	TEAD3
COL1A1	RNH1
RNH1	SDCBP
SDCBP	FOXP2
FOXP2	SP4
IGF1R	ESR1
ESR1	SP3
UBL4A	C1QBP
C1QBP	CEBPA
UBL4A	KPNA2
KPNA2	RELA
FN1	RBL1
RBL1	E2F4
FN1	TRIB3
TRIB3	ATF4
TP53	ETS1
HTR2A	CBL
CBL	YWHAZ
YWHAZ	TP53
CBL	ABL1
ABL1	CREB1
CBL	SMAD3
SMAD3	YAP1
CBL	CTNNB1
CTNNB1	SP1
SMAD3	ATF2
CBL	SRC
SRC	RXRA
CTNNB1	PPARG
PPARG	RXRB
PPARG	RXRG
CBL	GRB2
GRB2	HSP90AA1
CBL	HSPA4
HSPA4	NFKB1
SMAD3	JUN
CTNNB1	LEF1
CBL	UBC
UBC	DAZAP2
CTNNB1	TCF7L2
CTNNB1	SOX2
SOX2	TEAD1
GRB2	TRIM27
GRB2	AP4S1
AP4S1	TEAD3
CBL	YWHAQ
YWHAQ	E2F1
E2F1	SP4
GRB2	EP300
EP300	SP3
SMAD3	CEBPA
CBL	HSPA8
HSPA8	RELA
SMAD3	E2F4
SMAD3	SMAD4
EP300	ATF4
EP300	ETS1
JUN	CCND1
LEF1	BIRC5
LEF1	CCND1
TCF7	BIRC5
TCF7	CCND1
TCF7L2	BIRC5
TCF7L2	CCND1
TCF7L1	BIRC5
TCF7L1	CCND1
CREB1	PCNA
ATF2	PCNA
ATF4	PCNA
YAP1	BIRC5
YAP1	ID3
YAP1	CCND1
SMAD4	ID3
TEAD1	BIRC5
TEAD1	CCND1
TEAD4	BIRC5
TEAD4	CCND1
TEAD3	BIRC5
TEAD3	CCND1
ETS1	CCND1
NFKB1	CCND1
NFKB1	TRAF5
RELA	CCND1
RELA	TRAF5
PPARA	ACSL3
PPARA	ACADM
PPARA	PLTP
RXRA	ACSL3
RXRA	ACADM
RXRA	PCK2
RXRA	PLTP
RXRB	ACSL3
RXRB	ACADM
RXRB	PCK2
RXRB	PLTP
RXRG	ACSL3
RXRG	ACADM
RXRG	PCK2
RXRG	PLTP
SP1	AGT
CREB1	AQP3
ATF2	CCND1
CREB1	CCND1
SP1	CCND1
SP3	CCND1
SP4	CCND1
TP53	CCND1
SP1	COL2A1
SP3	COL2A1
NFKB1	F8
CEBPA	IVL
JUN	IVL
CEBPA	PCK2
E2F4	PCNA
TP53	PCNA
TP53	PLK1
TP53	PRKAB1
ETS1	TNNC1
JUN	TNNC1
NFKB1	TNNC1
SMAD4	TNNC1
SP3	TNNC1
SP3	TNPO1
SP1	TTR
