DDC	RELA
RELA	JUN
RELA	SP1
RELA	EP300
EP300	MYC
EP300	TFAP2A
RELA	USF2
RELA	RXRA
RELA	NR3C1
NR3C1	RXRB
RELA	PPARA
PPARA	RXRG
RELA	TP53
RELA	NCOR2
NCOR2	PPARD
RELA	HIF1A
EP300	ETS1
RELA	STAT3
STAT3	STAT1
EP300	EPAS1
RELA	PPARG
RELA	HDAC2
HDAC2	GLI1
RELA	HDAC1
HDAC1	GLI2
RELA	CREBBP
CREBBP	GLI3
RELA	NFKB1
EP300	ARNT
RELA	POU2F1
EP300	STAT5A
NR3C1	STAT5B
JUN	STAT4
STAT3	PIM1
STAT5A	PIM1
STAT5B	PIM1
GLI1	WNT4
GLI1	BMP2
GLI1	WNT11
GLI2	WNT4
GLI2	BMP2
GLI2	WNT11
GLI3	WNT4
GLI3	BMP2
GLI3	WNT11
CREBBP	VEGFA
EP300	VEGFA
HIF1A	VEGFA
ARNT	VEGFA
STAT1	PIM1
STAT4	PIM1
NFKB1	VEGFA
RELA	VEGFA
STAT1	VEGFA
STAT3	VEGFA
EPAS1	TGFB2
EPAS1	VEGFA
ETS1	VEGFA
HIF1A	TGFB2
JUN	VEGFA
MYC	VEGFA
PPARA	FABP1
PPARA	ACSL4
PPARA	ACOX1
PPARA	ANGPTL4
PPARD	ILK
PPARD	ACOX1
PPARD	ANGPTL4
PPARG	ACSL4
PPARG	PCK1
PPARG	ANGPTL4
RXRA	FABP1
RXRA	ACSL4
RXRA	ILK
RXRA	ACOX1
RXRA	PCK1
RXRA	ANGPTL4
RXRB	FABP1
RXRB	ACSL4
RXRB	ILK
RXRB	ACOX1
RXRB	PCK1
RXRB	ANGPTL4
RXRG	FABP1
RXRG	ACSL4
RXRG	ILK
RXRG	ACOX1
RXRG	PCK1
RXRG	ANGPTL4
NFKB1	CEBPG
RELA	CEBPG
MYC	CCNB1
TFAP2A	CCNB1
USF2	CCNB1
ETS1	CD79B
POU2F1	CD79B
SP1	CYP17A1
JUN	GJA1
SP1	GJA1
ETS1	IL5
JUN	IL5
POU2F1	IL5
TP53	PLK1
