ACHE	COL1A1
COL1A1	IGFBP3
IGFBP3	FN1
FN1	UBC
UBC	ATF6
IGFBP3	IGF1R
IGF1R	CSK
CSK	JUN
COL1A1	UBL4A
UBL4A	NPM1
NPM1	TFAP2A
IGF1R	TP53
TP53	ETS1
UBL4A	HSP90AA1
HSP90AA1	NFIC
IGF1R	ESR1
FN1	UBE2L3
UBE2L3	FOS
COL1A1	ITGB1
ITGB1	GNB2L1
GNB2L1	HIF1A
ITGB1	TUBA1A
TUBA1A	MYC
COL1A1	P4HB
P4HB	VCP
VCP	MAPK1
VCP	MAPK3
COL1A1	SPARC
SPARC	XRCC6
XRCC6	CREBBP
IGFBP3	CD44
CD44	EP300
HSP90AA1	ARNT
UBL4A	NCL
NCL	SP1
CD44	STAT3
P4HB	CALU
CALU	HSF1
FN1	SMAD4
SMAD4	ATF2
ITGB1	PRKCA
PRKCA	PPARG
UBL4A	C1QBP
C1QBP	CEBPA
IGF1R	MDM2
MDM2	JUND
ESR1	SP3
HSP90AA1	MAX
ITGB1	NME1
NME1	GATA1
GATA1	FLI1
UBL4A	TXN
TXN	NFKB1
VCP	NFKB2
UBL4A	KPNA2
KPNA2	RELA
SMAD4	CDKN1A
TP53	CDKN1A
JUN	CXCL1
NFKB1	CXCL1
RELA	CXCL1
JUN	CCND3
TP53	CDKN1B
CREBBP	CDKN1A
CREBBP	CDKN1B
EP300	CDKN1A
EP300	CDKN1B
HIF1A	CDKN1A
HIF1A	CDKN1B
ARNT	CDKN1A
ARNT	CDKN1B
STAT3	CCND3
HSF1	HSPA1A
MAPK1	CDK4
MAPK3	CDK4
NFKB2	CXCL12
TP53	DDB2
TP53	ZMAT3
ETS1	CDK4
FOS	CDK4
JUN	CDK4
MYC	CDK4
MAX	CDK4
SP1	ALDH3A1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUND	CDKN1A
PPARG	CDKN1A
SP1	CDKN1A
SP3	CDKN1A
STAT3	CDKN1A
TFAP2A	CDKN1A
TP53	CHEK1
NFIC	HSPA1A
TFAP2A	HSPA1A
FOS	PDHA1
JUN	PDHA1
SP1	PDHA1
TFAP2A	PDHA1
TP53	PLK1
ETS1	PPP2R4
NFKB1	PPP2R4
SP1	TAF7
TFAP2A	TAF7
ESR1	TFF1
JUN	TFF1
JUN	TXN
ATF6	XBP1
