SLC12A2	COMMD1
COMMD1	EP300
EP300	STAT3
EP300	CEBPB
EP300	SP1
EP300	JUN
SLC12A4	TMEM43
TMEM43	CUL4B
CUL4B	NXF1
NXF1	STAT3
CUL4B	HNRNPK
HNRNPK	CEBPB
CUL4B	NFKB1
NFKB1	SP1
CUL4B	RFWD2
RFWD2	JUN
CFTR	ERBB2IP
ERBB2IP	STAT3
CFTR	PPIB
PPIB	DDIT3
DDIT3	CEBPB
CFTR	HSP90AA1
HSP90AA1	SP1
CFTR	PRKDC
PRKDC	JUN
CEBPB	CSRP1
STAT3	CSRP1
JUN	GJA1
SP1	GJA1
