SLC22A6	APP
APP	MAPK8
MAPK8	CEBPA
CEBPA	RARB
APP	PHF8
PHF8	RARA
APP	GSK3B
GSK3B	NFKB1
MAPK8	STAT3
APP	EEF1D
EEF1D	RELA
MAPK8	JUN
APP	HDAC4
HDAC4	STAT1
APP	MAPK7
MAPK7	FOS
APP	MYC
APP	CDC20
CDC20	CREBBP
MAPK8	EP300
APP	MCM7
MCM7	HIF1A
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
MAPK7	ETS1
MAPK8	NCOA3
NCOA3	RARG
MCM7	EPAS1
APP	KAT5
KAT5	CREB1
PANX1	GNAS
GNAS	C1QBP
C1QBP	CEBPA
GNAS	RUVBL1
RUVBL1	RARA
C1QBP	NFKBIE
NFKBIE	NFKB1
GNAS	HLA-A
HLA-A	STAT3
GNAS	GIPC1
GIPC1	OGT
OGT	RELA
C1QBP	PRKD1
PRKD1	JUN
GNAS	GNB2
GNB2	STAT1
CEBPA	FOS
GNAS	AXIN1
AXIN1	MYC
RUVBL1	CREBBP
C1QBP	PRKCD
PRKCD	EP300
GIPC1	MCM7
RUVBL1	ELAVL1
CREBBP	ETS1
C1QBP	MRPL12
MRPL12	RARG
CREBBP	CREB1
CREBBP	VEGFA
EP300	VEGFA
HIF1A	VEGFA
ARNT	VEGFA
NFKB1	VEGFA
RELA	VEGFA
STAT1	VEGFA
STAT3	VEGFA
EPAS1	VEGFA
ETS1	VEGFA
FOS	VEGFA
JUN	VEGFA
MYC	VEGFA
MYC	CDK6
CREB1	TINAGL1
RARA	CRABP2
RARB	CRABP2
RARG	CRABP2
