ACHE	COL1A1
COL1A1	UBL4A
UBL4A	NCL
NCL	SP1
UBL4A	TXN
TXN	NFKB1
UBL4A	NPM1
NPM1	TFAP2A
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	TP53
IGF1R	ESR1
ESR1	SP3
COL1A1	ITGB1
ITGB1	NME1
NME1	GATA1
GATA1	FLI1
UBL4A	KPNA2
KPNA2	RELA
UBL4A	RAB1A
RAB1A	CREB1
COL1A1	P4HB
P4HB	VCP
VCP	NFKB2
IGFBP3	CD44
CD44	EP300
EP300	USF2
TP53	ETS1
TP53	ETS2
UBL4A	HNRNPK
HNRNPK	CEBPB
UBL4A	C1QBP
C1QBP	CEBPA
ITGB1	PRKCA
PRKCA	PPARG
IGF1R	RUVBL1
RUVBL1	LEF1
UBL4A	SMN1
SMN1	RXRA
IGFBP3	FN1
FN1	RARA
RARA	RXRB
RARA	RXRG
IGF1R	CSK
CSK	JUN
UBL4A	RPS27A
RPS27A	DAZAP2
DAZAP2	TCF7
COL1A1	NID1
NID1	FBLN1
FBLN1	TCF7L2
ITGB1	ILK
ILK	CTNNB1
CTNNB1	TCF7L1
HTR2A	CBL
CBL	CTNNB1
CTNNB1	SP1
CBL	HSPA4
HSPA4	NFKB1
CBL	GRB2
GRB2	EP300
EP300	TFAP2A
CBL	YWHAZ
YWHAZ	TP53
EP300	SP3
CTNNB1	BRCA1
BRCA1	FLI1
CBL	HSPA8
HSPA8	RELA
CBL	ABL1
ABL1	CREB1
GRB2	TSG101
TSG101	NFKB2
EP300	ETS1
EP300	ETS2
CBL	SMAD3
SMAD3	CEBPB
SMAD3	CEBPA
CTNNB1	PPARG
CTNNB1	LEF1
CBL	SRC
SRC	RXRA
PPARG	RXRB
PPARG	RXRG
SMAD3	JUN
CBL	UBC
UBC	DAZAP2
CTNNB1	TCF7L2
LEF1	BIRC5
TCF7	BIRC5
TCF7L2	BIRC5
TCF7L1	BIRC5
NFKB1	PTGS2
NFKB1	TRAF1
RELA	PTGS2
RELA	TRAF1
TP53	IGFBP3
TP53	PMAIP1
NFKB2	PTGS2
NFKB2	TRAF1
PPARG	ACSL4
RXRA	ACSL4
RXRA	ILK
RXRB	ACSL4
RXRB	ILK
RXRG	ACSL4
RXRG	ILK
LEF1	FOSL1
TCF7	FOSL1
TCF7L2	FOSL1
TCF7L1	FOSL1
CEBPA	ALB
CEBPB	ALB
SP1	ALB
CREB1	BRCA1
USF2	BRCA1
ETS1	FOSL1
ETS2	FOSL1
JUN	FOSL1
SP1	FOSL1
CEBPA	GPX4
TFAP2A	GPX4
RELA	HDAC2
NFKB1	IER3
FLI1	IGFBP3
SP1	IGFBP3
SP3	IGFBP3
TFAP2A	IGFBP3
CEBPB	PTGS2
CREB1	PTGS2
PPARG	PTGS2
TFAP2A	PTGS2
USF2	PTGS2
CEBPA	SERPINC1
SP1	TTR
