NISCH	IRS1
IRS1	SIRT1
SIRT1	JUN
IRS1	ESR1
ESR1	SP1
ESR1	HIF1A
SIRT1	JUND
ESR1	CREBBP
IRS1	GRB2
GRB2	EP300
EP300	ARNT
SIRT1	FOS
SIRT1	EPAS1
ESR1	SMAD2
IRS1	APP
APP	MAPK8
MAPK8	CEBPA
APP	MAPK7
MAPK7	ETS1
IRS1	PIK3CA
PIK3CA	SMAD3
APP	CSNK1D
CSNK1D	SMAD4
EP300	USF2
IRS1	IGF1R
IGF1R	TP53
IRS1	AKT1
AKT1	CREB1
IRS1	SOCS3
SOCS3	NFKB1
ESR1	STAT3
IRS1	PTK2
PTK2	STAT1
AKT1	RARA
MAPK8	JUNB
APP	MYC
MYC	RUNX1
IRS1	HDAC2
HDAC2	RUNX1T1
MYC	TFAP2A
SIRT1	PPARA
APP	GSK3B
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
ESR1	NCOR2
NCOR2	RXRG
RARA	JUP
RUNX1	JUP
RUNX1T1	JUP
CREBBP	ENO3
CREBBP	ALDOA
CREBBP	HK2
CREBBP	SLC2A1
CREBBP	TIMP1
CREBBP	VEGFB
EP300	ENO3
EP300	ALDOA
EP300	HK2
EP300	SLC2A1
EP300	TIMP1
EP300	VEGFB
HIF1A	ENO3
HIF1A	ALDOA
HIF1A	HK2
HIF1A	SLC2A1
HIF1A	TIMP1
HIF1A	VEGFB
ARNT	ENO3
ARNT	ALDOA
ARNT	HK2
ARNT	SLC2A1
ARNT	TIMP1
ARNT	VEGFB
SMAD2	SLC2A1
SMAD3	SLC2A1
SMAD4	SLC2A1
STAT1	SOCS7
STAT3	SOCS7
CREB1	MITF
CREBBP	MITF
EP300	MITF
TP53	RPRM
NFKB1	VEGFB
STAT1	VEGFB
STAT3	VEGFB
EPAS1	SLC2A1
EPAS1	TGFA
EPAS1	VEGFB
ETS1	VEGFB
FOS	VEGFB
HIF1A	TGFA
JUN	VEGFB
PPARA	DBI
PPARA	SCD5
RXRA	DBI
RXRA	SCD5
RXRB	DBI
RXRB	SCD5
RXRG	DBI
RXRG	SCD5
CREB1	HLA-DOB
JUN	ALDOA
SP1	ALDOA
JUN	GJA1
SP1	GJA1
CEBPA	ITGA2
SP1	ITGA2
TFAP2A	ITGA2
CEBPA	IVL
JUN	IVL
JUNB	IVL
JUND	IVL
ETS1	LYZ
FOS	NQO1
JUND	NQO1
RARA	S100A8
RARA	S100A9
SMAD2	SP1
USF2	SP1
CREB1	TIMP1
ETS1	TIMP1
FOS	TIMP1
JUN	TIMP1
JUNB	TIMP1
JUND	TIMP1
SMAD3	TIMP1
SMAD4	TIMP1
SP1	TIMP1
STAT1	TIMP1
STAT3	TIMP1
TFAP2A	TIMP1
ETS1	TNNC1
JUN	TNNC1
NFKB1	TNNC1
SMAD2	TNNC1
SMAD3	TNNC1
SMAD4	TNNC1
TP53	TYMS
USF2	TYMS
SMAD3	ZFP36
SMAD4	ZFP36
