SCN5A	NEDD4
NEDD4	NTRK1
NTRK1	RELA
NEDD4	CUL5
CUL5	NFKB1
NEDD4	SRC
SRC	RXRA
NEDD4	PPARG
PPARG	RXRB
PPARG	RXRG
NEDD4	SMAD3
SMAD3	EP300
EP300	USF2
NEDD4	EGFR
EGFR	STAT3
SMAD3	SP1
NEDD4	SMAD2
SMAD2	RARB
NEDD4	AKT1
AKT1	CREB1
SMAD3	ATF2
NEDD4	BTRC
BTRC	ATF4
NEDD4	ERBB3
ERBB3	EGR1
NFKB1	HIF1A
RELA	HIF1A
STAT3	HIF1A
NFKB1	PTGS2
RELA	PTGS2
RXRA	ILK
RXRB	ILK
RXRG	ILK
NFKB1	CTSB
RELA	CTSB
USF2	CTSB
RARB	MIF
ATF2	PTGS2
ATF4	PTGS2
CREB1	PTGS2
RARB	PTGS2
USF2	PTGS2
USF2	PTPN6
RELA	S100A6
EGR1	SOD1
SP1	SOD1
