HTR2A	CBL
CBL	CTNNB1
CTNNB1	SP1
CBL	SMAD3
SMAD3	JUN
CBL	YWHAZ
YWHAZ	TP53
CBL	ABL1
ABL1	CREB1
CTNNB1	HIF1A
CBL	MAPK8
MAPK8	SPI1
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
DRD2	FLNA
FLNA	RBM39
RBM39	JUN
FLNA	RANBP2
RANBP2	TP53
PPP1R9B	PPP1CA
PPP1CA	CREB1
DRD2	EPB41L1
EPB41L1	COPS5
COPS5	HIF1A
FLNA	LMNA
LMNA	PML
PML	SPI1
FLNA	REL
REL	NFKB1
REL	RELA
DRD1	RANBP9
RANBP9	ESR1
ESR1	SP1
RANBP9	NR3C1
NR3C1	JUN
ESR1	TP53
NR3C1	CREB1
ESR1	HIF1A
DRD1	COPG1
COPG1	ARF1
ARF1	SPI1
NR3C1	NFKB1
ESR1	RELA
DRD5	GNA12
GNA12	HSP90AA1
HSP90AA1	SP1
DRD5	GNA13
GNA13	PTK2B
PTK2B	VAV1
VAV1	JUN
HSP90AA1	TP53
GNA13	MAP3K5
MAP3K5	EP300
EP300	CREB1
HSP90AA1	HIF1A
VAV1	SPI1
EP300	NFKB1
EP300	RELA
DRD3	GIPC1
GIPC1	MCM7
MCM7	RB1
RB1	SP1
DRD3	EPB41L1
COPS5	JUN
COPS5	TP53
MCM7	FHL2
FHL2	CREB1
MCM7	HIF1A
RB1	SPI1
COPS5	NFKB1
GIPC1	OGT
OGT	RELA
DRD4	ARRB2
ARRB2	MAPK1
MAPK1	SP1
ARRB2	MAP2K4
MAP2K4	JUN
DRD4	STUB1
STUB1	TP53
ARRB2	AKT1
AKT1	CREB1
STUB1	HIF1A
ARRB2	NONO
NONO	SPI1
ARRB2	NFKBIA
NFKBIA	NFKB1
STUB1	RELA
HTR1A	S1PR1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
S1PR1	TRIP6
TRIP6	CREB5
CREB5	JUN
TRIP6	PTK2
PTK2	TP53
HTR1A	HTR1D
HTR1D	HTR1B
HTR1B	MDFI
MDFI	KAT5
KAT5	CREB1
SMAD3	HIF1A
S1PR1	PDGFRB
PDGFRB	VAV1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	E2F1
E2F1	NFKB1
TRIP6	UBE2C
UBE2C	RELA
MDFI	VHL
VHL	SP1
MDFI	PIN1
PIN1	JUN
KAT5	TP53
VHL	HIF1A
MDFI	NAB2
NAB2	SPI1
KAT5	EP300
KAT5	RELA
HTR1E	PSMC4
PSMC4	PSMC5
PSMC5	SP1
HTR1E	MEOX2
MEOX2	RELA
RELA	JUN
HTR1E	PSMC3
PSMC3	TP53
MEOX2	KAT5
PSMC3	HIF1A
PSMC4	PSMA3
PSMA3	NONO
PSMC4	PSMD10
PSMD10	NFKB1
HTR2C	CALM1
CALM1	ESR1
HTR2C	DLG4
DLG4	MDM2
MDM2	JUN
DLG4	ERBB4
ERBB4	TP53
CALM1	AKT1
MDM2	HIF1A
DLG4	PTK2B
CALM1	DCUN1D1
DCUN1D1	NFKB1
MDM2	RELA
HTR6	CLTC
CLTC	EP300
EP300	SP1
HTR6	COPS5
HTR6	ATM
ATM	TP53
ATM	CREB1
ATM	HIF1A
ATM	HDAC1
HDAC1	SPI1
ATM	RELA
HTR7	CUL3
CUL3	CTNNB1
