ACHE	COL1A1
COL1A1	UBL4A
UBL4A	RAB1A
RAB1A	CREB1
COL1A1	IGFBP3
IGFBP3	FN1
FN1	SMAD4
SMAD4	ATF2
IGFBP3	IGF1R
IGF1R	TP53
FN1	RBL1
RBL1	E2F4
COL1A1	ITGB1
ITGB1	RANBP9
RANBP9	COPS5
COPS5	CREB3
ITGB1	SEL1L
SEL1L	ERLEC1
ERLEC1	ATF6B
FN1	TRIB3
TRIB3	ATF4
FN1	ELAVL1
ELAVL1	CREB3L2
UBL4A	PGRMC1
PGRMC1	CREB3L1
COL1A1	PDGFB
PDGFB	MDFI
MDFI	CREB5
COL1A1	P4HB
P4HB	PSMD9
PSMD9	BRCA1
IGF1R	CSK
CSK	JUN
UBL4A	NCL
NCL	SP1
COL1A1	SPARC
SPARC	XRCC6
XRCC6	CREBBP
IGFBP3	CD44
CD44	EP300
JUN	GRIA2
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
CREBBP	TFRC
EP300	TFRC
JUN	GJA1
SP1	GJA1
E2F4	PCNA
BRCA1	PCNA
TP53	PCNA
ATF2	PLAT
CREB1	PLAT
JUN	PLAT
CREB1	TFRC
JUN	TFRC
