HTR2A	CBL
CBL	GRB2
GRB2	HSP90AA1
HSP90AA1	NFIC
DRD2	CALM1
CALM1	HSP90AA1
HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	SMURF1
SMURF1	NFIC
HTR1B	MDFI
MDFI	VHL
VHL	HSP90AA1
HTR1D	HTR1B
HTR1E	ATP5B
ATP5B	HSP90AA1
HTR2C	CALM1
HTR6	COPS5
COPS5	HSP90AA1
HTR7	CUL3
CUL3	HSP90AA1
DRD1	RANBP9
RANBP9	ESR1
ESR1	SMURF1
DRD5	GNA12
GNA12	HSP90AA1
DRD3	EPB41L1
EPB41L1	COPS3
COPS3	HSP90AA1
DRD4	GRB2
ADRA1B	AP2M1
AP2M1	EEF1A1
EEF1A1	HSP90AA1
ADRA1D	GOPC
GOPC	TGFBR2
TGFBR2	HSP90AA1
ADRA2A	UCHL1
UCHL1	HSP90AA1
ADRA2B	UCHL1
ADRA2C	UCHL1
CHRM1	GPRASP2
GPRASP2	AGO2
AGO2	HSP90AA1
CHRM2	SET
SET	NR3C1
NR3C1	HSP90AA1
CHRM3	CSNK1A1
CSNK1A1	HSP90AA1
