TRPV1	EGFR
EGFR	PML
PML	RELA
RELA	USF2
PML	TP53
EGFR	MAP2K4
MAP2K4	JUN
PML	SP1
JUN	ETS1
EGFR	HSP90AA1
HSP90AA1	PPARA
PML	PPARG
EGFR	NR3C1
NR3C1	POU2F1
EGFR	STAT3
STAT3	NFKB1
EGFR	CTNNB1
CTNNB1	LEF1
EGFR	HGS
HGS	DAZAP2
DAZAP2	TCF7
PML	TCF7L2
CTNNB1	TCF7L1
PML	ATF2
EGFR	ERBB3
ERBB3	EGR1
PML	RXRA
NR3C1	RXRB
PML	NCOR2
NCOR2	RXRG
EGFR	SOS1
EGFR	SOS2
HSP90AA1	NFIC
EGFR	ITCH
ITCH	GLI1
PML	SKI
SKI	GLI2
EGFR	PRKCA
PRKCA	GLI3
EGFR	MAPK8
MAPK8	CEBPA
EGFR	CEBPB
PML	YAP1
PML	SPI1
EGFR	EPS15
EPS15	TFAP2A
PML	FOS
EGFR	ESR1
ESR1	E2F1
EGFR	STAT1
EGFR	SOCS1
SOCS1	IRF3
NR3C1	CREB1
EGFR	GRB2
GRB2	REL
CREB1	ARC
ATF2	ARC
GLI1	WNT16
GLI1	BMP4
GLI1	WNT2
GLI2	WNT16
GLI2	BMP4
GLI2	WNT2
GLI3	WNT16
GLI3	BMP4
GLI3	WNT2
E2F1	CCNE2
TP53	GADD45B
JUN	CCND2
YAP1	ID3
YAP1	SNAI2
YAP1	CCND2
LEF1	SNAI2
LEF1	CCND2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SNAI2
TCF7L2	CCND2
TCF7L1	SNAI2
TCF7L1	CCND2
SOS1	SPRED2
SOS1	CCND2
SOS2	SPRED2
SOS2	CCND2
STAT1	CCND2
STAT3	CCND2
NFKB1	GADD45B
RELA	GADD45B
TP53	BAX
TP53	RRM2
ETS1	MMP2
FOS	MMP2
JUN	MMP2
PPARA	FABP1
PPARA	APOC3
RXRA	FABP1
RXRA	APOC3
RXRB	FABP1
RXRB	APOC3
RXRG	FABP1
RXRG	APOC3
IRF3	CXCL10
IRF3	CD40
STAT1	CXCL10
LEF1	MMP7
TCF7	MMP7
TCF7L2	MMP7
TCF7L1	MMP7
NFIC	ALAS1
TP53	APCS
CEBPA	APOB
PPARA	APOB
ATF2	APOC3
USF2	APOC3
EGR1	CD44
SP1	CD44
POU2F1	CD79A
ETS1	CD79B
POU2F1	CD79B
NFKB1	CD83
SP1	CD83
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
PPARA	GADD45B
PPARG	GADD45B
JUN	GJA1
SP1	GJA1
NFIC	GOT1
SP1	HBZ
E2F1	HIST1H2AM
ETS1	LCK
JUN	MGP
CEBPA	MMP2
SP1	MMP2
SPI1	MMP2
TFAP2A	MMP2
TP53	MMP2
JUN	MMP7
PPARG	POU2F1
USF2	PTPN6
