ADRA1B	AP2M1
AP2M1	AP1G1
AP1G1	JUN
AP2M1	SFPQ
SFPQ	SP1
AP2M1	CLTC
CLTC	EP300
EP300	NFKB1
EP300	EGR1
AP2M1	HSPA8
HSPA8	POU2F1
AP2M1	EEF1A1
EEF1A1	HSP90AA1
HSP90AA1	NFIC
HSPA8	UBE3A
UBE3A	CEBPA
AP2M1	BCR
BCR	TP53
EP300	ETS1
HSPA8	ERG
EP300	FOS
AP2M1	EPS15
EPS15	TFAP2A
AP2M1	CSNK2B
CSNK2B	MYC
CSNK2B	BRCA1
BRCA1	FLI1
HSPA8	HTT
HTT	ETV4
HSPA8	RELA
SFPQ	PPARG
CSNK2B	RXRA
SFPQ	NR3C1
NR3C1	RXRB
PPARG	RXRG
EEF1A1	GADD45G
GADD45G	PPARA
EP300	ETS2
EP300	CREB1
EEF1A1	FUS
FUS	SPI1
ADRA1D	GOPC
GOPC	RELA
RELA	JUN
ADRA1D	DTNA
DTNA	NUP62
NUP62	SP1
RELA	NFKB1
RELA	EGR1
RELA	POU2F1
GOPC	TGFBR2
TGFBR2	HSP90AA1
GOPC	CDC42
CDC42	KAT5
KAT5	CEBPA
DTNA	NMT1
NMT1	TP53
DTNA	ACTB
ACTB	EP300
ADRA1D	AMFR
AMFR	HSPA4
HSPA4	ERG
RELA	FOS
EP300	TFAP2A
ADRA1D	ERLIN2
ERLIN2	TUBA1A
TUBA1A	MYC
GOPC	BECN1
BECN1	BRCA1
AMFR	HTT
RELA	PPARG
RELA	RXRA
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	NR1H2
NR1H2	RXRB
NR1H2	RXRG
RELA	PPARA
AMFR	ATXN3
ATXN3	CREB1
CDC42	VAV1
VAV1	SPI1
KCNH2	YWHAE
YWHAE	ABL1
ABL1	JUN
KCNH2	HSP90AA1
HSP90AA1	SP1
YWHAE	HDAC4
HDAC4	NFKB1
KCNH2	HSPA8
YWHAE	C1QBP
C1QBP	CEBPA
HSPA8	TP53
TP53	ETS1
ABL1	FOS
YWHAE	NPM1
NPM1	TFAP2A
HSP90AA1	MYC
HSP90AA1	BRCA1
YWHAE	XPO1
XPO1	PPARG
HSPA8	FLYWCH2
FLYWCH2	RXRB
HSP90AA1	PPARA
PPARA	RXRG
TP53	ETS2
ABL1	CREB1
KCNH2	CDC73
CDC73	DEP1
DEP1	SPI1
ETS1	MMP2
FOS	MMP2
JUN	MMP2
MYC	MMP2
PPARA	ACSL1
PPARA	ACSL4
PPARG	ACSL1
PPARG	ACSL4
RXRA	ACSL1
RXRA	ACSL4
RXRB	ACSL1
RXRB	ACSL4
RXRG	ACSL1
RXRG	ACSL4
CEBPA	ADH7
CEBPA	FN1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
JUN	GJA1
SP1	GJA1
SP1	KRT5
TFAP2A	KRT5
CEBPA	MMP2
ERG	MMP2
ETV4	MMP2
FLI1	MMP2
SP1	MMP2
SPI1	MMP2
TFAP2A	MMP2
TP53	MMP2
JUN	SERPINB2
SP1	SERPINB2
EGR1	TFPI2
JUN	TFPI2
NFIC	TFPI2
NFKB1	TFPI2
POU2F1	TFPI2
SP1	TFPI2
ERG	VWF
ETS1	VWF
ETS2	VWF
NFIC	VWF
NFKB1	VWF
POU2F1	VWF
