NR3C2	ATP1B3
SMAD4	CDKN2B
ZBTB17	CDKN2B
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
TP53	CDKN1B
CREB3L1	PCNA
CREB5	PCNA
CREBBP	CDKN1B
CREBBP	EDN1
CREBBP	ENO1
CREBBP	HMOX1
EP300	CDKN1B
EP300	EDN1
EP300	ENO1
EP300	HMOX1
HIF1A	CDKN1B
HIF1A	EDN1
HIF1A	ENO1
HIF1A	HMOX1
ARNT	CDKN1B
ARNT	EDN1
ARNT	ENO1
ARNT	HMOX1
YAP1	ID1
SMAD1	ID1
SMAD4	ID1
HSF1	HSPA1A
TP53	DDB2
TP53	IGFBP3
TP53	SIAH1
ETS1	CDK4
FOS	CDK4
JUN	CDK4
MAX	CKS1B
MAX	CKS2
MYC	CDK4
MYC	CKS1B
MYC	CKS2
PIAS2	CDKN2B
PPARA	FADS2
PPARD	ILK
PPARD	UBC
RXRA	ILK
RXRA	UBC
RXRA	FADS2
RXRB	ILK
RXRB	UBC
RXRB	FADS2
RXRG	ILK
RXRG	UBC
RXRG	FADS2
MAX	CDK4
CREBBP	CDKN2B
EP300	CDKN2B
SMAD5	ID1
SMAD9	ID1
SP1	CDKN2B
NFKB1	CEBPB
RELA	CEBPB
CEBPA	TWF2
CREB1	TWF2
ELK1	TWF2
ETS2	TWF2
SP1	CDK1
EGR1	AKR1B1
NFKB1	AKR1B1
RELA	AKR1B1
SP1	AKR1B1
POU2F1	AKR1C2
SP1	ALDH3A1
SP1	APEX1
E2F4	CDK1
ETS2	CDK1
USF2	CEACAM6
STAT3	CSRP1
NFKB1	ELF3
RELA	ELF3
CREB1	HMOX1
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
TFAP2A	HMOX1
USF2	HMOX1
ATF4	HPGD
CREB1	HPGD
ETS1	HPGD
ETV4	HPGD
NFIC	HSPA1A
TFAP2A	HSPA1A
ESR1	HSPB1
SP1	HSPB1
FLI1	IGFBP3
SP1	IGFBP3
TFAP2A	IGFBP3
CEBPA	IVL
JUN	IVL
MYC	NME1
TP53	NME1
MYC	ODC1
CREB1	ODC1
SP1	ODC1
E2F4	PCNA
TP53	PCNA
TP53	PLK1
TP53	PRKAB1
MYC	PTMA
ESR1	PTMA
TP53	PTTG1
TP53	S100B
ETS1	SPP1
ETS2	SPP1
ETV4	SPP1
JUN	SPP1
POU2F1	SPP1
SP1	SPP1
EGR1	TFPI2
JUN	TFPI2
NFIC	TFPI2
NFKB1	TFPI2
POU2F1	TFPI2
SP1	TFPI2
ATF1	TH
CREB1	TH
HOXA5	TH
TFAP2A	TH
MYC	TP53
EGR1	TP53
FOS	TP53
HIF1A	TP53
JUN	TP53
NFIC	TP53
NFKB1	TP53
PAX2	TP53
TP53	TP53
SP1	TPI1
JUN	TXN
POU2F1	TXNRD1
