SLC6A4	SNCA
SNCA	MAPK8
MAPK8	SP1
SNCA	AKT1
AKT1	CREBBP
SNCA	CLTC
CLTC	EP300
SNCA	MAPK1
MAPK1	HIF1A
EP300	ARNT
MAPK8	JUN
MAPK1	PPARG
MAPK1	RXRA
SNCA	APP
APP	AKAP13
AKAP13	RXRB
MAPK8	NR4A1
NR4A1	RXRG
AKT1	CREB1
AKAP13	PPARA
SNCA	EEF1A1
EEF1A1	GADD45G
GADD45G	PPARD
AKT1	KAT2B
KAT2B	PTF1A
PTF1A	RBPJL
SNCA	HSPB1
HSPB1	RBPJ
RBPJL	FGR
RBPJ	FGR
CREBBP	EDN1
CREBBP	HK3
CREBBP	SERPINE1
EP300	EDN1
EP300	HK3
EP300	SERPINE1
HIF1A	EDN1
HIF1A	HK3
HIF1A	SERPINE1
ARNT	EDN1
ARNT	HK3
ARNT	SERPINE1
RBPJL	PTCRA
RBPJ	PTCRA
PPARA	ANGPTL4
PPARD	ANGPTL4
PPARG	OLR1
PPARG	ANGPTL4
RXRA	OLR1
RXRA	ANGPTL4
RXRB	OLR1
RXRB	ANGPTL4
RXRG	OLR1
RXRG	ANGPTL4
CREB1	AQP2
CREB1	ARG1
JUN	GJA1
SP1	GJA1
PPARA	SERPINE1
PPARD	SERPINE1
PPARG	SERPINE1
SP1	SERPINE1
