HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	MAPK1
MAPK1	RXRA
ARRDC3	NEDD4
NEDD4	PPARG
PPARG	RXRB
PPARG	RXRG
ARRB2	SFPQ
SFPQ	SP3
ARRDC3	ITCH
ITCH	TP53
ARRB2	C1QBP
C1QBP	CEBPA
MAPK1	SP1
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	HNRNPD
HNRNPD	MYC
TP53	ETS1
TP53	ETS2
ARRB2	AKT1
AKT1	CREB1
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	NFIC
ARRB2	XRCC6
XRCC6	POU2F1
ARRB2	CDK3
CDK3	PPARA
ARRB2	HDAC2
HDAC2	PPARD
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ARRB2	CAPN1
CAPN1	HIF1A
HSP90AA1	ARNT
ARRB2	TRIM28
TRIM28	E2F4
MAPK1	ATF2
ARRB2	NONO
NONO	SPI1
ARRB2	ALYREF
ALYREF	LEF1
ARRDC3	HGS
HGS	DAZAP2
DAZAP2	TCF7
DAZAP2	TCF7L2
DAZAP2	TCF7L1
ITCH	JUN
ARRB2	PRMT5
PRMT5	RELA
CREB1	ARC
ATF2	ARC
LEF1	BIRC5
TCF7	BIRC5
TCF7L2	BIRC5
TCF7L1	BIRC5
NFKB1	TNF
RELA	TNF
CREBBP	LTBR
CREBBP	ANGPT4
CREBBP	PFKFB1
EP300	LTBR
EP300	ANGPT4
EP300	PFKFB1
HIF1A	LTBR
HIF1A	ANGPT4
HIF1A	PFKFB1
ARNT	LTBR
ARNT	ANGPT4
ARNT	PFKFB1
TP53	BAX
TP53	TNFRSF10B
MYC	CKS1B
PPARA	APOC3
PPARD	ILK
PPARG	FABP4
RXRA	FABP4
RXRA	APOC3
RXRA	ILK
RXRB	FABP4
RXRB	APOC3
RXRB	ILK
RXRG	FABP4
RXRG	APOC3
RXRG	ILK
JUN	TNF
SPI1	CD14
CREB1	HLA-DRA
NFKB1	CEBPG
RELA	CEBPG
LEF1	FOSL1
TCF7	FOSL1
TCF7L2	FOSL1
TCF7L1	FOSL1
PPARG	SAT1
ATF2	APOC3
TP53	BAK1
SP1	CD14
SP3	CD14
PPARA	CYP1A1
SP1	CYP1A1
SP3	CYP1A1
SP3	DNASE2
ETS1	FOSL1
ETS2	FOSL1
JUN	FOSL1
SP1	FOSL1
MYC	NME1
TP53	NME1
ETS1	PPP2R4
NFKB1	PPP2R4
TP53	PRKAB1
SPI1	SCARB2
CEBPA	SERPINC1
CREB1	SLC9A1
E2F4	TK1
CEBPA	TK1
ATF2	TNF
ETS1	TNF
POU2F1	TNF
SP1	TNF
SP3	TNF
SPI1	TNF
ETS1	VWF
ETS2	VWF
NFIC	VWF
NFKB1	VWF
POU2F1	VWF
