PDE4A	SQSTM1
SQSTM1	MAPK1
MAPK1	SP1
MAPK1	HSF1
SQSTM1	YWHAZ
YWHAZ	TP53
MAPK1	CREBBP
MAPK1	EP300
SQSTM1	HIF1A
HIF1A	ARNT
SQSTM1	CUL3
CUL3	NFKB1
SQSTM1	PRKCZ
PRKCZ	RELA
MAPK1	JUN
PDE4B	MAGEA11
MAGEA11	EP300
EP300	SP1
MAGEA11	MTA1
MTA1	HSF1
EP300	TP53
EP300	CREBBP
EP300	HIF1A
EP300	ARNT
EP300	NFKB1
EP300	RELA
EP300	JUN
PDE4D	APP
APP	MAPK8
MAPK8	SP1
MAPK8	HSF1
PDE4D	LYN
LYN	TP53
LYN	CREBBP
PDE4D	MDM2
MDM2	EP300
PDE4D	GNB2L1
GNB2L1	HIF1A
GNB2L1	RB1
RB1	ARNT
APP	GSK3B
GSK3B	NFKB1
MDM2	RELA
MDM2	JUN
PDE4C	SRI
SRI	STAT3
STAT3	SP1
STAT3	SMARCA4
SMARCA4	HSF1
SRI	ANXA7
ANXA7	TP53
SRI	TCF12
TCF12	CREBBP
STAT3	EP300
STAT3	HIF1A
STAT3	PML
PML	ARNT
STAT3	NFKB1
STAT3	RELA
STAT3	JUN
PGD	SUMO3
SUMO3	PML
PML	SP1
PGD	P4HB
P4HB	CALU
CALU	HSF1
P4HB	SERPINH1
SERPINH1	TP53
PML	CREBBP
PGD	TALDO1
TALDO1	TP73
TP73	EP300
P4HB	VCP
VCP	HIF1A
SUMO3	RL2
RL2	NFKB1
PGD	GDI1
GDI1	RAC3
RAC3	RELA
PML	JUN
JUN	CXCL1
NFKB1	CXCL1
RELA	CXCL1
NFKB1	IL6
RELA	IL6
CREBBP	NOS3
CREBBP	VEGFC
EP300	NOS3
EP300	VEGFC
HIF1A	NOS3
HIF1A	VEGFC
ARNT	NOS3
ARNT	VEGFC
HSF1	HSPA8
NFKB1	TNFAIP3
RELA	TNFAIP3
TP53	CCNG1
NFKB1	VEGFC
RELA	VEGFC
JUN	VEGFC
JUN	IL6
TP53	HSP90AB1
SP1	HSPA8
