ABCC8	RAPGEF4
RAPGEF4	RAP1A
RAP1A	CDC42
CDC42	TP53
RAP1A	HDAC1
HDAC1	CREB1
RAPGEF4	TRAF2
TRAF2	JUN
JUN	ATF2
JUN	ATF4
TRAF2	COPS5
COPS5	CREB3
RAP1A	NTRK1
NTRK1	CDK6
CDK6	ATF6B
TRAF2	ELAVL1
ELAVL1	CREB3L2
RAPGEF4	BZRAP1
BZRAP1	TSPO
TSPO	CREB3L1
TRAF2	CREB5
HDAC1	E2F4
RAP1A	TCEB3
TCEB3	BRCA1
RAP1A	HSPA4
HSPA4	NFKB1
RAP1A	FAS
FAS	UBE2I
UBE2I	EGR2
TRAF2	USF1
USF1	USF2
TP53	EGR1
RAP1A	FAF1
FAF1	HIF1A
HDAC1	SP1
JUN	ETS1
KCNJ1	SLC9A3R1
SLC9A3R1	YWHAZ
YWHAZ	TP53
SLC9A3R1	YAP1
YAP1	CREB1
YWHAZ	HDAC4
HDAC4	ATF2
YAP1	EP300
EP300	ATF4
YWHAZ	COPS5
YAP1	PTCH1
PTCH1	ATF6B
YWHAZ	CTNNB1
CTNNB1	ELAVL1
SLC9A3R1	ADRB2
ADRB2	PGRMC1
PGRMC1	CREB3L1
SLC9A3R1	PDGFRB
PDGFRB	TRIP6
TRIP6	CREB5
YWHAZ	ENO1
ENO1	E2F4
SLC9A3R1	EZR
EZR	BRCA1
SLC9A3R1	RPS3
RPS3	NFKB1
SLC9A3R1	YWHAQ
YWHAQ	NFATC1
NFATC1	EGR2
EP300	USF2
SLC9A3R1	CAPN1
CAPN1	HIF1A
CAPN1	STAT3
STAT3	SP1
STAT3	JUN
TP53	ETS1
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
HIF1A	PFKFB4
NFKB1	VCAM1
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
HIF1A	ABCB1
JUN	ABCB1
NFKB1	ABCB1
SP1	ABCB1
TP53	ABCB1
ETS1	CSNK2A1
NFKB1	CSNK2A1
ATF2	IFNG
CREB1	IFNG
EGR1	IFNG
E2F4	PCNA
BRCA1	PCNA
TP53	PCNA
TP53	TYMS
USF2	TYMS
