NR3C2	ATP1B3
LEF1	MYC
TCF7	MYC
TCF7L2	MYC
TCF7L1	MYC
CREBBP	ALDOA
CREBBP	LDHA
EP300	ALDOA
EP300	LDHA
HIF1A	ALDOA
HIF1A	LDHA
ARNT	ALDOA
ARNT	LDHA
STAT3	MYC
CREB1	MITF
CREBBP	MITF
EP300	MITF
LEF1	MITF
TCF7	MITF
TCF7L2	MITF
TCF7L1	MITF
NFKB1	VCAM1
RELA	VCAM1
JUN	CDK4
MYC	CDK4
NFKB1	TRAF5
NFKB2	TRAF5
RELA	TRAF5
SP1	CDK1
SP1	AGT
JUN	ALDOA
SP1	ALDOA
HIF1A	BNIP3
STAT3	CSRP1
JUN	GJA1
SP1	GJA1
CREB1	LDHA
SP1	LDHA
MYC	MYC
JUN	MYC
NFKB1	MYC
RELA	MYC
SP1	MYC
TP53	MYC
MYC	NME1
TP53	NME1
MYC	ODC1
CREB1	ODC1
SP1	ODC1
TP53	PRKAB1
JUN	TXN
