KCNJ11	YWHAB
YWHAB	YWHAZ
YWHAZ	ENO1
ENO1	E2F4
YWHAB	YWHAQ
YWHAQ	E2F1
YWHAZ	BCAR1
BCAR1	E2F2
YWHAQ	TRIM28
TRIM28	E2F3
YWHAB	APP
APP	MYC
MYC	ZBTB17
APP	MAPK8
MAPK8	PIAS2
APP	ELK1
ELK1	FLI1
CA1	TFCP2
TFCP2	HDAC1
HDAC1	E2F4
HDAC1	E2F1
TFCP2	HDAC2
HDAC2	RB1
RB1	E2F2
HDAC1	E2F3
HDAC2	MYC
TFCP2	SUMO1
SUMO1	PIAS2
PIAS2	FLI1
CA2	NONO
NONO	HDAC3
HDAC3	E2F4
CA2	SLC4A1
SLC4A1	CDKN2A
CDKN2A	E2F1
NONO	SMARCA4
SMARCA4	RB1
NONO	HDAC1
CDKN2A	MYC
CDKN2A	PIAS2
CDKN2A	BRCA1
BRCA1	FLI1
ATP1A1	RPN1
RPN1	ENO1
ATP1A1	PHB
PHB	E2F1
PHB	RB1
ATP1A1	CCT7
CCT7	TRIM28
ATP1A1	VDAC1
VDAC1	CLTC
CLTC	EP300
EP300	ZBTB17
ATP1A1	VDAC3
VDAC3	SUMO1
PHB	PRKCD
PRKCD	FLI1
KCNMA1	ENO1
KCNMA1	YWHAQ
KCNMA1	YWHAZ
KCNMA1	HSPB1
HSPB1	ZBTB17
KCNMA1	AKT1
AKT1	PIAS2
YWHAZ	PRKCD
SLC12A3	NEDD4
NEDD4	SMAD3
SMAD3	E2F4
SLC12A3	HSPA8
HSPA8	ESR1
ESR1	E2F1
ESR1	BCAR1
SLC12A3	HSP90AA1
HSP90AA1	BCL6
BCL6	E2F3
HSP90AA1	ZBTB17
HSPA8	TP53
TP53	PIAS2
HSP90AA1	BRCA1
ZBTB17	CDKN2B
PIAS2	CDKN2B
E2F4	CDC45
E2F2	CDC45
E2F3	CDC45
E2F1	CDC45
E2F4	DHFR
FLI1	TNNC1
FLI1	UPP1
