HTR1B	MDFI
MDFI	MYOD1
MYOD1	STAT3
MDFI	KAT5
KAT5	EP300
EP300	NFKB1
KAT5	TP53
MDFI	PIN1
PIN1	JUN
EP300	STAT1
KAT5	RELA
KAT5	RUVBL1
RUVBL1	LEF1
MDFI	VHL
VHL	UBC
UBC	DAZAP2
DAZAP2	TCF7
KAT5	UBE2I
UBE2I	TCF7L2
EP300	CTNNB1
CTNNB1	TCF7L1
KAT5	APP
APP	ELK1
EP300	ETS1
MYOD1	CREBBP
VHL	HIF1A
EP300	ARNT
MDFI	NAB2
NAB2	YAP1
KAT5	MYC
YAP1	TEAD1
MDFI	PRKAB2
PRKAB2	GOLGA2
GOLGA2	TEAD4
MDFI	PIDD1
PIDD1	TEAD3
EP300	FOS
UBE2I	PPARA
MDFI	NR1H2
NR1H2	RXRA
NR1H2	RXRB
NR1H2	RXRG
VHL	SP1
VHL	HSP90AA1
HSP90AA1	NFIC
KAT5	BRCA1
BRCA1	ATF1
KAT5	CREB1
BRCA1	ELK4
KAT5	SRF
NAB2	TOP1
TOP1	ELK3
VHL	EPAS1
KAT5	BCL3
BCL3	NFKB2
EP300	CEBPB
PRKAB2	REL
PIN1	SMAD2
SMAD2	ETV4
MDFI	AASDHPPT
AASDHPPT	PLCG1
PLCG1	SOS1
KAT5	ESR1
ESR1	SOS2
PIN1	PPARG
BRCA1	FLI1
EP300	ATF4
EP300	ZBTB17
PRKAB2	PIAS2
MDFI	CREB5
CREB5	ATF2
KAT5	MAX
KAT5	CEBPA
EP300	MAPK1
BRCA1	MAPK3
EP300	TFAP2A
EP300	SP3
KAT5	HDAC3
HDAC3	CREB3
NAB2	XBP1
XBP1	ATF6B
VHL	ELAVL1
ELAVL1	CREB3L2
PRKAB2	CREB3L1
EP300	STAT5A
KAT5	NR3C1
NR3C1	STAT5B
EP300	STAT2
VHL	TRIM28
TRIM28	STAT4
EP300	STAT6
EP300	PGR
MDFI	CDCA7L
CDCA7L	VDR
KAT5	GADD45G
GADD45G	PPARD
KAT5	TP73
UBE2I	ATF3
EP300	SMAD4
EP300	ETS2
HTR1D	HTR1B
HTR1D	S1PR1
S1PR1	GNAI3
GNAI3	XPO1
XPO1	STAT1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	LEF1
WWP2	UBC
WWP2	SMAD7
SMAD7	TCF7L2
S1PR1	TRIP6
TRIP6	PYGO2
PYGO2	CTNNB1
TRIP6	STK16
STK16	ELK1
SMAD3	FOS
SMAD3	CEBPB
WWP2	SMAD2
TRIP6	NCK2
NCK2	SOS1
TRIP6	ABI2
ABI2	SOS2
S1PR1	PDGFRB
PDGFRB	ETV6
ETV6	FLI1
SMAD3	MAPK1
WWP2	PTCH1
PTCH1	ATF6B
PDGFRB	SHC1
SHC1	STAT5A
SHC1	STAT5B
S1PR1	GNAI1
GNAI1	PGR
SMAD3	ATF3
SMAD3	SMAD4
WWP2	POU5F1
POU5F1	ETS2
HTR1A	S1PR1
GNAI3	GNB2
GNB2	STAT3
GNAI3	YWHAQ
YWHAQ	E2F1
E2F1	NFKB1
TRIP6	PTK2
PTK2	TP53
TRIP6	CREB5
CREB5	JUN
TRIP6	UBE2C
UBE2C	RELA
YWHAQ	NCOA3
NCOA3	ETS1
TRIP6	SRC
SRC	CREBBP
SMAD3	EP300
SMAD3	HIF1A
YWHAQ	NCOA1
NCOA1	ARNT
YWHAQ	YAP1
SMAD7	MYC
GNAI3	GNG5
GNG5	GOLGA2
HTR1A	HTR1D
NCOA1	PPARA
SRC	RXRA
TRIP6	AJUBA
AJUBA	RXRG
SMAD3	SP1
YWHAQ	SMURF1
SMURF1	NFIC
GNAI3	ALG6
ALG6	GEP3
GEP3	ATF1
XPO1	ELAVL1
ELAVL1	ELK4
SMAD7	SRF
TRIP6	RPS14
RPS14	TOP1
SMAD3	EPAS1
GNAI3	RAP1GAP
RAP1GAP	BTRC
BTRC	NFKB2
GNAI3	NUCB1
NUCB1	REL
XPO1	PPARG
GNAI3	GNAO1
GNAO1	GABBR1
GABBR1	ATF4
YWHAQ	HSPB1
HSPB1	ZBTB17
SMAD3	MAX
SMAD3	CEBPA
YWHAQ	SNCA
SNCA	MAPK3
GNAI3	GNAI2
GNAI2	NPM1
NPM1	TFAP2A
YWHAQ	ESR1
ESR1	SP3
SRC	HDAC3
HSPB1	STAT2
YWHAQ	TRIM28
YWHAQ	EEF1A1
EEF1A1	STAT6
SMAD3	VDR
GNAI3	CAPNS1
CAPNS1	PPARGC1A
PPARGC1A	PPARD
XPO1	TP73
CREB3	NPY
CREB1	NPY
ATF2	NPY
ATF6B	NPY
ATF4	NPY
CREB3L2	NPY
CREB3L1	NPY
CREB5	NPY
CREB3	FOS
CREB1	FOS
ATF2	FOS
ATF6B	FOS
ATF4	FOS
CREB3L2	FOS
CREB3L1	FOS
CREB5	FOS
NFKB1	BIRC2
NFKB1	BIRC3
RELA	BIRC2
RELA	BIRC3
SMAD4	CDKN2B
ZBTB17	CDKN2B
ELK1	BIRC2
ELK1	BIRC3
ELK1	CCND3
JUN	CCND3
CREBBP	EDN1
CREBBP	ENO1
CREBBP	LTBR
CREBBP	NOS3
CREBBP	NPPA
CREBBP	TFRC
CREBBP	VEGFA
CREBBP	VEGFB
EP300	EDN1
EP300	ENO1
EP300	LTBR
EP300	NOS3
EP300	NPPA
EP300	TFRC
EP300	VEGFA
EP300	VEGFB
HIF1A	EDN1
HIF1A	ENO1
HIF1A	LTBR
HIF1A	NOS3
HIF1A	NPPA
HIF1A	TFRC
HIF1A	VEGFA
HIF1A	VEGFB
ARNT	EDN1
ARNT	ENO1
ARNT	LTBR
ARNT	NOS3
ARNT	NPPA
ARNT	TFRC
ARNT	VEGFA
ARNT	VEGFB
YAP1	BBC3
YAP1	BIRC2
YAP1	ITGB2
YAP1	CCND3
LEF1	BIRC2
LEF1	CCND3
TCF7	BIRC2
TCF7	CCND3
TCF7L2	BIRC2
TCF7L2	CCND3
TEAD1	BIRC2
TEAD1	CCND3
TEAD4	BIRC2
TEAD4	CCND3
TEAD3	BIRC2
TEAD3	CCND3
TP73	BBC3
TCF7L1	BIRC2
TCF7L1	CCND3
SOS1	SPRY1
SOS1	CCND3
SOS2	SPRY1
SOS2	CCND3
STAT1	CCND3
STAT2	CCND3
STAT3	CCND3
STAT4	CCND3
STAT5A	CCND3
STAT5B	CCND3
STAT6	CCND3
ELK1	FOS
ELK4	FOS
SRF	FOS
MAPK1	CDK4
MAPK3	CDK4
VDR	TRPV6
TP53	SESN1
TP53	STEAP3
TP53	CCNG2
NFKB1	VEGFA
NFKB1	VEGFB
RELA	VEGFA
RELA	VEGFB
STAT1	VEGFA
STAT1	VEGFB
STAT3	VEGFA
STAT3	VEGFB
EPAS1	TGFA
EPAS1	VEGFA
EPAS1	VEGFB
ETS1	CDK4
ETS1	VEGFA
ETS1	VEGFB
FOS	CDK4
FOS	VEGFA
FOS	VEGFB
HIF1A	TGFA
JUN	CDK4
JUN	VEGFA
JUN	VEGFB
MAX	CKS2
MYC	CDK4
MYC	CKS2
MYC	VEGFA
MYC	VEGFB
NFKB2	BIRC2
NFKB2	BIRC3
PIAS2	CDKN2B
PPARA	DBI
PPARA	ACSL3
PPARA	SCD
PPARA	ACOX2
PPARA	FADS2
PPARD	ACADL
PPARD	ACOX2
PPARG	ACSL3
PPARG	SCD
RXRA	DBI
RXRA	ACSL3
RXRA	ACADL
RXRA	SCD
RXRA	ACOX2
RXRA	FADS2
RXRB	DBI
RXRB	ACSL3
RXRB	ACADL
RXRB	SCD
RXRB	ACOX2
RXRB	FADS2
RXRG	DBI
RXRG	ACSL3
RXRG	ACADL
RXRG	SCD
RXRG	ACOX2
RXRG	FADS2
ELK1	EGR1
MAX	CDK4
CREBBP	CDKN2B
EP300	CDKN2B
SP1	CDKN2B
NFKB1	IL18
MAPK1	IL18
MAPK3	IL18
RELA	IL18
LEF1	MMP7
TCF7	MMP7
TCF7L2	MMP7
TCF7L1	MMP7
SP1	COL4A2
SP1	COL4A1
TP53	MKI67
NFIC	ALAS1
SP1	APEX1
ATF1	AQP3
CREB1	AQP3
ATF3	ASNS
ATF4	ASNS
SP1	CD99
MYC	CDC25A
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
NFIC	CYP17A1
SP1	CYP17A1
SP3	CYP17A1
ATF1	ERBB2
CREB1	ERBB2
ELK1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
TP53	ERBB2
CEBPA	FN1
CREB1	FN1
NFKB1	FN1
RELA	FN1
ELK3	FOS
ETS2	FOS
ETV4	FOS
FLI1	FOS
STAT1	FOS
STAT3	FOS
NFIC	GOT1
CEBPA	GPX4
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
NFIC	HSPA1A
TFAP2A	HSPA1A
HIF1A	ITGB2
NFKB1	KLK3
PGR	KLK3
SP3	KLK3
TP53	KLK3
TFAP2A	KRT14
JUN	MMP7
CEBPA	NFYB
JUN	NPPA
ATF1	PPP2R4
ETS1	PPP2R4
NFKB1	PPP2R4
NFIC	SFTPC
ATF1	TFRC
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
FLI1	UPP1
ETV4	VIM
