GABRA1	PRKCD
PRKCD	YWHAG
YWHAG	YAP1
PRKCD	STAT3
STAT3	SMAD1
SMAD1	LEF1
PRKCD	ELAVL1
ELAVL1	DAZAP2
DAZAP2	TCF7
ELAVL1	TCF7L2
PRKCD	EP300
EP300	CTNNB1
CTNNB1	TCF7L1
PRKCD	INSR
INSR	TEAD1
EP300	GOLGA2
GOLGA2	TEAD4
EP300	E2F1
E2F1	TEAD3
YWHAG	WWTR1
EP300	CREBBP
STAT3	HIF1A
EP300	ARNT
EP300	CREB1
EP300	RXRA
PRKCD	APP
APP	AKAP13
AKAP13	RXRB
EP300	PPARG
PPARG	RXRG
EP300	RARA
STAT3	NFKB1
STAT3	RELA
STAT3	NCOA1
NCOA1	RARB
PRKCD	TP53
PRKCD	SP1
PRKCD	HSP90AA1
HSP90AA1	PPARA
EP300	ATF4
EP300	ATF2
GABRA3	SDCBP2
SDCBP2	ZCCHC10
ZCCHC10	PIN1
PIN1	YAP1
SDCBP2	BEND7
BEND7	TRIM27
TRIM27	PIAS4
PIAS4	LEF1
SDCBP2	PRPF40A
PRPF40A	UBQLN4
UBQLN4	DAZAP2
PRPF40A	UBE2I
UBE2I	TCF7L2
SDCBP2	ZNF581
ZNF581	SUV39H1
SUV39H1	CTNNB1
TRIM27	TEAD4
TEAD4	TEAD1
BEND7	C1QBP
C1QBP	PHB2
PHB2	TEAD3
SDCBP2	TIFA
TIFA	TRAF6
TRAF6	HIF1A
HIF1A	WWTR1
ZCCHC10	TP53
TP53	CREBBP
TP53	EP300
HIF1A	ARNT
TP53	CREB1
UBE2I	RXRA
SDCBP2	C1orf35
C1orf35	APP
TIFA	IRAK1
IRAK1	CUL1
CUL1	RXRG
PIN1	RARA
ZNF581	BANP
BANP	NFKB1
TP53	RELA
C1QBP	CEBPA
CEBPA	RARB
TP53	SP1
UBE2I	PPARA
IRAK1	BTRC
BTRC	ATF4
SDCBP2	C11orf57
C11orf57	MAPK8
MAPK8	ATF2
GABRA4	APP
APP	TAF6
TAF6	YAP1
APP	HGS
HGS	DAZAP2
DAZAP2	LEF1
APP	FBLN1
FBLN1	TCF7L2
DAZAP2	TCF7L1
HGS	INSR
APP	MCM7
MCM7	TRIM27
APP	KAT5
KAT5	E2F1
APP	YWHAG
APP	CDC20
CDC20	CREBBP
APP	MAPK8
MAPK8	EP300
MCM7	HIF1A
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	ARNT
KAT5	CREB1
APP	GSK3B
GSK3B	RXRA
MAPK8	NR4A1
NR4A1	RXRG
APP	PHF8
PHF8	RARA
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
MAPK8	CEBPA
MAPK8	TP53
MAPK8	SP1
AKAP13	PPARA
PSEN2	APH1A
APH1A	ATF4
CHRNA4	YWHAH
YWHAH	ABL1
ABL1	YAP1
YWHAH	YWHAZ
YWHAZ	CTNNB1
CTNNB1	LEF1
YWHAZ	UBC
UBC	DAZAP2
CTNNB1	TCF7L2
YWHAZ	WWTR1
WWTR1	TEAD1
YWHAH	SNCAIP
SNCAIP	VPS52
VPS52	TEAD4
WWTR1	TEAD3
YWHAH	ING1
ING1	CREBBP
YWHAH	PAK2
PAK2	EP300
CTNNB1	HIF1A
YWHAH	SNRPE
SNRPE	HSP90AA1
HSP90AA1	ARNT
ABL1	CREB1
YWHAH	CBL
CBL	SRC
SRC	RXRA
YWHAH	YWHAG
YWHAG	AKAP13
YWHAZ	AJUBA
AJUBA	RXRG
AJUBA	RARA
YWHAZ	COPS5
COPS5	NFKB1
YWHAZ	PRMT5
PRMT5	RELA
YWHAH	PIK3CA
PIK3CA	SMAD2
SMAD2	RARB
YWHAZ	TP53
CTNNB1	SP1
ABL1	NFKBIA
NFKBIA	ATF4
YWHAZ	HDAC4
HDAC4	ATF2
CHRNA7	FYN
FYN	ENO1
ENO1	YAP1
FYN	CTNNB1
LEF1	DAZAP2
FYN	BCL3
BCL3	NCOA1
NCOA1	TEAD1
FYN	SNCA
SNCA	VPS52
BCL3	CTBP2
CTBP2	TEAD3
CTNNB1	YWHAZ
CTNNB1	CREBBP
BCL3	EP300
FYN	HSP90AA1
FYN	NR3C1
NR3C1	CREB1
BCL3	RXRA
NR3C1	RXRB
CTNNB1	PPARG
BCL3	NFKB1
NR3C1	RELA
NR3C1	TP53
GRIA2	RAB11A
RAB11A	YWHAG
GRIA2	GRIP1
GRIP1	CTNNB1
GRIA2	SDCBP
SDCBP	SIAH1
SIAH1	DAB1
DAB1	DAZAP2
SDCBP	MID2
MID2	UBTD1
UBTD1	TEAD1
SDCBP	MBD3
MBD3	TRIM27
YAP1	TEAD3
GRIP1	CREBBP
SDCBP	ZBTB8A
ZBTB8A	EP300
SDCBP	TRAF6
SIAH1	PIAS2
PIAS2	ARNT
CREBBP	CREB1
SDCBP	TRIM32
TRIM32	RXRA
GRIP1	PPARG
PPARG	RXRB
TRIM32	RARA
GRIP1	HDAC1
HDAC1	NFKB1
CREBBP	RELA
SDCBP	TDO2
TDO2	MEOX2
MEOX2	RARB
TRIM32	TP53
SIAH1	UBE2I
CREBBP	ATF4
CREBBP	ATF2
GRIK2	DLG1
DLG1	BTRC
BTRC	YAP1
GRIK2	GRIP1
GRIK2	DLG4
DLG4	HGS
GRIK2	SDCBP
BTRC	E2F1
BTRC	WWTR1
GRIK2	DLG3
DLG3	CAMK2A
CAMK2A	CREB1
BTRC	NFKB1
BTRC	RELA
BTRC	SP1
GABRB1	NOD1
NOD1	UBC
UBC	ABL1
UBC	PSMA3
PSMA3	TCF7L2
NOD1	RNF34
RNF34	TP53
TP53	NCOA1
UBC	TRIM27
UBC	E2F1
UBC	BTRC
NOD1	PSMA7
PSMA7	HIF1A
NOD1	HSP90AA1
NOD1	CASP2
CASP2	RXRA
HSP90AA1	NR3C1
UBC	CUL1
E2F1	RARA
NOD1	COPS6
COPS6	NFKB1
NOD1	CASP8
CASP8	CEBPB
CEBPB	RARB
HSP90AA1	SP1
UBC	CUL3
CUL3	ATF2
GABRB2	TRAK2
TRAK2	PRKAG1
PRKAG1	SIP2
SIP2	YAP1
TRAK2	GSK3B
GSK3B	CTNNB1
GSK3B	SMURF2
SMURF2	DAZAP2
YAP1	TEAD1
TRAK2	PRKAB2
PRKAB2	GOLGA2
GSK3B	PPP1CA
PPP1CA	WWTR1
PRKAB2	REL
REL	CREBBP
TRAK2	PRKAA1
PRKAA1	EP300
PRKAB2	GNB2L1
GNB2L1	HIF1A
PRKAB2	PIAS2
GSK3B	CREB1
TRAK2	KLC1
KLC1	APP
PRKAB2	MDFI
MDFI	NR1H2
NR1H2	RXRG
GSK3B	MAPK1
MAPK1	RARA
GSK3B	RELA
PRKAB2	MEOX2
GSK3B	TP53
PRKAB2	CRX
CRX	SP1
RELA	PPARA
RELA	ATF4
GSK3B	SMAD3
SMAD3	ATF2
GABRB3	MEOX2
MEOX2	PIN1
GABRB3	PRKCA
PRKCA	CTNNB1
PRKCA	ELAVL1
MEOX2	PRKAB2
MEOX2	KAT5
PRKCA	YWHAG
MEOX2	RELA
RELA	CREBBP
PRKCA	EP300
RELA	HIF1A
GABRB3	PRKACA
PRKACA	HSP90AA1
PRKACA	CREB1
RELA	RXRA
RARB	RXRB
RARB	RXRG
RELA	NFKB1
RELA	TP53
RELA	SP1
GABRD	UBQLN1
UBQLN1	UBQLN2
UBQLN2	YAP1
UBQLN1	HGS
UBQLN1	APP
UBQLN1	UBC
UBQLN1	RAD23A
RAD23A	CREBBP
UBQLN1	GAPDH
GAPDH	EP300
UBQLN1	RAD23B
RAD23B	HIF1A
UBQLN1	C1QTNF2
C1QTNF2	ARNT
UBQLN1	ATXN3
ATXN3	CREB1
UBQLN1	UBQLN4
UBQLN4	RXRA
UBQLN1	UBE3A
UBE3A	RARA
RARA	RXRG
UBE3A	MEOX2
RAD23A	TP53
UBQLN1	PSEN2
GABRE	FAM189B
FAM189B	YAP1
GABRE	CUX1
CUX1	SATB1
SATB1	CTNNB1
GABRE	BSCL2
BSCL2	ZDHHC17
ZDHHC17	LASP1
LASP1	DAZAP2
SATB1	PML
PML	TCF7L2
ZDHHC17	TEAD1
ZDHHC17	GOLGA2
GABRE	GP1BB
GP1BB	YWHAZ
GP1BB	LYN
LYN	CREBBP
SATB1	EP300
GABRE	HLA-A
HLA-A	STAT3
PML	ARNT
CUX1	RECQL5
RECQL5	CREB1
GABRE	LSR
LSR	RARG
RARG	RXRA
RARG	RXRB
RARG	RXRG
GABRE	GPAA1
GPAA1	PIN1
HLA-A	MEOX2
CUX1	EHMT2
EHMT2	TP53
CUX1	CCNA1
CCNA1	SP1
SATB1	UBE2I
ZDHHC17	ATF2
GABRG2	GABARAP
GABARAP	TAX1BP1
TAX1BP1	RAD18
RAD18	YAP1
TAX1BP1	DAZAP2
DAZAP2	TCF7L2
GABARAP	DVL2
DVL2	WWTR1
TAX1BP1	IKBKE
IKBKE	TRIM27
GABARAP	NEDD4
NEDD4	SMAD3
SMAD3	CREBBP
GABARAP	ATG7
ATG7	EP300
GABARAP	SQSTM1
SQSTM1	HIF1A
NEDD4	AKT1
AKT1	CREB1
NEDD4	SRC
NEDD4	PPARG
SQSTM1	RARA
TAX1BP1	TNIP1
TNIP1	NFKB1
GABARAP	KEAP1
KEAP1	RELA
NEDD4	SMAD2
DVL2	TP53
SMAD3	SP1
ATG7	SIRT1
SIRT1	PPARA
NEDD4	BTRC
GRIN1	SPTAN1
SPTAN1	MSN
MSN	SLC9A3R1
SLC9A3R1	YAP1
MSN	CTNNB1
SPTAN1	MLH1
MLH1	USP5
USP5	DAZAP2
CTNNB1	SOX2
SOX2	TEAD1
MLH1	VPS52
SPTAN1	NUP188
NUP188	PHB2
SPTAN1	VIM
VIM	YWHAZ
GRIN1	GRIN2A
GRIN2A	SRC
SRC	CREBBP
SPTAN1	LMNB1
LMNB1	PRKCA
LMNB1	PCGF2
PCGF2	HIF1A
SPTAN1	FANCA
FANCA	HSP90AA1
LMNB1	POU2F1
POU2F1	CREB1
SRC	THRB
THRB	RXRB
THRB	RXRG
POU2F1	RARA
MSN	HSPA4
HSPA4	NFKB1
POU2F1	RELA
SPTAN1	SPTBN1
SPTBN1	SMAD2
SRC	TP53
GRIN2A	DLG1
MSN	MAPK8
GRIN2A	FYN
SRC	PLSCR1
PLSCR1	DAZAP2
SRC	AR
AR	TCF7L2
SRC	GRB2
GRB2	TRIM27
BTRC	EP300
SRC	STAT3
CREBBP	RARA
BTRC	NCOR2
NCOR2	RARB
RXRA	PPARA
GRIN2B	DLG1
GRIN2B	FYN
GRIN2B	DLG4
GRIN2B	DLG3
DLG3	APC
APC	GOLGA2
APC	CREBBP
DLG4	MDM2
MDM2	HIF1A
NCOR2	RXRG
GRIN2B	ARHGAP32
ARHGAP32	AKT1
AKT1	RARA
BTRC	TP53
DLG1	ADAM17
ADAM17	MAPK1
MAPK1	ATF2
GRIN2D	NEDD4
SMAD3	YAP1
SMAD3	LEF1
NEDD4	HGS
NEDD4	SMAD7
SMAD7	TCF7L2
NEDD4	SNCA
SMAD3	EP300
SMAD3	HIF1A
SMAD3	PML
NEDD4	CUL5
CUL5	NFKB1
NEDD4	NTRK1
NTRK1	RELA
NEDD4	IGF1R
IGF1R	TP53
SMAD3	NCOA1
NCOA1	PPARA
GRIN3B	GRIN2A
GRIN3B	GRIN1
LEF1	BIRC5
TCF7	BIRC5
TCF7L2	BIRC5
TCF7L1	BIRC5
CREB1	PCNA
ATF2	PCNA
ATF4	PCNA
CREBBP	EDN1
EP300	EDN1
HIF1A	EDN1
ARNT	EDN1
YAP1	BIRC5
WWTR1	BIRC5
TEAD1	BIRC5
TEAD4	BIRC5
TEAD3	BIRC5
NFKB1	CXCL2
RELA	CXCL2
TP53	IGFBP3
PPARA	SCP2
RXRA	SCP2
RXRA	UBC
RXRB	SCP2
RXRB	UBC
RXRG	SCP2
RXRG	UBC
CREB1	TWF2
SP1	APEX1
CREB1	FN1
NFKB1	FN1
RELA	FN1
SP1	IGFBP3
RARA	MIF
RARB	MIF
TP53	PCNA
