SMO	NEDD4
NEDD4	IGF1R
IGF1R	TP53
NEDD4	SMAD3
SMAD3	CREBBP
SMAD3	EP300
SMAD3	HIF1A
SMAD3	PML
PML	ARNT
SMAD3	FOXO3
NEDD4	AKT1
AKT1	CREB1
SMAD3	JUN
SMAD3	FOS
NEDD4	EPRS
EPRS	POU2F1
SMAD3	SP1
EP300	ETS1
NEDD4	BTRC
BTRC	ATF4
SMAD3	ATF2
NEDD4	EGFR
EGFR	STAT3
EGFR	STAT1
NEDD4	CUL5
CUL5	NFKB1
NEDD4	PPARG
NEDD4	SRC
SRC	RXRA
PPARG	RXRB
PPARG	RXRG
NEDD4	YY1
YY1	MYC
NEDD4	NTRK1
NTRK1	RELA
CREB1	CRH
ATF2	CRH
ATF4	CRH
CREB1	PCNA
ATF2	PCNA
ATF4	PCNA
TP53	CDKN1B
CREBBP	CDKN1B
CREBBP	FIGF
EP300	CDKN1B
EP300	FIGF
HIF1A	CDKN1B
HIF1A	FIGF
ARNT	CDKN1B
ARNT	FIGF
STAT1	SOCS2
STAT3	SOCS2
NFKB1	IL1B
RELA	IL1B
TP53	SERPINB5
NFKB1	FIGF
RELA	FIGF
STAT1	FIGF
STAT3	FIGF
ETS1	FIGF
ETS1	MMP1
FOS	FIGF
FOS	MMP1
JUN	FIGF
JUN	MMP1
MYC	FIGF
MYC	MMP1
FOXO3	CDKN1B
PPARG	MMP1
RXRA	MMP1
RXRB	MMP1
RXRG	MMP1
FOS	IL1B
JUN	IL1B
SP1	CTGF
ATF4	HPGD
CREB1	HPGD
ETS1	HPGD
CREB1	IL1B
SP1	IL1B
TP53	PCNA
POU2F1	TXNRD1
