PDE4A	SQSTM1
SQSTM1	RARA
SQSTM1	MAPK1
MAPK1	CEBPB
CEBPB	RARB
SQSTM1	AJUBA
AJUBA	RARG
MAPK1	JUN
SQSTM1	MAPK14
MAPK14	ATF6
SQSTM1	YWHAZ
YWHAZ	TP53
SQSTM1	BCL2
BCL2	MYC
SQSTM1	CUL3
CUL3	NFKB1
SQSTM1	PRKCZ
PRKCZ	RELA
YWHAZ	ENO1
ENO1	E2F4
SQSTM1	tat
tat	POU2F1
MAPK14	CREB1
SQSTM1	NTRK1
NTRK1	STAT3
NTRK1	STAT1
YWHAZ	ABL1
ABL1	FOS
SQSTM1	NCOR1
NCOR1	ETS1
SQSTM1	MYD88
SQSTM1	SNCA
SNCA	MAPK3
YWHAZ	YWHAQ
YWHAQ	YAP1
MAPK1	PGR
MAPK1	SP1
YWHAZ	CTNNB1
CTNNB1	LEF1
SQSTM1	UBC
UBC	DAZAP2
DAZAP2	TCF7
SQSTM1	FUS
FUS	TCF7L2
CTNNB1	TCF7L1
PDE4B	MAGEA11
MAGEA11	EP300
EP300	RARA
EP300	NCOA1
NCOA1	RARB
EP300	NCOA3
NCOA3	RARG
EP300	JUN
EP300	YY1
YY1	ATF6
EP300	TP53
EP300	MYC
EP300	NFKB1
EP300	RELA
MAGEA11	RB1
RB1	E2F4
MAGEA11	NR3C1
NR3C1	POU2F1
EP300	CREB1
EP300	STAT3
EP300	STAT1
EP300	FOS
EP300	ETS1
EP300	HDAC6
HDAC6	MYD88
EP300	MAPK1
MAGEA11	VTA1
VTA1	MAPK3
EP300	SMAD3
SMAD3	YAP1
MAGEA11	PGR
EP300	SP1
EP300	CTNNB1
EP300	PLSCR1
PLSCR1	DAZAP2
MAGEA11	AR
AR	TCF7L2
PDE4D	APP
APP	PHF8
PHF8	RARA
PDE4D	MDM2
MDM2	SMARCE1
SMARCE1	RARB
MDM2	MRPL12
MRPL12	RARG
MDM2	JUN
APP	SYVN1
SYVN1	ATF6
PDE4D	LYN
LYN	TP53
APP	MYC
APP	GSK3B
GSK3B	NFKB1
MDM2	RELA
PDE4D	ARRB2
ARRB2	TRIM28
TRIM28	E2F4
APP	HSPA8
HSPA8	POU2F1
APP	KAT5
KAT5	CREB1
APP	MAPK8
MAPK8	STAT3
ARRB2	STAT1
APP	MAPK7
MAPK7	FOS
MAPK7	ETS1
MDM2	MYD88
ARRB2	MAPK1
ARRB2	MAPK3
APP	TAF6
TAF6	YAP1
APP	DDX54
DDX54	PGR
MAPK8	SP1
ARRB2	ALYREF
ALYREF	LEF1
APP	HGS
HGS	DAZAP2
APP	FBLN1
FBLN1	TCF7L2
MDM2	CTNNB1
PDE4C	SRI
SRI	STAT3
STAT3	PML
PML	RARA
STAT3	NCOA1
NCOA1	RARG
STAT3	JUN
SRI	SOD1
SOD1	UBC
UBC	ATF6
SRI	ANXA7
ANXA7	TP53
PML	MYC
STAT3	NFKB1
STAT3	RELA
PML	E2F4
RELA	POU2F1
STAT3	EP300
STAT3	STAT1
PML	FOS
STAT3	IL1RAP
IL1RAP	MYD88
STAT3	MAPK1
PML	MAPK3
PML	YAP1
STAT3	PGR
STAT3	SP1
STAT3	SMAD1
SMAD1	LEF1
STAT3	MAP3K7
MAP3K7	DAZAP2
PML	TCF7L2
PML	CTNNB1
PGD	SUMO3
SUMO3	PML
PGD	GNAI3
GNAI3	YWHAQ
YWHAQ	NCOA1
YWHAQ	NCOA3
PML	JUN
PGD	RPS6KA1
RPS6KA1	CREB1
CREB1	ATF6
PGD	P4HB
P4HB	SERPINH1
SERPINH1	TP53
PGD	TALDO1
TALDO1	TP73
TP73	MYC
SUMO3	RL2
RL2	NFKB1
PGD	GDI1
GDI1	RAC3
RAC3	RELA
GNAI3	XPO1
XPO1	E2F4
PGD	EEF2
EEF2	XRCC6
XRCC6	POU2F1
GNAI3	GNB2
GNB2	STAT3
XPO1	STAT1
SUMO3	UBE2I
UBE2I	ETS1
YWHAQ	SMURF1
SMURF1	MYD88
RPS6KA1	MAPK1
RPS6KA1	MAPK3
GDI1	SGTA
SGTA	PGR
PML	SP1
TALDO1	CFDP1
CFDP1	RUVBL1
RUVBL1	LEF1
GNAI3	GNAI2
GNAI2	PLSCR1
P4HB	PTN
PTN	CTNNB1
LEF1	MYC
TCF7	MYC
TCF7L2	MYC
TCF7L1	MYC
JUN	CXCL1
NFKB1	CXCL1
RELA	CXCL1
CREB1	PCNA
YAP1	MYC
STAT1	MYC
STAT3	MYC
MYD88	CXCL1
MYD88	CXCL2
MAPK1	CDK4
MAPK3	CDK4
NFKB1	CXCL2
RELA	CXCL2
TP53	DDB2
ETS1	CDK4
FOS	CDK4
JUN	CDK4
MYC	CDK4
CREB1	TWF2
NFKB1	IRF1
STAT1	IRF1
STAT3	IRF1
RARA	MIF
RARB	MIF
RARG	MIF
E2F4	MYC
MYC	MYC
JUN	MYC
NFKB1	MYC
PGR	MYC
POU2F1	MYC
RELA	MYC
SP1	MYC
TP53	MYC
E2F4	PCNA
TP53	PCNA
POU2F1	TXNRD1
ATF6	XBP1
