ACHE	COL1A1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	CSK
CSK	JUN
IGFBP3	FN1
FN1	UBE2L3
UBE2L3	FOS
COL1A1	P4HB
P4HB	VCP
VCP	MAPK1
VCP	MAPK3
COL1A1	ITGB1
ITGB1	TUBA1A
TUBA1A	MYC
IGF1R	TP53
TP53	ETS1
ITGB1	PRKCA
PRKCA	PPARG
COL1A1	UBL4A
UBL4A	SMN1
SMN1	RXRA
FN1	RARA
RARA	RXRB
RARA	RXRG
UBL4A	NCL
NCL	SP1
IGF1R	MDM2
MDM2	MYD88
FN1	HDAC1
HDAC1	GLI2
PRKCA	GLI3
UBL4A	TXN
TXN	NFKB1
UBL4A	KPNA2
KPNA2	RELA
UBL4A	HSP90AA1
HSP90AA1	MAX
ITGB1	PTK2
PTK2	STAT1
FN1	CSNK2A1
CSNK2A1	ATF1
HTR2A	CBL
CBL	SMAD3
SMAD3	JUN
SMAD3	FOS
SMAD3	MAPK1
CBL	MAPK14
MAPK14	MAPK3
CBL	MAPK8
MAPK8	MYC
CBL	GRB2
GRB2	EP300
EP300	ETS1
CBL	CTNNB1
CTNNB1	PPARG
CBL	SRC
SRC	RXRA
PPARG	RXRB
PPARG	RXRG
CTNNB1	SP1
CBL	STAP2
STAP2	MYD88
CTNNB1	HDAC1
HTR2A	DLG4
DLG4	PRKCA
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
SMAD3	MAX
CBL	EGFR
EGFR	STAT1
DLG4	CACNG2
CACNG2	ATF1
GLI2	GLI1
GLI3	GLI1
STAT1	MYD88
STAT1	SOCS2
MYD88	IL1B
MAPK1	CDK4
MAPK3	CDK4
NFKB1	IL1B
RELA	IL1B
ETS1	CDK4
ETS1	MMP1
FOS	CDK4
FOS	MMP1
JUN	CDK4
JUN	MMP1
MYC	CDK4
MYC	MMP1
PPARG	LPL
PPARG	MMP1
PPARG	PLIN1
PPARG	ADIPOQ
RXRA	LPL
RXRA	MMP1
RXRA	PLIN1
RXRA	ADIPOQ
RXRB	LPL
RXRB	MMP1
RXRB	PLIN1
RXRB	ADIPOQ
RXRG	LPL
RXRG	MMP1
RXRG	PLIN1
RXRG	ADIPOQ
MAX	CDK4
FOS	IL1B
JUN	IL1B
MYD88	IFNA17
MAPK1	IL1B
MAPK3	IL1B
SP1	CAV1
ATF1	IL1B
SP1	IL1B
