DDC	RELA
RELA	HSPA8
HSPA8	ERG
RELA	TP63
TP63	ETV4
RELA	NFKB1
RELA	HIF1A
RELA	CREBBP
RELA	EP300
EP300	ARNT
RELA	SP1
RELA	JUN
RELA	BRCA1
BRCA1	PAX2
RELA	EGR1
RELA	TP53
RELA	FOS
RELA	ESR1
EP300	EPAS1
EP300	MYC
RELA	STAT3
STAT3	STAT1
EP300	ETS1
CREBBP	SERPINE1
CREBBP	VEGFC
EP300	SERPINE1
EP300	VEGFC
HIF1A	SERPINE1
HIF1A	VEGFC
ARNT	SERPINE1
ARNT	VEGFC
TP53	SERPINE1
NFKB1	VEGFC
RELA	VEGFC
STAT1	VEGFC
EPAS1	VEGFC
ETS1	VEGFC
FOS	VEGFC
JUN	VEGFC
MYC	VEGFC
NFKB1	CEBPB
RELA	CEBPB
RELA	HDAC1
ESR1	HSPB1
SP1	HSPB1
NFKB1	IER3
EGR1	SERPINE1
EPAS1	SERPINE1
ESR1	SERPINE1
SP1	SERPINE1
MYC	TP53
EGR1	TP53
FOS	TP53
HIF1A	TP53
JUN	TP53
NFKB1	TP53
PAX2	TP53
STAT1	TP53
TP53	TP53
ERG	VIM
ETV4	VIM
