HTR2A	CBL
CBL	EGFR
EGFR	STAT3
CBL	SMAD3
SMAD3	CEBPB
CBL	GRB2
GRB2	REL
CBL	HSPA4
HSPA4	NFKB1
CBL	HSPA8
HSPA8	RELA
CBL	CTNNB1
CTNNB1	SP1
CBL	ABL1
ABL1	CREB1
CBL	YWHAZ
YWHAZ	TP53
SMAD3	JUN
CBL	YWHAQ
YWHAQ	E2F1
E2F1	SP4
SMAD3	ATF2
CBL	MAPK8
MAPK8	MYC
SMAD3	FOS
GRB2	EP300
EP300	ARNTL
CBL	TRAF4
TRAF4	NPAS2
EP300	CLOCK
EP300	ETS1
GRB2	TSG101
TSG101	NFKB2
SMAD3	MAPK1
CBL	MAPK14
MAPK14	MAPK3
CTNNB1	COPS5
COPS5	CREB3
GRB2	RBM33
RBM33	ATF6B
EP300	ATF4
CTNNB1	ELAVL1
ELAVL1	CREB3L2
MAPK14	DDIT3
DDIT3	CREB3L1
GRB2	KRT15
KRT15	CREB5
EGFR	STAT1
EP300	SP3
CTNNB1	HIF1A
DRD2	PAWR
PAWR	STAT1
STAT1	STAT3
DRD2	CALM1
CALM1	ESR1
ESR1	CEBPB
DRD2	FLNA
FLNA	REL
REL	NFKB1
REL	RELA
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
PPP1R9B	PPP1CA
PPP1CA	CREB1
FLNA	RANBP2
RANBP2	TP53
FLNA	RBM39
RBM39	JUN
CDKN2A	E2F1
FLNA	LMNA
LMNA	PML
PML	ATF2
DRD2	EPB41L1
EPB41L1	APP
APP	MYC
PML	FOS
PPP1CA	ARNTL
PAWR	SHMT2
SHMT2	NPAS2
PPP1CA	CLOCK
REL	EP300
REL	NFKB2
FLNA	ITGB6
ITGB6	MAPK1
CALM1	SNCA
SNCA	MAPK3
EPB41L1	COPS5
FLNA	ILF2
ILF2	MOV10
MOV10	ATF6B
SHMT2	ATF4
REL	CEP19
CEP19	CREB3L2
COPS5	PGRMC1
PGRMC1	CREB3L1
EPB41L1	ITPR1
ITPR1	BRCA1
BRCA1	CREB5
ESR1	SP3
COPS5	HIF1A
HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	GNB2
GNB2	STAT3
S1PR1	WWP2
WWP2	SMAD3
GNAI3	NUCB1
NUCB1	REL
GNAI3	YWHAQ
E2F1	NFKB1
S1PR1	TRIP6
TRIP6	UBE2C
UBE2C	RELA
SMAD3	SP1
HTR1A	HTR1D
HTR1D	HTR1B
HTR1B	MDFI
MDFI	KAT5
KAT5	CREB1
TRIP6	PTK2
PTK2	TP53
TRIP6	CREB5
CREB5	JUN
CREB5	ATF2
WWP2	SMAD7
SMAD7	MYC
GNAI3	YWHAH
YWHAH	PPP1CA
TRIP6	SRC
SRC	RXRA
RXRA	NPAS2
TRIP6	TEKT4
TEKT4	CLOCK
YWHAQ	NCOA3
NCOA3	ETS1
GNAI3	RAP1GAP
RAP1GAP	BTRC
BTRC	NFKB2
YWHAQ	SNCA
SRC	HDAC3
HDAC3	CREB3
WWP2	PTCH1
PTCH1	ATF6B
GNAI3	GNAO1
GNAO1	GABBR1
GABBR1	ATF4
GNAI3	XPO1
XPO1	ELAVL1
MDFI	PRKAB2
PRKAB2	CREB3L1
XPO1	STAT1
YWHAQ	ESR1
SMAD3	HIF1A
MDFI	MYOD1
MYOD1	STAT3
KAT5	EP300
EP300	CEBPB
PRKAB2	REL
EP300	NFKB1
KAT5	RELA
MDFI	VHL
VHL	SP1
KAT5	TP53
MDFI	PIN1
PIN1	JUN
KAT5	E2F1
MDFI	CREB5
KAT5	MYC
EP300	FOS
EP300	NPAS2
KAT5	BCL3
BCL3	NFKB2
EP300	MAPK1
KAT5	BRCA1
BRCA1	MAPK3
KAT5	HDAC3
MDFI	NAB2
NAB2	XBP1
XBP1	ATF6B
VHL	ELAVL1
EP300	STAT1
VHL	HIF1A
HTR1D	S1PR1
HTR1E	MEOX2
MEOX2	RELA
RELA	STAT3
RELA	CEBPB
HTR1E	PSMC4
PSMC4	PSMA1
PSMA1	REL
PSMC4	PSMD10
PSMD10	NFKB1
PSMC4	PSMC5
PSMC5	SP1
MEOX2	KAT5
HTR1E	PSMC3
PSMC3	TP53
RELA	JUN
RELA	POU2F1
POU2F1	SP4
PSMC4	TRAP1
TRAP1	RB1
RB1	ATF2
PSMC5	MYC
RELA	FOS
HTR1E	ATP5B
ATP5B	HSP90AA1
HSP90AA1	ARNTL
PSMC3	TRAF4
PSMC4	SNCAIP
SNCAIP	PPP1CA
TP53	ETS1
RELA	NFKB2
MEOX2	TP53BP1
TP53BP1	MAPK1
TP53BP1	MAPK3
PSMC4	RBBP4
RBBP4	HDAC3
PSMC4	RNF2
RNF2	MOV10
RELA	ATF4
PSMC4	PSMB5
PSMB5	RND1
RND1	CREB3L2
MEOX2	PRKAB2
PSMC3	FOSL1
FOSL1	CREB5
PSMC3	STAT1
RELA	SP3
PSMC3	HIF1A
