KCNN4	TSG101
TSG101	EP300
EP300	CREBBP
EP300	JUN
TSG101	UBE2I
UBE2I	PPARA
EP300	PPARG
EP300	RXRA
TSG101	NR3C1
NR3C1	RXRB
PPARG	RXRG
EP300	HIF1A
EP300	ARNT
EP300	CREB1
EP300	STAT1
TSG101	TP53
JUN	CCND3
CREB1	PCNA
CREBBP	EDN1
CREBBP	TFRC
EP300	EDN1
EP300	TFRC
HIF1A	EDN1
HIF1A	TFRC
ARNT	EDN1
ARNT	TFRC
STAT1	CCND3
PPARA	ACSL3
PPARA	ACSL4
PPARA	SCD
PPARG	ACSL3
PPARG	ACSL4
PPARG	SCD
RXRA	ACSL3
RXRA	ACSL4
RXRA	SCD
RXRB	ACSL3
RXRB	ACSL4
RXRB	SCD
RXRG	ACSL3
RXRG	ACSL4
RXRG	SCD
TP53	PCNA
CREB1	TFRC
JUN	TFRC
