KCNJ11	YWHAB
YWHAB	ABL1
ABL1	CREB1
YWHAB	PRKCZ
PRKCZ	SP1
YWHAB	HES1
HES1	STAT3
ABL1	JUN
YWHAB	HDAC4
HDAC4	STAT1
YWHAB	CDC25A
CDC25A	SMAD3
YWHAB	APP
APP	MYC
MYC	TFAP2A
HDAC4	HIF1A
YWHAB	GRIP1
GRIP1	CREBBP
YWHAB	HSPA5
HSPA5	EP300
EP300	ARNT
YWHAB	RFWD2
RFWD2	ETS1
YWHAB	CYFIP2
CYFIP2	SMAD4
RFWD2	JUND
ABL1	FOS
RFWD2	ETV4
RFWD2	JUNB
YWHAB	TRIM32
TRIM32	RARA
YWHAB	C1QBP
C1QBP	CEBPA
APP	ELK1
CEBPA	RARB
YWHAB	YWHAQ
YWHAQ	SMURF1
SMURF1	NFIC
YWHAB	YWHAZ
YWHAZ	ENO1
ENO1	E2F4
YWHAB	LSR
LSR	RARG
RFWD2	ETS2
YWHAZ	TP53
YWHAB	CBL
CBL	SOS1
APP	SHC1
SHC1	SOS2
YWHAB	IGF1R
IGF1R	ESR1
YWHAZ	CTNNB1
CTNNB1	LEF1
YWHAQ	YAP1
SHC1	STAT5A
SHC1	STAT5B
CDC25A	EGFR
EGFR	STAT2
YWHAQ	TRIM28
TRIM28	STAT4
YWHAB	USP8
USP8	STAT6
APP	GSK3B
GSK3B	CEBPB
HDAC4	NFKB1
YWHAB	HGS
HGS	DAZAP2
DAZAP2	TCF7
APP	FBLN1
FBLN1	TCF7L2
CTNNB1	TCF7L1
YWHAZ	WWTR1
WWTR1	TEAD1
TRIM32	TRIM27
TRIM27	TEAD4
WWTR1	TEAD3
YWHAB	CDK11B
CDK11B	POU2F1
YWHAQ	E2F1
YWHAB	AKAP13
AKAP13	PPARA
GRIP1	PPARG
YWHAZ	BCAR1
BCAR1	E2F2
TRIM28	E2F3
CTNNB1	PPARD
ESR1	SP3
APP	C9orf41
C9orf41	NR3C2
APP	DDX54
DDX54	PGR
PRKCZ	RELA
TRIM32	RXRA
AKAP13	RXRB
YWHAZ	AJUBA
AJUBA	RXRG
HDAC4	ATF2
EP300	USF2
KCNJ1	SLC9A3R1
SLC9A3R1	YAP1
YAP1	CREB1
SLC9A3R1	CAPN1
CAPN1	STAT3
STAT3	SP1
STAT3	JUN
SLC9A3R1	PIK3CA
PIK3CA	STAT1
PIK3CA	SMAD3
SLC9A3R1	YWHAZ
TP53	TFAP2A
CAPN1	HIF1A
KCNJ1	SLC9A3R2
SLC9A3R2	SMARCA2
SMARCA2	CREBBP
YAP1	EP300
HIF1A	ARNT
TP53	ETS1
CAPN1	FHL2
FHL2	SMAD4
YWHAZ	RFWD2
KCNJ1	SH3RF1
SH3RF1	UBE2D1
UBE2D1	FOS
SLC9A3R2	ACTN4
