ADRA1B	AP2M1
AP2M1	AP1G1
AP1G1	JUN
AP2M1	CSNK2B
CSNK2B	MYC
AP2M1	UBC
UBC	ATF6
AP2M1	CLTC
CLTC	EP300
EP300	ETS1
AP2M1	EPS15
EPS15	TFAP2A
EP300	STAT3
AP2M1	BCR
BCR	TP53
AP2M1	SFPQ
SFPQ	SP1
EP300	FOS
CSNK2B	STAT5A
BCR	PTPN6
PTPN6	STAT5B
EP300	STAT1
EP300	STAT2
JUN	STAT4
AP2M1	EEF1A1
EEF1A1	STAT6
EP300	MAX
AP2M1	RALBP1
RALBP1	AMOTL2
AMOTL2	YAP1
EEF1A1	RUVBL1
RUVBL1	LEF1
UBC	DAZAP2
DAZAP2	TCF7
EEF1A1	FUS
FUS	TCF7L2
AP2M1	CHD8
CHD8	CTNNB1
CTNNB1	TCF7L1
EEF1A1	HSP90AA1
HSP90AA1	NFIC
EP300	HIF1A
SFPQ	MAPK1
AP2M1	IQGAP1
IQGAP1	MAPK3
AP2M1	APC
APC	CREBBP
EP300	ARNT
AP2M1	DVL2
DVL2	WWTR1
WWTR1	TEAD1
AP2M1	PER1
PER1	VPS52
VPS52	TEAD4
CLTC	PHB2
PHB2	TEAD3
AP2M1	ITSN1
ITSN1	SOS1
AP2M1	CRK
CRK	SOS2
EP300	CREB1
EP300	NFKB1
AP2M1	HSPA8
HSPA8	ESR1
EP300	SMAD7
HSPA8	POU2F1
HSPA8	RELA
EEF1A1	GADD45G
GADD45G	PPARD
AP2M1	SPTBN1
SPTBN1	SMAD3
CSNK2B	RXRA
SFPQ	NR3C1
NR3C1	RXRB
SFPQ	PPARG
PPARG	RXRG
MAPK1	ELK1
CSNK2B	BRCA1
BRCA1	FLI1
EEF1A1	IKBKG
IKBKG	NFKB2
ADRA1D	GOPC
GOPC	RELA
RELA	JUN
ADRA1D	ERLIN2
ERLIN2	TUBA1A
TUBA1A	MYC
ADRA1D	AMFR
AMFR	UBC
ADRA1D	DTNA
DTNA	ACTB
ACTB	EP300
EP300	TFAP2A
RELA	STAT3
DTNA	NMT1
NMT1	TP53
DTNA	NUP62
NUP62	SP1
RELA	FOS
EP300	STAT5A
AMFR	HAX1
HAX1	STAT5B
GOPC	KPNA1
KPNA1	STAT1
AMFR	TRIM28
TRIM28	STAT4
AMFR	EEF1A1
AMFR	UBE2D1
UBE2D1	YAP1
ACTB	RUVBL1
AMFR	PSMA3
PSMA3	TCF7L2
NUP62	CTNNB1
GOPC	TGFBR2
TGFBR2	HSP90AA1
RELA	HIF1A
AMFR	VCP
VCP	MAPK1
VCP	MAPK3
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	CREBBP
AMFR	HTT
HTT	ZDHHC17
ZDHHC17	TEAD1
DTNA	SNTA1
SNTA1	GOLGA2
GOLGA2	TEAD4
SNTB2	MAST2
MAST2	SUMO2
SUMO2	TEAD3
NUP62	MUC1
MUC1	SOS1
ACTB	ESR1
ESR1	SOS2
AMFR	ATXN3
ATXN3	CREB1
RELA	NFKB1
DTNA	DMD
DMD	NEDD4
NEDD4	SMAD7
RELA	POU2F1
CTNNB1	PPARD
RELA	SMAD3
RELA	RXRA
ABCA1	NR1H2
NR1H2	RXRB
NR1H2	RXRG
DMD	APP
APP	ELK1
GOPC	BECN1
BECN1	BRCA1
RELA	NFKB2
KCNH2	YWHAE
YWHAE	ABL1
ABL1	JUN
KCNH2	HSP90AA1
HSP90AA1	MYC
YWHAE	MAPK14
MAPK14	ATF6
KCNH2	HSPA8
HSPA8	TP53
TP53	ETS1
YWHAE	NPM1
NPM1	TFAP2A
HSP90AA1	STAT3
HSP90AA1	SP1
ABL1	FOS
ESR1	STAT5A
HSPA8	NMI
NMI	STAT5B
YWHAE	XPO1
XPO1	STAT1
HSP90AA1	STAT2
YWHAE	YWHAQ
YWHAQ	TRIM28
YWHAE	USP8
USP8	STAT6
HSP90AA1	MAX
