ADRA1B	AP2M1
AP2M1	SFPQ
SFPQ	SP1
AP2M1	HSPA8
HSPA8	ESR1
AP2M1	EEF1A1
EEF1A1	CBS
CBS	HSF1
AP2M1	AP1G1
AP1G1	JUN
AP2M1	CLTC
CLTC	EP300
EP300	ATF4
EP300	CREB1
AP2M1	RUVBL2
RUVBL2	ATF2
AP2M1	APC
APC	CREBBP
AP2M1	STX8
STX8	CREB3
AP2M1	UBC
UBC	ATF6
ATF6	ATF6B
CREB3	CREB3L2
AP2M1	CSNK2B
CSNK2B	PRKAB2
PRKAB2	CREB3L1
AP2M1	EPS15
EPS15	TRAF2
TRAF2	CREB5
EP300	NFKB1
EP300	HIF1A
EP300	ARNT
EP300	ZBTB17
EEF1A1	GTF2I
GTF2I	PIAS2
EP300	ETS1
HSPA8	RELA
SFPQ	PPARG
CSNK2B	RXRA
SFPQ	NR3C1
NR3C1	RXRB
PPARG	RXRG
EP300	FOS
EP300	STAT3
ADRA1D	DTNA
DTNA	NUP62
NUP62	SP1
DTNA	ACTB
ACTB	ESR1
ADRA1D	GOPC
GOPC	HSF1
GOPC	RELA
RELA	JUN
RELA	ATF4
ADRA1D	AMFR
AMFR	ATXN3
ATXN3	CREB1
ACTB	EP300
EP300	ATF2
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	CREBBP
ABCA1	COPS5
COPS5	CREB3
NUP62	NXF1
NXF1	ATF6B
GOPC	CCDC102B
CCDC102B	CEP19
CEP19	CREB3L2
GOPC	KPNA1
KPNA1	RUNX1T1
RUNX1T1	CREB3L1
SNTB2	MAST2
MAST2	TRAF2
RELA	NFKB1
RELA	HIF1A
GOPC	ZBTB49
ZBTB49	ZBTB17
ADRA1D	ERLIN2
ERLIN2	SREBF2
SREBF2	PIAS2
RELA	PPARG
RELA	RXRA
ABCA1	NR1H2
NR1H2	RXRB
NR1H2	RXRG
RELA	FOS
RELA	STAT3
KCNH2	HSP90AA1
HSP90AA1	SP1
KCNH2	HSPA8
HSP90AA1	HSF1
KCNH2	YWHAE
YWHAE	ABL1
ABL1	JUN
YWHAE	SHMT2
SHMT2	ATF4
ABL1	CREB1
YWHAE	MAPK14
MAPK14	ATF2
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
SHMT2	CREB3
HSP90AA1	CDK6
CDK6	ATF6B
YWHAE	HNRNPA1
HNRNPA1	ELAVL1
ELAVL1	CREB3L2
KCNH2	FKBP8
FKBP8	PGRMC1
PGRMC1	CREB3L1
HSP90AA1	BRCA1
BRCA1	CREB5
YWHAE	HDAC4
HDAC4	NFKB1
HSP90AA1	HIF1A
HSP90AA1	ARNT
HSP90AA1	ZBTB17
HSPA8	TP53
TP53	PIAS2
TP53	ETS1
YWHAE	XPO1
XPO1	PPARG
HSPA8	FLYWCH2
FLYWCH2	RXRB
HSP90AA1	PPARA
PPARA	RXRG
ABL1	FOS
HSP90AA1	STAT3
CREB3	FOSB
CREB3	NPY
CREB1	FOSB
CREB1	NPY
ATF2	FOSB
ATF2	NPY
ATF6B	FOSB
ATF6B	NPY
ATF4	FOSB
ATF4	NPY
CREB3L2	FOSB
CREB3L2	NPY
CREB3L1	FOSB
CREB3L1	NPY
CREB5	FOSB
CREB5	NPY
ZBTB17	CDKN2B
CREBBP	LTBR
CREBBP	VEGFB
EP300	LTBR
EP300	VEGFB
HIF1A	LTBR
HIF1A	VEGFB
ARNT	LTBR
ARNT	VEGFB
HSF1	HSPA8
NFKB1	VEGFB
RELA	VEGFB
STAT3	VEGFB
ETS1	VEGFB
FOS	VEGFB
JUN	VEGFB
PIAS2	CDKN2B
PPARG	ANGPTL4
RXRA	ANGPTL4
RXRB	ANGPTL4
RXRG	ANGPTL4
CREBBP	CDKN2B
EP300	CDKN2B
SP1	CDKN2B
CREB1	ARG1
JUN	GJA1
SP1	GJA1
SP1	HSPA8
ESR1	HSPB1
SP1	HSPB1
ATF4	PPP1R15A
ETS1	PPP2R4
NFKB1	PPP2R4
