HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	YWHAQ
YWHAQ	E2F1
ARRB2	TRIM28
TRIM28	E2F4
ARRDC3	ADRB2
ADRB2	SHMT2
SHMT2	E2F2
TRIM28	E2F3
ARRDC3	ITCH
ITCH	JUN
ARRB2	MAP2K4
MAP2K4	MAPK8
ARRB2	MAPK9
MAP2K4	MAPK10
ARRB2	MAPK1
MAPK1	SP1
ARRB2	CAPN1
CAPN1	HIF1A
ITCH	TP53
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	CDK3
CDK3	PPARA
ARRB2	C1QBP
C1QBP	CEBPA
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	ARNT
ARRB2	PRMT5
PRMT5	RELA
MAPK1	RXRA
ARRDC3	NEDD4
NEDD4	PPARG
PPARG	RXRB
PPARG	RXRG
ARRDC3	NEDD4L
NEDD4L	PBX1
PBX1	PDX1
MAPK1	ATF2
EP300	USF2
ARRB2	MAPK3
ARRB1	MAPK14
NEDD4	MAPKAPK3
MAPKAPK3	MAPK11
ARRB2	VCP
VCP	MAPK13
ARRB2	AKT1
AKT1	CREB1
ARRB2	POLR2E
POLR2E	FOS
ARRB2	NPM1
NPM1	TFAP2A
AKT1	FOXO1
NEDD4	SMAD7
TP53	ETS1
ARRB2	IGF1R
IGF1R	ESR1
NEDD4	ERBB3
ERBB3	EGR1
ARRDC3	WWP1
WWP1	SMAD4
YWHAQ	YAP1
C1QBP	PRKCD
PRKCD	FLI1
ARRB2	STAT1
HSP90AA1	NFIC
NEDD4	SMAD3
ITCH	GLI1
AKT1	SKI
SKI	GLI2
ARRB2	RALGDS
RALGDS	KRAS
KRAS	GLI3
ARRB2	YWHAE
YWHAE	WWTR1
MAPK1	CEBPB
NFKBIA	NFKB2
SMAD3	PAX6
YWHAQ	FOXO3
TRIM28	MYB
ADRB2	HDAC6
HDAC6	NR1H4
ARRB2	TRAF6
TRAF6	MYD88
ARRDC3	HGS
HGS	INSR
INSR	TEAD1
ARRDC3	OTUB2
OTUB2	TRIM27
TRIM27	TEAD4
ADRB2	PHB2
PHB2	TEAD3
HGS	MAP3K10
MAP3K10	NEUROD1
ARRB2	SFPQ
SFPQ	HDAC1
HDAC1	NKX2-2
NEDD4	SMAD2
ARRB2	HNRNPD
HNRNPD	MYC
GLI1	WNT1
GLI1	WNT2
GLI2	WNT1
GLI2	WNT2
GLI3	WNT1
GLI3	WNT2
NR1H4	ABCC2
NR1H4	ABCB11
E2F1	CCNE2
E2F2	CCNE2
E2F3	CCNE2
ESR1	CALB1
MAPK8	SMAD4
MAPK9	SMAD4
MAPK10	SMAD4
CREBBP	ANGPT1
CREBBP	HMOX1
CREBBP	NOS2
CREBBP	SERPINE1
CREBBP	TEK
CREBBP	HKDC1
EP300	ANGPT1
EP300	HMOX1
EP300	NOS2
EP300	SERPINE1
EP300	TEK
EP300	HKDC1
HIF1A	ANGPT1
HIF1A	HMOX1
HIF1A	NOS2
HIF1A	SERPINE1
HIF1A	TEK
HIF1A	HKDC1
ARNT	ANGPT1
ARNT	HMOX1
ARNT	NOS2
ARNT	SERPINE1
ARNT	TEK
ARNT	HKDC1
YAP1	CTGF
YAP1	ID4
YAP1	SERPINE1
WWTR1	CTGF
WWTR1	SERPINE1
SMAD2	CTGF
SMAD2	SERPINE1
SMAD3	CTGF
SMAD3	SERPINE1
SMAD4	CTGF
SMAD4	ID4
SMAD4	SERPINE1
TEAD1	CTGF
TEAD4	CTGF
TEAD3	CTGF
FOXO1	FBP1
FOXO1	G6PC
FOXO1	PCK1
MYD88	IL12A
PDX1	NR5A2
NEUROD1	INS
NKX2-2	INS
PAX6	INS
NFKB2	CXCL12
TP53	RCHY1
TP53	SERPINE1
TP53	TP53I3
HIF1A	TGFB3
NFKB1	NOS2
NFKB2	NOS2
RELA	NOS2
FOXO3	G6PC
FOXO3	PCK1
PPARA	FABP1
PPARA	APOA1
PPARA	APOA2
PPARA	APOC3
PPARG	PCK1
RXRA	FABP1
RXRA	APOA1
RXRA	APOA2
RXRA	APOC3
RXRA	PCK1
