NISCH	IRS1
IRS1	UBC
UBC	ATF6
IRS1	ESR1
ESR1	SP1
IRS1	SIRT1
SIRT1	JUN
ESR1	CREBBP
IRS1	GRB2
GRB2	EP300
ESR1	HIF1A
EP300	ARNT
IRS1	PIK3CA
PIK3CA	SMAD3
IRS1	APP
APP	CSNK1D
CSNK1D	SMAD4
ESR1	STAT3
APP	MAPK7
MAPK7	ETS1
APP	MYC
MYC	TFAP2A
SIRT1	JUND
IRS1	AKT1
AKT1	CREB1
APP	MAPK8
MAPK8	JUNB
APP	RFX5
RFX5	PPARG
MAPK8	CEBPA
ESR1	SMAD2
MYC	ZBTB17
AKT1	PIAS2
SIRT1	FOS
IRS1	IGF1R
IGF1R	TP53
MAPK8	ATF2
APP	ELK1
ELK1	FLI1
ESR1	SP3
SMAD2	CDKN1A
SMAD2	CDKN2B
SMAD3	CDKN1A
SMAD3	CDKN2B
SMAD4	CDKN1A
SMAD4	CDKN2B
TP53	CDKN1A
ZBTB17	CDKN2B
CREBBP	CDKN1A
CREBBP	ALDOA
CREBBP	TIMP1
EP300	CDKN1A
EP300	ALDOA
EP300	TIMP1
HIF1A	CDKN1A
HIF1A	ALDOA
HIF1A	TIMP1
ARNT	CDKN1A
ARNT	ALDOA
ARNT	TIMP1
PIAS2	CDKN2B
PPARG	GK
CREBBP	CDKN2B
EP300	CDKN2B
SP1	CDKN2B
CREB1	CD74
JUN	ALDOA
SP1	ALDOA
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
PPARG	CDKN1A
SP1	CDKN1A
SP3	CDKN1A
STAT3	CDKN1A
TFAP2A	CDKN1A
SP1	KRT18
CREB1	TIMP1
ETS1	TIMP1
FOS	TIMP1
JUN	TIMP1
JUNB	TIMP1
JUND	TIMP1
SMAD3	TIMP1
SMAD4	TIMP1
SP1	TIMP1
STAT3	TIMP1
TFAP2A	TIMP1
ATF6	XBP1
