HMGCR	UBC
UBC	BRCA1
BRCA1	SP1
UBC	E2F1
E2F1	NFKB1
BRCA1	JUN
BRCA1	ETS1
UBC	UBA2
UBA2	ETV4
BRCA1	POU2F1
BRCA1	USF2
UBC	PSMA3
PSMA3	EGR1
BRCA1	RELA
UBC	ABL1
ABL1	FOS
BRCA1	MYC
ITGAL	ICAM1
ICAM1	NCL
NCL	SP1
ICAM1	RPS3
RPS3	NFKB1
ICAM1	CSNK2A1
CSNK2A1	JUN
ICAM1	EIF3E
EIF3E	NCOA3
NCOA3	ETS1
ICAM1	XRCC6
XRCC6	HTT
HTT	ETV4
XRCC6	POU2F1
ICAM1	XRCC5
XRCC5	BRCA1
ICAM1	HNRNPA1
HNRNPA1	NFATC1
NFATC1	EGR1
ICAM1	SNRPD3
SNRPD3	RELA
HNRNPA1	UBR1
UBR1	FOS
ICAM1	HNRNPD
HNRNPD	MYC
HDAC2	SP1
HDAC2	NFKBIA
NFKBIA	NFKB1
HDAC2	PML
PML	JUN
HDAC2	CREBBP
CREBBP	ETS1
PML	HTT
HDAC2	RELA
RELA	POU2F1
RELA	USF2
CREBBP	EGR1
PML	FOS
HDAC2	MYC
FOS	MMP9
NFKB1	MMP9
RELA	MMP9
NFKB1	VEGFC
RELA	VEGFC
ETS1	MMP9
ETS1	VEGFC
FOS	VEGFC
JUN	MMP9
JUN	VEGFC
MYC	MMP9
MYC	VEGFC
EGR1	CD44
SP1	CD44
NFKB1	FBP1
USF2	FBP1
ETV4	MMP9
SP1	MMP9
USF2	SP1
ETS1	SPP1
ETV4	SPP1
JUN	SPP1
POU2F1	SPP1
SP1	SPP1
