CACNA1C	COPS5
COPS5	NFKB1
COPS5	ESR1
ESR1	RELA
COPS5	TP53
TP53	CREB1
CACNA1S	SRI
SRI	STAT3
STAT3	NFKB1
STAT3	RELA
SRI	ANXA7
ANXA7	TP53
STAT3	EP300
EP300	CREB1
CACNB1	APP
APP	GSK3B
GSK3B	NFKB1
APP	EEF1D
EEF1D	RELA
APP	MAPK8
MAPK8	TP53
APP	KAT5
KAT5	CREB1
CACNB3	CACNA1C
CACNB4	CBX3
CBX3	RELB
RELB	NFKB1
CBX3	FAF1
FAF1	RELA
CBX3	XRCC6
XRCC6	TP53
CBX3	DNMT3B
DNMT3B	CREB1
NR3C2	NR3C1
NR3C1	NFKB1
NR3C1	RELA
NR3C2	SUMO1
SUMO1	TP53
NR3C1	CREB1
AHR	EP300
EP300	NFKB1
AHR	RELA
EP300	TP53
NFKB1	CXCL2
NFKB1	NFKBIA
RELA	CXCL2
RELA	NFKBIA
TP53	DDB2
TP53	TP53I3
NFKB1	CEBPB
RELA	CEBPB
CREB1	TWF2
CREB1	ATP1A1
