HMGCR	UBC
UBC	BRCA1
BRCA1	MYC
BRCA1	JUN
UBC	DAZAP2
DAZAP2	LEF1
DAZAP2	TCF7
UBC	PSMA3
PSMA3	TCF7L2
DAZAP2	TCF7L1
UBC	ABL1
ABL1	YAP1
BRCA1	NCOA1
NCOA1	TEAD1
UBC	TRIM27
TRIM27	TEAD4
UBC	E2F1
E2F1	TEAD3
UBC	NCOA6
NCOA6	RXRA
UBC	TSG101
TSG101	NR3C1
NR3C1	RXRB
UBC	CUL1
CUL1	RXRG
UBC	C1QBP
C1QBP	CEBPA
UBC	SUMO1
SUMO1	MYB
BRCA1	RELA
E2F1	NFKB1
UBC	CBL
CBL	SOS1
UBC	BIN1
BIN1	SOS2
UBC	HNRNPM
HNRNPM	STAT3
BRCA1	TFAP2A
UBC	DAP3
DAP3	PPARA
JUN	NFKB1
LEF1	BIRC5
LEF1	MYC
TCF7	BIRC5
TCF7	MYC
TCF7L2	BIRC5
TCF7L2	MYC
TCF7L1	BIRC5
TCF7L1	MYC
JUN	CCND3
YAP1	BIRC5
YAP1	MYC
YAP1	CCND3
LEF1	CCND3
TCF7	CCND3
TCF7L2	CCND3
TEAD1	BIRC5
TEAD1	MYC
TEAD1	CCND3
TEAD4	BIRC5
TEAD4	MYC
TEAD4	CCND3
TEAD3	BIRC5
TEAD3	MYC
TEAD3	CCND3
TCF7L1	CCND3
SOS1	MYC
SOS1	CCND3
SOS2	MYC
SOS2	CCND3
STAT3	MYC
STAT3	CCND3
NFKB1	TRAF5
RELA	TRAF5
PPARA	FABP1
PPARA	HMGCS2
RXRA	FABP1
RXRA	HMGCS2
RXRA	ILK
RXRA	PCK2
RXRB	FABP1
RXRB	HMGCS2
RXRB	ILK
RXRB	PCK2
RXRG	FABP1
RXRG	HMGCS2
RXRG	ILK
RXRG	PCK2
MYC	CDK6
CEBPA	TSC22D3
MYB	TSC22D3
MYC	CSTB
MYC	MYC
JUN	MYC
MYB	MYC
NFKB1	MYC
RELA	MYC
TFAP2A	MYC
CEBPA	NFKB1
MYC	NRAS
JUN	NRAS
MYB	NRAS
TFAP2A	NRAS
CEBPA	PCK2
