TUBB1	SNCA
SNCA	MAPK8
MAPK8	SP1
SNCA	MEF2D
MEF2D	HDAC3
HDAC3	E2F4
MAPK8	JUN
SNCA	HSPA4
HSPA4	NFKB1
SNCA	CLTC
CLTC	EP300
EP300	EGR1
SNCA	EEF1A1
EEF1A1	HSP90AA1
HSP90AA1	NFIC
SNCA	HSPA8
HSPA8	POU2F1
SNCA	PTK2
PTK2	SAE1
SAE1	ETV4
HSPA8	ERG
PTK2	TP53
SNCA	UBC
UBC	E2F1
PTK2	BCAR1
BCAR1	E2F2
MEF2D	HDAC1
HDAC1	E2F3
SNCA	APP
APP	KAT5
KAT5	MYB
SNCA	OPI3
OPI3	RBL2
RBL2	TFDP2
SNCA	MAPK1
MAPK1	HIF1A
BCL2	BRCA1
BRCA1	SP1
BRCA1	E2F4
BRCA1	JUN
BCL2	CHUK
CHUK	NFKB1
BCL2	TP53
TP53	EGR1
BCL2	HSP90AA1
BRCA1	POU2F1
BRCA1	TP63
TP63	ETV4
BRCA1	HSPA8
BRCA1	E2F1
BRCA1	RB1
RB1	E2F2
RB1	E2F3
BRCA1	EP300
EP300	MYB
RB1	TFDP2
BCL2	HIF1A
MAP2	PSMC5
PSMC5	SP1
MAP2	NEDD4
NEDD4	SMAD3
SMAD3	E2F4
MAP2	APP
APP	MAPK8
APP	GSK3B
GSK3B	NFKB1
PSMC5	PSMA3
PSMA3	EGR1
MAP2	FYN
FYN	HSP90AA1
APP	HSPA8
PSMC5	HTT
HTT	ETV4
NEDD4	ERG
PSMC5	TP53
KAT5	E2F1
APP	PSEN2
PSEN2	ELAVL1
ELAVL1	E2F2
ELAVL1	E2F3
APP	MCM7
MCM7	RB1
MCM7	HIF1A
MAP4	SERBP1
SERBP1	TP53
TP53	SP1
MAP4	LSM3
LSM3	LSM1
LSM1	RBL2
RBL2	E2F4
SERBP1	PIAS1
PIAS1	JUN
SERBP1	RPS3
RPS3	NFKB1
LSM1	HSP90AA1
LSM3	EEF1A1
EEF1A1	HSPA8
SERBP1	UBA2
UBA2	ETV4
MAP4	RPS20
RPS20	MDM2
MDM2	E2F1
LSM3	TOP1
TOP1	RBL1
RBL1	E2F2
LSM3	SNRPD1
SNRPD1	TRIM28
TRIM28	E2F3
SERBP1	CHD3
CHD3	MYB
TP53	HIF1A
MAPT	SYK
SYK	SP1
MAPT	YWHAZ
YWHAZ	ENO1
ENO1	E2F4
MAPT	ABL1
ABL1	JUN
MAPT	GSK3B
YWHAZ	TP53
MAPT	YWHAQ
YWHAQ	SMURF1
SMURF1	NFIC
MAPT	HSPA8
YWHAZ	RFWD2
RFWD2	ETV4
YWHAQ	E2F1
YWHAZ	BCAR1
YWHAQ	TRIM28
TRIM28	MYB
E2F1	TFDP2
MAPT	SQSTM1
SQSTM1	HIF1A
NR1I2	RXRA
RXRA	SP1
NR1I2	NCOR2
NCOR2	E2F4
NCOR2	JUN
NR1I2	NCOA3
NCOA3	NFKB1
NR1I2	ACTN2
ACTN2	SNAI1
SNAI1	EGR1
NCOA3	RFX1
RFX1	NFIC
NCOR2	POU2F1
NCOR2	ATXN1
ATXN1	ETV4
NCOA3	ETS2
ETS2	ERG
NR1I2	PSMC5
NCOA3	E2F1
RXRA	EP300
EP300	RB1
NCOR2	HDAC1
NR1I2	NCOR1
NCOR1	MYB
EP300	HIF1A
E2F1	CCNE2
E2F2	CCNE2
E2F3	CCNE2
TFDP2	CCNE2
HIF1A	NPPA
MYB	CDK1
SP1	CDK1
SP1	AGT
E2F4	CDC45
E2F2	CDC45
E2F3	CDC45
E2F1	CDC45
E2F4	CDK1
NFKB1	ELF3
SP1	MAT2B
TP53	NFIC
JUN	NPPA
E2F4	PCNA
TP53	PCNA
EGR1	TFPI2
JUN	TFPI2
NFIC	TFPI2
NFKB1	TFPI2
POU2F1	TFPI2
SP1	TFPI2
ERG	VIM
ETV4	VIM
