ADRA1B	AP2M1
AP2M1	CSNK2B
CSNK2B	BRCA1
BRCA1	ELK4
AP2M1	PRKDC
PRKDC	SRF
AP2M1	CLTC
CLTC	EP300
EP300	TCF3
TCF3	ELK3
EP300	STAT3
EP300	CEBPB
EP300	ETS2
EP300	CREB1
EP300	REL
EP300	ATF4
AP2M1	STX8
STX8	CREB3
AP2M1	RUVBL2
RUVBL2	ATF2
AP2M1	UBC
UBC	ATF6
ATF6	ATF6B
CREB3	CREB3L2
CSNK2B	PRKAB2
PRKAB2	CREB3L1
AP2M1	EPS15
EPS15	TRAF2
TRAF2	CREB5
BRCA1	FLI1
CSNK2B	RXRA
AP2M1	SFPQ
SFPQ	NR3C1
NR3C1	RXRB
SFPQ	PPARG
PPARG	RXRG
AP2M1	HSPA8
HSPA8	ESR1
EP300	STAT1
CLTC	SRC
SRC	ESR2
SFPQ	SP1
ADRA1D	GOPC
GOPC	BECN1
BECN1	BRCA1
GOPC	MYOCD
MYOCD	SRF
ADRA1D	AMFR
AMFR	VCP
VCP	TOP1
TOP1	ELK3
GOPC	RELA
RELA	STAT3
RELA	CEBPB
ADRA1D	DTNA
DTNA	ACTB
ACTB	EP300
AMFR	ATXN3
ATXN3	CREB1
RELA	REL
RELA	ATF4
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	COPS5
COPS5	CREB3
EP300	ATF2
DTNA	NUP62
NUP62	NXF1
NXF1	ATF6B
GOPC	CCDC102B
CCDC102B	CEP19
CEP19	CREB3L2
GOPC	KPNA1
KPNA1	RUNX1T1
RUNX1T1	CREB3L1
SNTB2	MAST2
MAST2	TRAF2
RELA	RXRA
ABCA1	NR1H2
NR1H2	RXRB
NR1H2	RXRG
ACTB	ESR1
KPNA1	STAT1
ESR1	ESR2
NUP62	SP1
RELA	PPARG
KCNH2	CDC73
CDC73	MUS81
MUS81	ELK4
KCNH2	YWHAE
YWHAE	HDAC4
HDAC4	SRF
YWHAE	SNRPD1
SNRPD1	TOP1
KCNH2	HSP90AA1
HSP90AA1	STAT3
YWHAE	NOLC1
NOLC1	CEBPB
KCNH2	HSPA8
HSPA8	TP53
TP53	ETS2
YWHAE	ABL1
ABL1	CREB1
YWHAE	TBK1
TBK1	REL
YWHAE	SHMT2
SHMT2	ATF4
SHMT2	CREB3
YWHAE	MAPK14
MAPK14	ATF2
HSP90AA1	CDK6
CDK6	ATF6B
YWHAE	HNRNPA1
HNRNPA1	ELAVL1
ELAVL1	CREB3L2
KCNH2	FKBP8
FKBP8	PGRMC1
PGRMC1	CREB3L1
HSP90AA1	BRCA1
BRCA1	CREB5
HSPA8	RELA
HSPA8	FLYWCH2
FLYWCH2	RXRB
HSP90AA1	PPARA
PPARA	RXRG
YWHAE	XPO1
XPO1	STAT1
YWHAE	YWHAQ
YWHAQ	ESR2
HSP90AA1	SP1
XPO1	PPARG
CREB3	FOS
CREB1	FOS
ATF2	FOS
ATF6B	FOS
ATF4	FOS
CREB3L2	FOS
CREB3L1	FOS
CREB5	FOS
ELK4	FOS
SRF	FOS
PPARG	CYP27A1
PPARG	PCK2
RXRA	CYP27A1
RXRA	PCK2
RXRB	CYP27A1
RXRB	PCK2
RXRG	CYP27A1
RXRG	PCK2
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
FLI1	FOS
STAT1	FOS
STAT3	FOS
ETS2	FOSL1
SP1	FOSL1
