HPGDS	ARRDC3
ARRDC3	ARRB2
ARRB2	UBC
UBC	ATF6
ARRB2	TRIM28
TRIM28	E2F4
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	CAPN1
CAPN1	HIF1A
ARRB2	CDK3
CDK3	PPARA
ARRB2	MAPK1
MAPK1	SP1
TRIM28	MYB
ARRB2	PRMT5
PRMT5	RELA
ARRDC3	ITCH
ITCH	TP53
ARRB2	AKT1
AKT1	CREB1
ITCH	JUN
TP53	ETS2
ARRDC3	NEDD4
NEDD4	SMAD7
TP53	ETS1
JUN	CREB3
MAPK1	ATF2
ITCH	PTCH1
PTCH1	ATF6B
NFKBIA	ATF4
ARRB2	RPA1
RPA1	ELAVL1
ELAVL1	CREB3L2
ARRDC3	ADRB2
ADRB2	PGRMC1
PGRMC1	CREB3L1
NEDD4	KIFC3
KIFC3	CREB5
ARRB2	HNRNPD
HNRNPD	MYC
ARRB2	POLR2E
POLR2E	FOS
ARRB2	HSPA5
HSPA5	EP300
EP300	USF2
ARRB2	PTGES3
PTGES3	NR3C2
ARRB2	C1QBP
C1QBP	PRKCD
PRKCD	FLI1
ADRB2	STAT3
ARRB2	CSK
CSK	CREBBP
ARRDC3	ARRB1
ARRB1	HSP90AA1
HSP90AA1	ARNT
ARRB2	DYNC1H1
DYNC1H1	MAX
ARRB2	NPM1
NPM1	TFAP2A
ARRB2	MAPK3
MAPK1	RXRA
NEDD4	PPARG
PPARG	RXRB
PPARG	RXRG
HSP90AA1	NFIC
NR3C2	ATP1B1
JUN	CCND3
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
CREBBP	HK1
CREBBP	HMOX1
EP300	HK1
EP300	HMOX1
HIF1A	HK1
HIF1A	HMOX1
ARNT	HK1
ARNT	HMOX1
STAT3	CCND3
MAPK1	CDK4
MAPK3	CDK4
NFKB1	NFKBIA
RELA	NFKBIA
TP53	DDB2
TP53	RCHY1
TP53	SESN1
TP53	RRM2
TP53	PPM1D
TP53	CCNG2
ETS1	CDK4
FOS	CDK4
HIF1A	TGFB3
JUN	CDK4
MYC	CDK4
PPARA	SCP2
RXRA	CYP27A1
RXRA	SCP2
RXRB	CYP27A1
RXRB	SCP2
RXRG	CYP27A1
RXRG	SCP2
MAX	CDK4
MYB	CDK1
MYB	TSC22D3
SP1	CDK1
HIF1A	BNIP3
CREB1	CALCA
USF2	CALCA
E2F4	CDK1
ETS2	CDK1
TP53	CHEK1
MYC	CSTB
CREB1	HMOX1
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
TFAP2A	HMOX1
USF2	HMOX1
JUN	MGP
PPARA	NFKBIA
E2F4	PCNA
TP53	PCNA
FLI1	POLR2G
ATF6	XBP1
