ACHE	COL1A1
COL1A1	UBL4A
UBL4A	RAB1A
RAB1A	CREB1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	ESR1
ESR1	SP3
COL1A1	ITGB1
ITGB1	RANBP9
RANBP9	COPS5
COPS5	CREB3
IGFBP3	FN1
FN1	ELAVL1
ELAVL1	CREB3L2
UBL4A	PGRMC1
PGRMC1	CREB3L1
UBL4A	NPM1
NPM1	TFAP2A
UBL4A	TXN
TXN	NFKB1
IGFBP3	CD44
CD44	EP300
EP300	USF2
CHRNA1	CHRNG
CHRNG	KRT31
KRT31	TSG101
TSG101	EP300
EP300	CREB1
EP300	SP3
KRT31	HDAC4
HDAC4	HDAC3
HDAC3	CREB3
TSG101	XPO1
XPO1	ELAVL1
KRT31	PRKAA2
PRKAA2	PRKAB2
PRKAB2	CREB3L1
EP300	TFAP2A
HDAC4	NFKB1
CHRND	CHRNA1
CHRNE	CHRNA1
CHRNA3	Ubqln1
Ubqln1	Bcr
Bcr	Rac1
Rac1	Mapk1
Mapk1	TP53
TP53	CREB1
Rac1	Traf6
Traf6	ECSIT
ECSIT	RELA
RELA	SP3
Rac1	Pak
Pak	OS9
OS9	CREB3
CREB3	CREB3L2
Rac1	Tuba1a
Tuba1a	HDAC6
HDAC6	DDIT3
DDIT3	CREB3L1
TP53	TFAP2A
ECSIT	NFKB1
RELA	USF2
CHRNA4	YWHAH
YWHAH	ABL1
ABL1	CREB1
YWHAH	IRS1
IRS1	ESR1
YWHAH	YWHAZ
YWHAZ	COPS5
YWHAH	HNRNPK
HNRNPK	ELAVL1
YWHAH	BAD
BAD	CREB3L3
CREB3L3	CREB3L1
YWHAZ	TP53
COPS5	NFKB1
ABL1	BRCA1
BRCA1	USF2
CHRNA7	FYN
FYN	NR3C1
NR3C1	CREB1
FYN	BCL3
BCL3	EP300
BCL3	COPS5
FYN	CTNNB1
CTNNB1	ELAVL1
EP300	DDIT3
BCL3	NFKB1
CHRNA9	POM121
POM121	BRCA1
BRCA1	CREB1
CHRNA9	CHEK1
CHEK1	RELA
CHRNA9	KIF5B
KIF5B	COPS5
KIF5B	PSMB5
PSMB5	RND1
RND1	CREB3L2
CHRNA9	PBXIP1
PBXIP1	MDFI
MDFI	PRKAB2
BRCA1	TFAP2A
CHRNB3	TYRO3
TYRO3	SRC
SRC	CREBBP
CREBBP	CREB1
CREBBP	SP3
SRC	HDAC3
SRC	SNCA
SNCA	Dynll1
Dynll1	CREB3L2
SRC	BCAR1
BCAR1	FXYD6
FXYD6	CREB3L1
SRC	TP53
SRC	STAT3
STAT3	NFKB1
TYRO3	PIK3R1
PIK3R1	EP300
CHRNB4	Ubqln1
CREB3	NPY
CREB1	NPY
CREB3L2	NPY
CREB3L1	NPY
CREB3	MITF
CREB1	MITF
CREB3L2	MITF
CREB3L1	MITF
NFKB1	B2M
USF2	B2M
NFKB1	CTSB
SP3	CTSB
USF2	CTSB
CREB1	POLD2
TFAP2A	POLD2
SP3	TNPO1
TFAP2A	TNPO1
