ACHE	COL1A1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	CSK
CSK	JUN
COL1A1	UBL4A
UBL4A	NCL
NCL	SP1
UBL4A	SMN1
SMN1	RXRA
IGFBP3	FN1
FN1	RARA
RARA	RXRB
RARA	RXRG
COL1A1	MMP2
MMP2	TGFB1
TGFB1	SMAD3
FN1	SMAD4
UBL4A	TXN
TXN	NFKB1
COL1A1	ITGB1
ITGB1	PRKCA
PRKCA	PPARG
COL1A1	PDGFA
PDGFA	PLCG1
PLCG1	SOS1
PLCG1	SOS2
TGFB1	SMAD2
UBL4A	HSP90AA1
HSP90AA1	PPARA
UBL4A	RAB1A
RAB1A	CREB1
ITGB1	GNB2L1
GNB2L1	HIF1A
IGF1R	TP53
HIF1A	SLC2A1
SMAD2	SLC2A1
SMAD3	SLC2A1
SMAD4	SLC2A1
SOS1	SPRY2
SOS2	SPRY2
TP53	RRM2
PPARA	DBI
PPARG	GK2
RXRA	DBI
RXRA	GK2
RXRB	DBI
RXRB	GK2
RXRG	DBI
RXRG	GK2
CREB1	HLA-DRB4
NFKB1	CEBPG
SP1	AGT
JUN	GJA1
SP1	GJA1
SP1	HBZ
JUN	IVL
JUN	TNNC1
NFKB1	TNNC1
SMAD2	TNNC1
SMAD3	TNNC1
SMAD4	TNNC1
