ACHE	COL1A1
COL1A1	UBL4A
UBL4A	RAB1A
RAB1A	CREB1
COL1A1	IGFBP3
IGFBP3	IGF1R
IGF1R	TP53
IGFBP3	FN1
FN1	SMAD4
SMAD4	ATF2
FN1	TRIB3
TRIB3	ATF4
COL1A1	ITGB1
ITGB1	RANBP9
RANBP9	COPS5
COPS5	CREB3
ITGB1	SEL1L
SEL1L	ERLEC1
ERLEC1	ATF6B
FN1	ELAVL1
ELAVL1	CREB3L2
UBL4A	PGRMC1
PGRMC1	CREB3L1
COL1A1	PDGFB
PDGFB	MDFI
MDFI	CREB5
FN1	RBL1
RBL1	E2F4
COL1A1	P4HB
P4HB	PSMD9
PSMD9	BRCA1
UBL4A	NCL
NCL	SP1
IGF1R	CSK
CSK	JUN
COL1A1	SPARC
SPARC	XRCC6
XRCC6	CREBBP
IGFBP3	CD44
CD44	EP300
ITGB1	GNB2L1
GNB2L1	HIF1A
UBL4A	HSP90AA1
HSP90AA1	ARNT
TP53	ETS1
CD44	STAT3
ITGB1	PTK2
PTK2	STAT1
UBL4A	NPM1
NPM1	TFAP2A
FN1	UBE2L3
UBE2L3	FOS
COL1A1	MMP2
MMP2	TGFB1
TGFB1	SMAD3
IGF1R	MDM2
MDM2	JUND
NPM1	JUNB
PTK2	SAE1
SAE1	ETV4
EP300	USF2
HTR2A	CBL
CBL	ABL1
ABL1	CREB1
CBL	YWHAZ
YWHAZ	TP53
CBL	SMAD3
SMAD3	ATF2
CBL	GRB2
GRB2	EP300
EP300	ATF4
CBL	CTNNB1
CTNNB1	COPS5
GRB2	RBM33
RBM33	ATF6B
CTNNB1	ELAVL1
CBL	MAPK14
MAPK14	DDIT3
DDIT3	CREB3L1
GRB2	KRT15
KRT15	CREB5
SMAD3	E2F4
CTNNB1	BRCA1
CTNNB1	SP1
SMAD3	JUN
CTNNB1	CREBBP
CTNNB1	HIF1A
EP300	ARNT
EP300	ETS1
CBL	EGFR
EGFR	STAT3
EGFR	STAT1
EP300	TFAP2A
SMAD3	SMAD4
SMAD3	FOS
SMAD3	JUND
SMAD3	JUNB
GRB2	HTT
HTT	ETV4
TP53	GADD45G
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
ATF4	PCNA
CREB3L2	PCNA
CREB3L1	PCNA
CREB5	PCNA
CREBBP	TIMP1
EP300	TIMP1
HIF1A	TIMP1
ARNT	TIMP1
TP53	PPM1D
JUN	GJA1
SP1	GJA1
SP1	HRAS
TP53	NME1
E2F4	PCNA
BRCA1	PCNA
TP53	PCNA
CREB1	TIMP1
ETS1	TIMP1
ETV4	TIMP1
FOS	TIMP1
JUN	TIMP1
JUNB	TIMP1
JUND	TIMP1
SMAD3	TIMP1
SMAD4	TIMP1
SP1	TIMP1
STAT1	TIMP1
STAT3	TIMP1
TFAP2A	TIMP1
TP53	TYMS
USF2	TYMS
