DDC	RELA
RELA	JUN
RELA	MAPK14
MAPK14	ATF6
RELA	ESR1
RELA	STAT3
RELA	SMAD3
SMAD3	LEF1
RELA	UBC
UBC	DAZAP2
DAZAP2	TCF7
RELA	AR
AR	TCF7L2
RELA	EP300
EP300	CTNNB1
CTNNB1	TCF7L1
SMAD3	YAP1
STAT3	NCOA1
NCOA1	TEAD1
EP300	GOLGA2
GOLGA2	TEAD4
EP300	E2F1
E2F1	TEAD3
EP300	MYC
EP300	ETS1
RELA	TP53
STAT3	EGFR
EGFR	SOS1
ESR1	SOS2
RELA	FOS
STAT3	STAT1
EP300	STAT5A
RELA	NR3C1
NR3C1	STAT5B
EP300	STAT2
JUN	STAT4
STAT3	STAT6
RELA	CREBBP
RELA	HIF1A
EP300	ARNT
CREBBP	ELK1
EP300	MAX
STAT3	MAPK1
RELA	BRCA1
BRCA1	MAPK3
EP300	TFAP2A
RELA	SP1
RELA	NCOR2
NCOR2	PPARD
RELA	POU2F1
RELA	NFKB1
EP300	ATF2
EP300	MYB
RELA	CEBPB
EP300	CREB1
EP300	FOXO3
RELA	RXRA
NR3C1	RXRB
RELA	PPARA
PPARA	RXRG
BRCA1	E2F4
RELA	SP3
RELA	HDAC3
HDAC3	CREB3
BRCA1	NFYA
NFYA	ATF6B
RELA	ATF4
RELA	EZH2
EZH2	ELAVL1
ELAVL1	CREB3L2
EP300	DDIT3
DDIT3	CREB3L1
BRCA1	CREB5
BRCA1	FLI1
RELA	PPARG
EP300	JUND
EP300	SMAD7
EP300	Cebpb
Cebpb	NFIC
RELA	NFKB2
SMAD3	CEBPA
CREB3	FOSB
CREB3	NPY
CREB1	FOSB
CREB1	NPY
ATF2	FOSB
ATF2	NPY
ATF6B	FOSB
ATF6B	NPY
ATF4	FOSB
ATF4	NPY
CREB3L2	FOSB
CREB3L2	NPY
CREB3L1	FOSB
CREB3L1	NPY
CREB5	FOSB
CREB5	NPY
NFKB1	BIRC2
RELA	BIRC2
SMAD3	CDKN1A
TP53	CDKN1A
TP53	SFN
LEF1	BIRC5
LEF1	MYC
TCF7	BIRC5
TCF7	MYC
TCF7L2	BIRC5
TCF7L2	MYC
TCF7L1	BIRC5
TCF7L1	MYC
ESR1	ATP2B1
CTNNB1	CCND3
ELK1	BIRC2
ELK1	CCND3
JUN	CCND3
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
SMAD3	MYC
ATF4	PCNA
CREB3L2	PCNA
TP53	CDKN1B
CREB3L1	PCNA
CREB5	PCNA
CREBBP	CDKN1A
CREBBP	CDKN1B
CREBBP	HMOX1
EP300	CDKN1A
EP300	CDKN1B
EP300	HMOX1
HIF1A	CDKN1A
HIF1A	CDKN1B
HIF1A	HMOX1
ARNT	CDKN1A
ARNT	CDKN1B
ARNT	HMOX1
YAP1	BIRC2
YAP1	BIRC5
YAP1	MYC
YAP1	CCND3
LEF1	BIRC2
LEF1	CCND3
TCF7	BIRC2
TCF7	CCND3
TCF7L2	BIRC2
TCF7L2	CCND3
TEAD1	BIRC2
TEAD1	BIRC5
TEAD1	MYC
TEAD1	CCND3
TEAD4	BIRC2
TEAD4	BIRC5
TEAD4	MYC
TEAD4	CCND3
TEAD3	BIRC2
TEAD3	BIRC5
TEAD3	MYC
TEAD3	CCND3
TCF7L1	BIRC2
TCF7L1	CCND3
SOS1	MYC
SOS1	CCND3
SOS2	MYC
SOS2	CCND3
STAT1	MYC
STAT1	CCND3
STAT2	MYC
STAT2	CCND3
STAT3	MYC
STAT3	CCND3
STAT4	MYC
STAT4	CCND3
STAT5A	MYC
STAT5A	CCND3
STAT5B	MYC
STAT5B	CCND3
STAT6	MYC
STAT6	CCND3
MAPK1	CDK4
MAPK3	CDK4
TP53	DDB2
TP53	PPM1D
ETS1	CDK4
FOS	CDK4
JUN	CDK4
MYC	CDK4
NFKB2	BIRC2
FOXO3	CDKN1B
PPARD	ILK
RXRA	ILK
RXRB	ILK
RXRG	ILK
MAX	CDK4
POU2F1	ALDOC
HIF1A	BNIP3
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUND	CDKN1A
PPARG	CDKN1A
SP1	CDKN1A
SP3	CDKN1A
STAT3	CDKN1A
TFAP2A	CDKN1A
CEBPB	CSRP1
STAT3	CSRP1
PPARA	CYP1A1
SP1	CYP1A1
SP3	CYP1A1
MYC	EIF4E
CEBPB	F8
NFKB1	F8
CREB1	HMOX1
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
TFAP2A	HMOX1
NFIC	HRAS
SP1	HRAS
NFKB1	IER3
PPARA	LIPA
PPARD	LIPA
PPARG	LIPA
E2F4	MYC
MYC	MYC
ESR1	MYC
JUN	MYC
MYB	MYC
NFKB1	MYC
POU2F1	MYC
RELA	MYC
SP1	MYC
TFAP2A	MYC
TP53	MYC
FOS	NQO1
JUND	NQO1
MYC	NRAS
CREB1	NRAS
JUN	NRAS
MYB	NRAS
TFAP2A	NRAS
E2F4	PCNA
TP53	PCNA
ESR1	TFF1
JUN	TFF1
POU2F1	TXNRD1
ATF6	XBP1
