HTR2A	CBL
CBL	GRB2
GRB2	HSP90AA1
HSP90AA1	NFIC
CBL	SMAD3
SMAD3	JUN
CBL	HSPA4
HSPA4	NFKB1
CBL	CTNNB1
CTNNB1	SP1
GRB2	EP300
EP300	EGR1
CBL	HSPA8
HSPA8	POU2F1
EP300	TFAP2A
CBL	MAPK8
MAPK8	MYC
MAPK8	HSF1
CBL	YWHAZ
YWHAZ	TP53
SMAD3	FOS
HSPA8	RELA
EP300	ETS1
SMAD3	MAPK1
CBL	MAPK14
MAPK14	MAPK3
CTNNB1	CREBBP
CTNNB1	HIF1A
EP300	ARNT
CBL	EGFR
EGFR	STAT3
CBL	STAP2
STAP2	MYD88
CBL	ABL1
ABL1	CREB1
DRD2	CALM1
CALM1	HSP90AA1
DRD2	FLNA
FLNA	RBM39
RBM39	JUN
FLNA	REL
REL	NFKB1
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
CDKN2A	EGR1
FLNA	LMNA
LMNA	LMNB1
LMNB1	POU2F1
LMNA	RB1
RB1	TFAP2A
DRD2	EPB41L1
EPB41L1	APP
APP	MYC
FLNA	FILIP1
FILIP1	HSF1
FLNA	RANBP2
RANBP2	TP53
LMNA	PML
PML	FOS
REL	RELA
REL	EP300
FLNA	ITGB6
ITGB6	MAPK1
CALM1	SNCA
SNCA	MAPK3
REL	CREBBP
EPB41L1	COPS5
COPS5	HIF1A
HSP90AA1	ARNT
DRD2	PAWR
PAWR	STAT1
STAT1	STAT3
PAWR	SQSTM1
SQSTM1	MYD88
PPP1R9B	PPP1CA
PPP1CA	CREB1
HTR1A	S1PR1
S1PR1	GNAI3
GNAI3	YWHAQ
YWHAQ	SMURF1
SMURF1	NFIC
S1PR1	TRIP6
TRIP6	CREB5
CREB5	JUN
YWHAQ	E2F1
E2F1	NFKB1
S1PR1	WWP2
WWP2	SMAD3
SMAD3	SP1
YWHAQ	PSMA3
PSMA3	EGR1
YWHAQ	LMNB1
GNAI3	GNAI2
