HTR2A	CBL
CBL	GRB2
GRB2	HSP90AA1
HSP90AA1	PPARA
CBL	CTNNB1
CTNNB1	SP1
CBL	SRC
SRC	RXRA
CTNNB1	PPARG
PPARG	RXRB
PPARG	RXRG
DRD2	CALM1
CALM1	HSP90AA1
DRD2	PPP1R9B
PPP1R9B	CDKN2A
CDKN2A	SP1
DRD2	FLNA
FLNA	LMNA
LMNA	PML
PML	RXRA
FLNA	RANBP2
RANBP2	AKAP13
AKAP13	RXRB
FLNA	ITGB3
ITGB3	ITGB3BP
ITGB3BP	RXRG
GRIA2	SDCBP
SDCBP	SIAH1
SIAH1	UBE2I
UBE2I	PPARA
GRIA2	GRIP1
GRIP1	CTNNB1
SDCBP	TRIM32
TRIM32	RXRA
GRIP1	PPARG
GRIA3	SDCBP
GRIA3	GRIP1
PPARA	APOA1
PPARA	APOA2
RXRA	APOA1
RXRA	APOA2
RXRB	APOA1
RXRB	APOA2
RXRG	APOA1
RXRG	APOA2
SP1	AGT
PPARA	APOB
