HTR2A	CBL
CBL	MAPK8
MAPK8	IRF3
ADRA2A	UCHL1
UCHL1	HSP90AA1
HSP90AA1	IRF3
HTR2C	CALM1
CALM1	HSP90AA1
OPRK1	SIAH1
SIAH1	XIAP
XIAP	IRF3
ADRA2C	UCHL1
HTR7	CUL3
CUL3	CUL1
CUL1	IRF3
ADRA1B	AP2M1
AP2M1	CLTC
CLTC	EP300
EP300	IRF3
ADRA1D	DTNA
DTNA	ACTB
ACTB	EP300
DRD2	CALM1
DRD3	GIPC1
GIPC1	MYO6
MYO6	POLR2A
POLR2A	IRF3
SLC6A2	SNCA
SNCA	MAPK8
SLC6A4	SNCA
SLC6A3	SNCA
HTR2B	AGTR1
AGTR1	ARRB2
ARRB2	MAPK9
MAPK9	IRF3
DRD1	RANBP9
RANBP9	APP
APP	MAPK8
DRD5	GNA12
GNA12	HSP90AA1
ADRB1	ARRB2
ADRB2	TOMM70A
TOMM70A	IRF3
