ABCC8	RAPGEF4
RAPGEF4	RAP1A
RAP1A	HDAC1
HDAC1	CREBBP
HDAC1	EP300
RAP1A	FAF1
FAF1	HIF1A
RAPGEF4	TRAF2
TRAF2	PIAS2
PIAS2	ARNT
RAP1A	CDC42
CDC42	TP53
HDAC1	SP1
PPARG	CREBBP
PPARG	EP300
EP300	HIF1A
EP300	ARNT
PPARG	TFAP2A
TFAP2A	TP53
PPARG	SP1
TP53	CDKN1B
CREBBP	CDKN1B
CREBBP	ENO1
CREBBP	ENO2
CREBBP	HK3
CREBBP	PGK1
EP300	CDKN1B
EP300	ENO1
EP300	ENO2
EP300	HK3
EP300	PGK1
HIF1A	CDKN1B
HIF1A	ENO1
HIF1A	ENO2
HIF1A	HK3
HIF1A	PGK1
ARNT	CDKN1B
ARNT	ENO1
ARNT	ENO2
ARNT	HK3
ARNT	PGK1
SP1	CAV1
TP53	CAV1
SP1	TPI1
